niv_TAMsimp,TOTAL,MOD shall,FUT,PRES,IMPV,PAST,MOD may,MOD let,MOD would,PRES PERF,TO INF,MOD lest,PRES PART,HAB used to,MOD should,MOD can,MOD must,PAST PERF,MOD was to,PAST PROG,MOD VB,MOD could,FUT PROG,MOD might,MOD,MOD is to,MOD that be,FUT PERF,VB
FUT,2589,1062,1330,78,10,5,48,5,5,3,9,24,3,0,1,2,0,0,0,0,1,0,1,0,0,0,1,1,0
IMPV,820,415,9,10,344,4,4,14,3,0,5,5,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
PRES,639,56,32,492,5,10,9,2,3,11,1,1,8,0,3,2,1,0,0,0,1,0,0,0,0,1,0,0,1
MOD is to,339,308,1,7,2,7,1,8,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST,313,8,3,54,1,206,0,0,17,7,1,0,8,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
MOD shall,216,205,0,0,3,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,167,153,2,1,0,0,5,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,128,28,7,18,8,6,21,3,1,0,25,7,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
MOD may,116,16,6,12,0,0,66,3,0,0,2,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,73,13,9,19,0,9,0,1,2,2,0,2,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,66,6,3,15,0,6,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,50,5,6,2,0,7,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
MOD let,44,7,7,0,0,0,5,21,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
MOD can,33,10,2,1,0,0,11,2,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD should,12,4,0,1,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
PAST PROG,5,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD could,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD was to,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
PRES PROG,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
