esv_TAMsimp,FUT,IMPV,PRES,MOD is to,PAST,MOD shall,MOD must,TO INF,MOD may,PRES PART,PRES PERF,MOD would,MOD let,MOD can,MOD should,PAST PERF,PAST PROG,FUT going-to,MOD might,MOD could,MOD was to,PRES PROG,HAB used to,FUT PERF,MOD that be,MOD VB,MOD quest must,FUT PROG
MOD shall,1.16,4.54,40.05,6.46,286.38,10.21,14.03,81.11,142.69,175.85,382.17,458.8,327.43,228.9,573.75,inf,inf,1148.5,inf,inf,inf,inf,inf,inf,inf,inf,2298.0,inf
FUT,0.07,157.11,43.47,1422.0,473.33,inf,710.5,202.29,236.17,157.11,473.33,236.17,202.29,710.5,inf,inf,inf,473.33,inf,inf,inf,inf,inf,473.33,inf,inf,inf,inf
PRES,8.15,70.4,0.45,101.0,12.22,inf,713.0,38.67,58.5,36.58,46.6,356.0,inf,713.0,713.0,inf,inf,inf,inf,inf,inf,356.0,inf,inf,inf,356.0,inf,inf
IMPV,36.3,0.08,73.6,185.5,372.0,123.33,inf,45.62,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,52.8,66.25,25.9,37.43,0.31,268.0,inf,43.83,inf,28.89,43.83,37.43,inf,inf,inf,88.67,66.25,inf,inf,inf,268.0,inf,inf,inf,inf,inf,inf,inf
MOD may,2.65,42.75,18.44,174.0,inf,86.5,34.0,7.33,1.65,inf,inf,inf,34.0,14.91,inf,inf,inf,inf,inf,57.33,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,11.6,3.5,30.5,6.88,inf,30.5,62.0,20.0,20.0,62.0,inf,inf,2.0,30.5,62.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,11.0,19.0,19.0,inf,2.53,inf,inf,59.0,inf,29.0,inf,1.4,59.0,inf,59.0,inf,inf,inf,59.0,inf,inf,59.0,inf,inf,inf,inf,inf,inf
PRES PERF,18.33,inf,4.27,inf,7.29,inf,inf,inf,inf,28.0,0.66,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,4.78,9.4,51.0,16.33,51.0,inf,inf,1.08,25.0,inf,51.0,inf,51.0,51.0,51.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.0,inf,inf,inf
MOD lest,1.12,9.2,50.0,50.0,inf,inf,24.5,6.29,6.29,24.5,inf,inf,inf,inf,inf,inf,inf,inf,24.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,13.33,20.5,4.38,42.0,4.38,13.33,20.5,inf,20.5,2.07,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,inf,inf,inf,inf,2.0,inf,inf,inf,inf,11.0,inf,3.0,inf,inf,inf,inf,11.0,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD should,11.0,inf,3.0,inf,inf,inf,inf,5.0,5.0,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,3.5,inf,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,inf,0.75,6.0,inf,inf,inf,6.0,inf,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,0.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
