eng_TAMsimp,p3,p1,p2
PAST,0.13,-0.06,-0.08
PAST ~ PRES PART,-0.0,0.0,-0.0
PAST ~ PAST PERF,0.05,-0.03,-0.02
PRES PERF,-0.34,0.21,0.13
PRES,-0.1,0.03,0.07
?PAST ~ PAST,0.01,0.02,-0.02
PAST ~ PRES PERF,-0.54,0.23,0.31
?PAST,0.03,-0.01,-0.02
PAST ~ PRES,-0.12,0.03,0.09
PAST ~ TO INF,0.01,-0.01,-0.01
PAST PERF,0.05,-0.03,-0.02
PRES ~ PRES PERF,-0.3,0.12,0.17
PAST ~ PAST PROG,0.07,-0.05,-0.02
PRES PART,-0.05,-0.05,0.09
FUT ~ PRES,-0.06,0.02,0.05
?PRES,-0.39,0.18,0.21
?PRES ~ PRES,-0.01,-0.05,0.06
MOD would,-0.02,-0.05,0.07
MOD could ~ PAST,0.07,-0.05,-0.02
TO INF,-0.26,0.17,0.09
?VB ~ PAST,-0.37,0.17,0.2
?PRES ~ PAST,-0.36,-0.05,0.41
FUT ~ PAST,0.07,-0.05,-0.02
?PAST ~ PRES PART,0.07,-0.05,-0.02
PAST PROG,0.07,-0.05,-0.02
?VB,-0.13,0.15,-0.02
PRES PART ~ PRES PERF,-0.33,0.35,-0.02
FUT ~ PRES PERF,-0.73,0.55,0.18
PAST PERF ~ PRES PERF,0.07,-0.05,-0.02
MOD would ~ PAST,0.07,-0.05,-0.02
?PAST did not ~ PAST,-0.43,0.2,0.23
PRES ~ PRES PART,-0.18,-0.05,0.23
PRES ~ PRES PROG,-0.43,-0.05,0.48
?TO INF ~ PAST,0.07,-0.05,-0.02
MOD let ~ PAST,0.07,-0.05,-0.02
?PAST ~ PRES,-0.26,0.28,-0.02
?PAST ~ ?VB,-0.26,0.28,-0.02
PRES ~ TO INF,0.07,-0.05,-0.02
IMPV ~ PAST,0.07,-0.05,-0.02
MOD let,-0.26,-0.05,0.31
FUT ~ MOD shall,0.07,-0.05,-0.02
PAST PERF ~ PRES PART,0.07,-0.05,-0.02
PRES PERF ~ TO INF,-0.26,-0.05,0.31
??PAST,-0.43,-0.05,0.48
?PRES PERF ~ PRES,-0.93,0.95,-0.02
PRES PERF ~ PRES PROG,-0.93,0.95,-0.02
?PAST ~ IMPV,0.07,-0.05,-0.02
?VB ~ PRES,0.07,-0.05,-0.02
?VB ~ PRES PERF,-0.93,-0.05,0.98
FUT,0.07,-0.05,-0.02
?PRES ~ ?PRES PERF,0.07,-0.05,-0.02
?PRES ~ PRES PERF,0.07,-0.05,-0.02
?FUT ~ PAST,-0.43,0.45,-0.02
?PRES PERF,0.07,-0.05,-0.02
MOD can ~ PRES,0.07,-0.05,-0.02
??VB ~ ?PAST question,-0.93,0.45,0.48
MOD may ~ PAST,0.07,-0.05,-0.02
?PRES ~ PRES PART,-0.43,-0.05,0.48
?PAST wh-question,-0.93,-0.05,0.98
