genre,domain2,person,TOTAL,PRES,FUT,FUT ~ MOD shall,IMPV,IMPV ~ MOD shall,PAST,FUT ~ PRES,MOD let,MOD must ~ MOD shall,MOD may,MOD is to ~ MOD shall,MOD can,MOD shall,MOD shall ~ PRES,FUT ~ MOD may,MOD would,IMPV ~ MOD let,PAST ~ PRES,MOD let ~ MOD may,PRES ~ PRES PART,PRES ~ PRES PERF,MOD should,FUT ~ MOD lest,MOD can ~ PRES,TO INF,FUT ~ MOD can,MOD may ~ PRES,PRES PERF,MOD may ~ MOD shall,IMPV ~ PRES,MOD can ~ MOD may,PRES PART,PRES ~ TO INF,MOD should ~ PRES,MOD can ~ MOD shall,FUT ~ MOD would,MOD must,MOD shall ~ TO INF,MOD could,PAST ~ PRES PERF,MOD may ~ TO INF,MOD shall ~ MOD should,IMPV ~ MOD may,FUT ~ TO INF,MOD would ~ PAST,MOD would ~ PRES,FUT ~ IMPV,MOD let ~ PRES,PAST ~ PRES PART,FUT ~ MOD let,MOD shall ~ PRES PART,MOD should ~ TO INF,MOD must ~ PRES,FUT ~ PRES PART,MOD let ~ TO INF,MOD lest ~ MOD may,PRES ~ PRES PROG,MOD let ~ MOD shall,FUT ~ PAST,IMPV ~ MOD must,MOD lest ~ PRES,MOD shall ~ PAST,MOD should ~ MOD would,PAST ~ TO INF,FUT ~ MOD should,HAB used to ~ PAST,MOD might,MOD may ~ MOD must,IMPV ~ MOD can,MOD is to,PAST ~ PAST PERF,MOD let ~ MOD must,MOD was to ~ PAST,MOD is to ~ MOD let,MOD can ~ MOD should,MOD let ~ PAST,MOD let ~ MOD should,MOD can ~ MOD could,IMPV ~ PAST,MOD could ~ MOD would,IMPV ~ MOD should,FUT ~ MOD must,MOD lest,MOD should ~ MOD was to,PAST PERF,IMPV ~ PRES PART,MOD might ~ MOD would,IMPV ~ TO INF,FUT ~ FUT going-to,PRES PART ~ TO INF,MOD lest ~ MOD might,MOD could ~ PAST,FUT ~ PRES PERF,MOD can ~ TO INF,MOD is to ~ MOD may,MOD may ~ PRES PART,MOD could ~ MOD might,FUT going-to ~ MOD shall,MOD shall ~ MOD would,?VB ~ MOD let,PAST ~ PAST PROG,MOD can ~ PRES PART,MOD VB ~ MOD may,MOD is to ~ MOD must,MOD might ~ TO INF,MOD can ~ MOD let,MOD lest ~ TO INF,MOD would ~ TO INF,MOD let ~ PRES PART,MOD might ~ PAST,MOD was to,MOD might ~ MOD should,MOD should ~ PAST,MOD VB ~ PRES,FUT ~ PRES PROG,IMPV ~ MOD lest,HAB used to,PAST PERF ~ PRES,MOD can ~ PAST,FUT ~ MOD is to,?VB ~ PAST,PRES PERF ~ TO INF,MOD could ~ MOD should,?VB,PAST PROG,MOD shall ~ PRES PERF,MOD can ~ MOD might,MOD could ~ MOD must,FUT PROG ~ PRES,MOD lest ~ MOD would,FUT ~ MOD that be,MOD need not ~ MOD shall,MOD may ~ PRES PERF,MOD may ~ PAST,MOD may ~ MOD might,PRES PART ~ PRES PERF,MOD is to ~ PRES PART,MOD let ~ PRES PERF,MOD let ~ MOD would,IMPV ~ MOD is to,MOD would ~ PRES PART,?VB ~ MOD must,?VB ~ MOD shall,??VB ~ MOD let,MOD must ~ MOD should,MOD is to ~ PRES,MOD can ~ MOD must,MOD should ~ PRES PERF,MOD that be,MOD let ~ MOD that be,PAST PROG ~ PRES,MOD lest ~ MOD should,MOD lest ~ MOD shall,MOD is to ~ TO INF,MOD need not ~ PRES,MOD could ~ TO INF,PRES PROG,PRES ~ PRES do,FUT PERF,FUT ~ MOD,MOD quest must,MOD quest must ~ MOD shall,PRES ~ PRES shall,MOD should ~ PRES PART,?VB ~ IMPV,?VB ~ MOD lest,MOD that be ~ TO INF,MOD was to ~ PRES,MOD would ~ PAST PERF,MOD ~ PRES,MOD would ~ PAST PROG,FUT PERF ~ PRES,FUT ~ FUT PROG,PRES ~ PRES can,PRES PERF ~ PRES PROG,MOD must ~ TO INF,FUT going-to ~ MOD is to,PAST PROG ~ PRES PART,FUT PROG ~ MOD shall,PRES PART ~ PRES PROG,FUT going-to ~ MOD lest,MOD can ~ MOD lest,MOD must ~ PRES shall,MOD lest ~ MOD let,MOD could ~ MOD shall,MOD VB ~ TO INF,MOD could ~ PAST PERF,MOD VB ~ MOD shall,MOD could ~ PRES PERF,MOD VB ~ MOD can,JJ ~ PRES,IMPV ~ PRES PERF,MOD is to ~ MOD lest,MOD is to ~ MOD should,MOD is to ~ PRES PROG,IMPV ~ MOD need not,MOD lest ~ MOD must,MOD must ~ PRES PROG,MOD let ~ MOD might,IMPV ~ MOD,MOD let ~ VB,HAB used to ~ PRES PERF,HAB used to ~ PRES,MOD may ~ MOD should,HAB used to ~ MOD would,MOD may ~ MOD would,MOD might ~ PRES PERF,FUT ~ PRES shall,MOD must ~ MOD quest must,MOD must ~ PRES PART,MOD lest ~ MOD that be
poetry,Q,p3,2237,762,313,137,11,0,115,118,107,1,56,0,73,3,17,23,25,24,27,72,30,19,9,10,21,11,16,13,7,11,9,5,11,10,8,4,5,1,1,4,7,0,1,3,5,1,4,1,8,6,7,0,2,2,1,2,0,1,0,1,0,1,0,6,1,4,0,3,1,9,0,2,0,1,0,1,2,1,2,0,0,0,3,5,2,0,0,3,0,0,2,0,4,1,1,0,0,0,0,1,4,0,2,1,0,0,0,0,1,2,1,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
prophetic,Q,p3,2231,448,348,733,9,2,40,76,73,8,23,21,46,9,25,17,17,19,20,5,22,10,7,6,10,11,18,9,10,3,11,4,12,5,4,6,7,3,7,4,3,3,6,0,5,1,0,3,5,1,2,8,1,2,5,1,1,2,6,3,0,1,6,1,1,2,2,0,0,0,1,0,0,2,0,1,1,1,1,1,4,1,1,0,0,0,0,1,0,0,1,1,0,2,1,0,1,0,1,0,0,0,0,2,0,2,1,0,0,1,1,0,0,1,0,0,2,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
prose,Q,p3,1661,222,264,323,9,11,8,40,84,18,91,25,23,48,12,30,13,51,6,22,9,8,20,19,10,14,7,17,10,10,1,11,7,2,7,3,4,4,9,4,2,16,4,12,5,0,2,1,1,0,3,2,2,0,1,9,2,4,3,4,1,2,4,2,1,0,3,4,2,0,4,0,5,1,5,3,1,4,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,2,0,2,1,0,1,0,2,0,1,1,0,2,0,0,2,1,0,0,1,1,1,1,2,2,0,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,2,1,0,2,1,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
prose,Q,p2,1052,126,72,114,226,115,4,31,1,38,24,30,11,15,12,7,8,4,1,0,8,11,5,12,5,8,5,3,3,5,9,4,4,4,8,6,3,6,8,0,0,2,0,6,2,0,3,6,1,0,0,0,2,4,1,0,0,3,0,1,10,7,1,0,0,2,0,0,3,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,2,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
instruction,Q,p3,1035,249,33,99,1,17,1,12,7,165,44,137,7,54,37,16,0,2,1,1,9,11,0,10,0,4,1,4,4,14,1,2,2,15,2,2,0,6,1,5,2,2,1,1,0,2,0,0,0,1,0,7,0,1,0,0,6,1,1,0,1,1,1,0,1,1,0,0,2,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
prose,Q,p1,815,60,354,24,1,0,7,11,39,3,31,0,31,36,11,13,4,3,1,3,0,2,22,2,4,7,6,2,3,1,1,17,0,1,4,8,7,5,5,3,0,8,11,1,7,0,0,0,2,1,4,0,3,1,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,2,0,1,0,0,0,0,3,0,3,1,3,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
prophetic,Q,p1,691,57,440,14,0,0,20,24,19,1,5,0,10,12,5,2,5,0,9,0,1,3,5,4,1,1,1,0,2,0,0,0,0,0,0,6,0,3,1,0,3,0,5,0,1,1,0,1,1,0,3,0,2,0,1,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,Q,p2,674,91,79,146,151,25,7,21,0,14,7,8,12,0,5,10,3,2,4,0,2,5,1,0,5,7,2,1,0,2,5,1,5,1,5,0,3,5,2,0,1,0,2,1,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
poetry,Q,p2,666,148,98,12,172,0,28,16,2,0,2,0,21,1,0,2,8,3,16,1,4,9,1,2,6,5,3,3,9,2,17,1,3,2,4,0,6,1,0,0,10,1,0,4,2,0,7,7,1,0,0,0,3,1,1,0,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,Q,p1,614,123,187,34,0,0,49,30,10,0,7,0,17,7,5,9,19,0,8,0,1,3,6,2,4,0,1,0,8,0,0,0,2,0,3,7,7,3,0,4,5,0,1,0,1,2,4,0,0,1,2,0,0,3,0,2,2,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
