genre,prophetic,poetry,prose,instruction,prose,prose,prophetic,instruction,prophetic,poetry,poetry,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,list,prophetic,list,prophetic,prose,list,list,prophetic,prose,list,prose,instruction,prophetic,instruction
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,Q,D,?,?,N,N,D,Q,N,N,?,D
person,p3,p3,p3,p3,p2,p1,p1,p2,p2,p2,p1,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p3,p1,p2,p2,p3,p3,p3,p3,p1,p1,p2,p3,p2,p1
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES,-0.01,0.16,-0.04,0.01,-0.04,-0.04,-0.04,-0.04,-0.02,0.01,0.0,0.05,-0.02,-0.01,0.0,0.0,0.02,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT,-0.03,-0.03,0.0,-0.09,-0.05,0.11,0.17,-0.06,-0.01,-0.0,0.02,-0.0,-0.02,0.0,0.01,-0.01,-0.0,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
FUT ~ MOD shall,0.29,-0.1,0.08,-0.03,-0.01,-0.05,-0.05,-0.05,0.05,-0.04,-0.03,-0.03,-0.02,0.01,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD shall,-0.18,-0.17,-0.09,-0.05,0.16,-0.06,-0.06,0.54,0.0,-0.05,-0.05,-0.02,-0.02,-0.01,-0.01,0.0,-0.01,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
PAST,-0.09,0.1,-0.1,-0.09,-0.07,-0.04,-0.01,-0.05,-0.03,0.02,0.07,-0.01,0.21,0.03,-0.01,-0.0,0.03,-0.01,-0.0,-0.0,0.02,-0.0,0.02,-0.0,-0.0,-0.0,0.01,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,0.01,0.12,-0.02,-0.06,-0.0,-0.03,0.0,-0.04,0.01,-0.01,0.01,0.05,-0.02,0.0,-0.0,-0.01,0.0,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.16,-0.16,-0.06,0.42,0.04,-0.05,-0.05,0.12,-0.0,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,0.04,-0.01,0.02,0.02,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.11,-0.16,-0.03,0.39,0.03,-0.06,-0.06,0.13,-0.02,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,0.01,-0.01,0.0,0.02,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.01,0.11,-0.03,-0.06,-0.04,0.06,-0.02,-0.05,-0.0,0.03,0.02,0.02,-0.02,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall,-0.14,-0.15,0.11,0.16,-0.01,0.11,-0.0,0.07,-0.05,-0.04,-0.01,-0.02,-0.02,-0.01,-0.01,0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.09,-0.08,0.07,0.15,0.05,-0.02,-0.04,0.08,-0.01,-0.03,-0.04,-0.02,-0.02,-0.01,-0.01,0.03,-0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,-0.16,-0.16,-0.11,-0.09,0.46,-0.06,-0.05,-0.01,0.14,0.19,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
