,poetry,prophetic,prose,prose,instruction,prose,prophetic,prophetic,poetry,poetry,instruction,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,prophetic,list,prophetic,list,prose,list,prophetic,list,prose,prose,list,instruction,prose,instruction,prophetic
,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,D,Q,?,?,N,N,D,N,Q,N,D,D,?
,p3,p3,p3,p2,p3,p1,p1,p2,p2,p1,p2,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p3,p3,p1,p2,p1,p3,p2,p1,p2
PRES,68.22,0.14,-12.51,-11.48,3.32,-23.36,-16.84,-4.82,0.96,0.06,-16.58,35.93,-8.72,-1.83,1.19,0.8,17.8,-0.27,0.66,-1.17,-1.53,-0.99,0.77,-0.85,0.16,-0.43,-0.22,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,-5.66,-1.84,-1.08,-24.32,-48.17,71.71,172.28,-4.44,-1.18,15.33,-43.67,-0.31,-15.03,0.99,1.97,-4.46,-0.58,-5.3,-4.16,5.38,-2.03,-1.64,1.09,-0.62,0.18,-0.44,-0.22,-0.23,0.5,0.0,0.5,0.0,0.76,0.0,0.0,0.76,0.0
FUT ~ MOD shall,-28.97,166.7,14.96,-1.45,-3.22,-23.59,-24.9,9.88,-25.28,-8.95,-19.93,-15.2,-10.41,4.26,4.6,-1.95,-6.54,-2.79,0.0,-0.09,-1.38,3.73,-0.62,-0.41,-0.21,-0.22,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,-32.64,-34.73,-22.87,100.32,-19.27,-14.65,-13.84,66.35,87.2,-12.2,-0.91,-5.81,-3.72,-2.34,-1.16,-1.99,-1.99,-1.12,-0.76,-0.38,-0.2,-0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0
IMPV ~ MOD shall,-40.38,-36.55,-16.12,25.99,-4.25,-13.67,-11.48,0.0,-11.13,-10.23,282.5,-4.72,-3.0,-1.78,-1.61,0.21,-1.64,34.77,-0.57,-0.39,-0.2,0.0,0.0,0.0,0.0,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43
PAST,6.28,-5.43,-15.64,-10.75,-13.87,-5.37,-0.18,-3.66,0.74,8.01,-8.44,-0.85,91.87,5.88,-0.35,0.0,6.71,-0.76,0.0,-0.2,6.92,0.0,0.0,9.23,0.0,0.0,4.77,1.99,0.0,1.19,1.19,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,8.18,0.29,-1.21,-0.15,-4.57,-2.9,0.18,0.0,-0.51,1.75,-4.08,6.36,-2.47,0.51,0.0,-1.27,0.11,-0.56,-0.38,0.93,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,9.04,1.06,7.99,-11.19,-5.7,3.29,0.04,-7.91,-5.46,-1.01,-5.56,2.22,-2.14,-0.23,-0.41,-1.1,-0.42,-0.58,-0.39,0.56,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-24.82,-16.4,-4.64,1.64,94.41,-5.64,-6.27,-0.21,-7.22,-6.69,16.41,-3.19,-1.97,-0.41,-1.11,7.58,-0.92,4.39,5.31,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.12,-6.32,13.82,-0.04,3.7,1.9,-2.9,-1.86,-4.66,-1.51,1.92,-3.01,-1.78,-1.1,-0.91,1.67,-0.93,0.17,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,-23.1,-5.64,-1.32,0.91,74.52,-7.8,-6.53,-1.11,-6.14,-5.6,16.37,-2.66,-1.61,-0.92,-0.93,1.89,-0.74,0.18,3.91,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,4.99,0.09,-1.22,-1.68,-3.16,3.2,-0.48,-0.11,1.35,0.74,-4.93,1.67,-1.44,-0.28,0.28,-0.75,-0.14,-0.19,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,-12.89,-7.89,4.17,-0.15,14.15,7.42,0.12,-4.59,-3.41,-0.38,5.52,-1.97,-1.08,-0.55,-0.57,1.4,-0.57,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,-1.01,0.04,-0.88,0.06,9.95,0.31,-0.34,-0.35,-3.04,-0.16,0.51,-1.28,-0.75,-0.39,-0.19,2.04,-0.19,0.0,2.58,0.0,0.0,0.66,0.0,0.9,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.09,-0.54,3.06,-0.48,1.15,1.02,-1.15,0.65,-1.16,0.68,-2.34,-1.11,-0.57,0.0,0.0,0.5,-0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.66,-0.27,-0.11,-0.06,-3.77,-0.48,-0.08,-0.54,0.41,5.73,-1.98,-0.93,4.93,-0.2,-0.2,-0.2,-0.2,0.0,0.0,0.0,6.96,0.0,0.93,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,0.79,0.05,17.64,-0.96,-1.93,-0.79,-2.35,-0.74,-0.42,-1.99,-0.2,-0.28,-0.38,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,1.41,0.16,-1.55,-2.67,-2.48,-1.83,0.73,-0.18,3.98,0.78,-1.8,0.13,1.08,0.0,0.59,0.61,0.62,0.0,0.0,0.0,0.7,0.78,0.0,1.03,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,32.26,-3.33,2.0,-3.47,-2.34,-0.67,-2.18,-1.99,-1.19,-1.81,-1.62,-0.75,-0.39,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,3.35,1.01,-0.27,0.07,0.25,-2.37,-1.02,-0.62,0.0,-0.87,-0.88,0.77,-0.39,0.0,0.24,0.25,0.71,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.71,-0.61,-0.38,0.97,0.99,-0.75,-0.2,0.2,1.39,-0.1,0.0,-0.57,-0.19,0.24,0.0,0.76,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,-0.74,-1.28,2.45,-0.17,-2.56,8.64,0.21,-0.88,-0.71,0.55,-1.28,-0.57,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0
FUT ~ MOD lest,-0.2,-1.11,3.03,1.92,1.16,-0.49,0.1,-1.29,-0.23,-0.11,0.0,-0.38,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,2.24,-0.13,0.23,0.0,-2.22,0.0,-0.57,0.39,0.79,0.25,-0.43,1.12,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.0,0.0,1.17,0.58,-0.18,0.7,-0.57,1.05,0.4,-1.11,-1.12,-0.38,-0.2,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,1.05,1.76,0.0,-0.0,-1.04,0.55,-0.58,-0.11,0.0,-0.43,-0.93,0.18,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.41,-0.06,2.89,-0.2,0.0,-0.23,-1.12,-0.43,0.0,-0.93,-0.28,0.79,0.0,0.0,0.37,1.01,0.0,0.58,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,-0.41,0.0,0.49,-0.2,0.0,0.0,-0.11,-1.12,2.55,2.21,0.0,-0.19,0.0,0.0,0.0,0.39,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.22,-1.71,0.64,0.09,4.04,-0.58,-0.91,0.0,0.0,-0.94,1.42,0.42,0.0,0.0,0.0,0.41,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.0,0.33,-1.92,1.44,-0.9,-0.59,-0.93,0.7,9.24,-0.74,-0.14,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,-0.59,-0.9,1.31,0.1,-0.23,8.63,-0.74,-0.29,-0.29,-0.76,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.6,0.76,0.18,0.1,-0.23,-0.92,-0.74,1.02,0.13,0.0,-0.56,-0.2,0.28,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.5,-0.37,-0.78,0.11,6.19,-0.28,-0.76,-0.14,0.0,-0.57,0.14,0.57,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.08,-0.65,0.31,1.67,-0.24,0.46,-0.76,1.14,0.55,0.34,-0.58,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,-0.65,-0.08,-0.44,0.82,-0.11,2.37,1.63,-0.77,-0.56,2.47,-0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,-0.27,-0.0,-0.09,0.0,-1.13,1.92,-0.56,0.33,1.79,2.58,-0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,-1.83,-0.72,0.0,0.93,1.17,1.12,0.35,1.41,0.0,0.61,-0.39,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,-1.83,0.18,1.36,2.11,-0.44,1.12,0.0,0.15,-0.58,-0.38,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,-0.41,-0.41,0.0,-1.15,0.68,0.3,-0.58,-0.58,-0.58,1.03,-0.39,0.0,9.86,0.51,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.32,-0.46,-0.37,-0.97,0.0,-0.58,0.63,0.0,5.58,1.8,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-2.4,-0.46,6.42,0.0,0.0,3.22,-0.38,-0.39,0.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,-1.3,0.2,0.1,-0.77,-0.14,6.0,1.71,0.18,-0.39,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,-0.33,-1.97,3.93,1.59,-0.14,0.0,-0.39,0.0,1.24,-0.19,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.09,0.09,0.41,0.0,-0.78,2.86,0.0,-0.4,0.19,0.0,-0.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-1.13,-1.13,-1.37,-0.78,0.0,-0.38,0.0,-0.4,-0.4,0.42,-0.2,0.0,21.75,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.11,-1.62,0.0,0.38,-0.59,-0.4,-0.2,0.0,4.08,1.73,-0.21,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,-0.8,0.0,-0.46,2.16,-0.59,-0.4,0.0,0.98,4.08,-0.2,-0.21,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,1.7,0.41,-0.29,0.0,-0.39,0.41,0.0,-0.2,0.0,-0.21,0.0,1.06,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.85,-0.63,-1.0,-0.39,0.0,0.0,-0.2,0.0,-0.21,-0.0,0.0,0.0,3.63,4.37,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,1.16,-0.25,0.13,-0.39,-0.4,1.46,1.05,-0.21,-0.21,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,-1.2,1.98,0.0,-0.4,3.32,-0.2,-0.21,-0.21,-0.21,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.12,-0.46,0.0,0.18,-0.4,0.99,0.6,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,-0.12,-0.12,-0.81,1.33,0.0,0.0,0.0,0.0,0.22,1.34,1.4,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,-0.47,0.74,-0.15,0.0,-0.2,1.1,0.23,0.24,0.24,0.0,0.0,0.0,0.0,0.82,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,-0.47,4.22,-0.2,-0.2,1.1,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
