genre,poetry,prophetic,prose,prose,instruction,prose,prophetic,prophetic,poetry,poetry,instruction,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,prophetic,list,prophetic,list,prose,list,prophetic,list,prose,prose,list,instruction,prose,instruction,prophetic
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,D,Q,?,?,N,N,D,N,Q,N,D,D,?
person,p3,p3,p3,p2,p3,p1,p1,p2,p2,p1,p2,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p3,p3,p1,p2,p1,p3,p2,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES ~ PRES PERF,4.63,8.8,11.0,8.0,8.0,44.0,29.33,17.6,9.78,29.33,29.33,inf,inf,88.0,inf,44.0,inf,88.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,9.22,11.86,4.15,16.6,inf,3.77,16.6,83.0,83.0,13.83,inf,inf,16.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,83.0,inf,inf,inf,inf,inf,inf,83.0,inf,inf,inf
FUT ~ MOD lest,7.2,12.0,3.79,6.0,7.2,36.0,18.0,inf,36.0,36.0,24.0,inf,inf,inf,inf,inf,inf,inf,inf,36.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,3.38,7.1,7.1,14.2,inf,17.75,71.0,14.2,11.83,17.75,71.0,17.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,6.45,6.45,5.07,8.88,17.75,10.14,71.0,10.14,14.2,inf,inf,inf,inf,inf,inf,inf,71.0,inf,inf,inf,71.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,71.0,inf,inf,inf,inf,inf
FUT ~ MOD can,4.0,3.56,9.14,12.8,64.0,10.67,64.0,32.0,21.33,64.0,inf,32.0,inf,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,4.77,6.89,3.65,20.67,15.5,31.0,inf,62.0,20.67,inf,62.0,20.67,inf,inf,62.0,31.0,inf,62.0,inf,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,8.71,6.1,6.1,20.33,15.25,20.33,30.5,inf,6.78,7.62,30.5,inf,inf,inf,inf,61.0,30.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,5.27,19.33,5.8,11.6,4.14,58.0,inf,29.0,29.0,inf,9.67,29.0,inf,inf,inf,58.0,inf,inf,58.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,6.11,5.0,55.0,6.11,55.0,55.0,inf,11.0,3.24,inf,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,10.0,12.5,4.55,12.5,25.0,2.94,inf,50.0,50.0,inf,25.0,50.0,inf,inf,50.0,inf,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,4.45,4.08,7.0,12.25,24.5,inf,inf,9.8,16.33,24.5,inf,inf,49.0,24.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,4.5,9.0,22.5,11.25,3.0,45.0,inf,45.0,22.5,inf,22.5,22.5,inf,45.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,5.62,11.25,6.43,5.62,22.5,11.25,inf,9.0,11.25,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,11.0,7.33,14.67,7.33,22.0,5.5,7.33,inf,inf,6.29,inf,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,8.4,6.0,10.5,14.0,inf,6.0,inf,14.0,7.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,38.0,12.67,9.5,6.33,6.33,7.6,12.67,7.6,38.0,12.67,inf,inf,inf,inf,38.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,38.0,5.43,4.22,4.75,38.0,7.6,38.0,19.0,inf,inf,9.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,9.5,9.5,9.5,inf,7.6,12.67,inf,inf,inf,9.5,inf,inf,3.8,38.0,inf,inf,19.0,inf,inf,inf,inf,inf,38.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,4.71,11.0,16.5,inf,16.5,inf,11.0,33.0,3.3,6.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,inf,11.0,2.06,16.5,16.5,4.12,inf,inf,33.0,inf,33.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,31.0,5.17,7.75,inf,31.0,2.82,6.2,15.5,inf,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,10.0,inf,2.5,5.0,30.0,30.0,inf,30.0,7.5,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,5.8,5.8,5.8,14.5,inf,4.14,29.0,inf,14.5,29.0,inf,29.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,29.0,29.0,inf,inf,14.5,inf,29.0,inf,inf,14.5,inf,inf,1.81,5.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,5.75,inf,11.5,7.67,inf,inf,inf,23.0,3.29,5.75,inf,inf,inf,inf,inf,inf,23.0,inf,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,23.0,7.67,23.0,3.83,inf,inf,23.0,7.67,3.29,inf,inf,inf,inf,inf,inf,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,2.75,4.4,22.0,22.0,inf,11.0,22.0,inf,22.0,inf,inf,11.0,inf,inf,inf,inf,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,3.5,21.0,inf,inf,21.0,21.0,inf,21.0,inf,21.0,inf,inf,5.25,5.25,21.0,inf,inf,inf,inf,inf,inf,inf,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,3.0,10.5,7.0,inf,inf,5.25,7.0,inf,inf,10.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
