,prose,prose,prophetic,prose,prophetic,poetry,prophetic,prose,poetry,poetry,prose,prose,list,instruction,list,poetry,prophetic,prose,instruction,instruction,prophetic,prophetic,prophetic,instruction,prophetic,prophetic,prose,poetry,prose,poetry,poetry,prose,poetry,poetry,prose,prophetic,prophetic,prose,prophetic,poetry,poetry,instruction,poetry,list,prose,instruction,prose,prophetic,prophetic,prose,poetry,poetry,poetry,instruction,instruction,prose,list,prophetic,prose,prophetic,prose,prose,prophetic,prose,instruction,prose,list,prophetic,prophetic,prophetic,instruction,prose,poetry,instruction,list,poetry,prose,prose,list,prophetic,prose,prose,list,prophetic,prophetic,prophetic,prophetic,poetry,poetry,instruction,instruction,prophetic,prose,list,list,list,list,list,poetry,prophetic,poetry,poetry,prose,poetry,prose,prophetic,prophetic,prophetic,instruction
,N,Q,Q,Q,Q,Q,Q,N,Q,Q,Q,?,N,Q,?,?,?,Q,N,Q,N,?,Q,Q,N,Q,?,Q,N,?,D,Q,D,?,N,N,?,D,D,Q,N,D,D,N,Q,D,Q,Q,D,Q,Q,Q,Q,N,?,N,Q,Q,D,Q,N,N,Q,N,D,Q,Q,D,?,N,?,?,N,Q,?,N,Q,D,Q,D,N,Q,N,D,?,Q,Q,?,N,D,N,N,N,N,N,N,N,Q,?,N,D,D,?,Q,Q,D,N,N,?
,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PAST.PERF.IND,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PAST..IND,PRES.PERF.IND,PAST..IND,PRES..IND,PRES..IND,PAST.PERF.IND,PAST..IND,PAST..IND,PAST..IND,PAST..IND,FUT..IND,PRES..IND,PAST.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PRES..MOD,PAST..IND,PRES..IND,PAST..SUBJ,PRES.PERF.IND,PRES.PERF.IND,PAST..SUBJ,PRES..IND,PRES.PERF.IND,PAST..IND,PRES..IND,PAST..SUBJ,PAST..IND,PAST..IND,PAST..IND,PAST.PERF.IND,PRES.PROG.IND,PRES.PERF.IND,FUT..IND,PRES..,PRES.PERF.IND,PRES..MOD,PRES..MOD,FUT..IND,PRES..,PAST.PERF.IND,PRES.PERF.IND,PRES..,PRES.PERF.IND,PAST..SUBJ,PAST.PERF.IND,PRES..MOD,PAST.PROG.IND,PRES..IND,PRES.PROG.IND,PRES.PERF.IND,PRES..IND,PAST.PROG.IND,PAST..IND,PAST..IND,FUT..IND,PRES.PERF.IND,PRES..IND,PRES..MOD,PRES.PERF.IND,FUT..IND,PAST.PERF.IND,PRES..IND,PRES..,PRES.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,past.PERF_PROG.IND,..,PRES..MOD,FUT..IND,PAST.PERF.IND,..,FUT.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PAST..SUBJ,PRES..IND,PAST.PROG.IND,..,PAST..SUBJ,PRES..,PRES..IND,PRES.PERF.IND,PRES..MOD,PRES..,PAST..SUBJ,FUT..IND,PAST.PERF.IND,PAST.PROG.IND,PRES.PROG.IND,PRES.PERF_PROG.IND,PAST..SUBJ,PRES..MOD,PRES..,PAST..IND
Ø,-49.97,-1.89,2.88,-10.78,3.62,41.11,0.24,-40.21,36.15,22.04,0.66,-8.33,-3.51,0.19,-1.86,12.38,5.59,-3.23,-0.39,-4.8,0.54,-1.3,0.73,-0.07,-3.78,-3.82,-3.39,-1.02,-2.57,1.76,2.6,0.1,8.05,3.88,-1.95,-1.03,2.07,-0.85,2.29,0.12,-0.26,-1.29,3.19,-1.09,0.77,-1.11,0.14,0.52,0.35,-0.16,-0.16,0.0,-0.0,-0.16,-0.68,0.17,0.0,0.82,-0.46,0.82,0.0,-0.46,-0.22,0.47,0.0,0.0,0.0,0.0,1.36,0.62,-0.24,-0.24,2.5,0.85,0.0,1.87,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>CR_,-15.06,5.28,-34.81,53.01,-0.91,-20.89,2.04,62.76,-12.67,-9.26,-6.41,0.11,-0.71,1.88,-0.11,-5.04,-6.23,0.05,0.47,4.45,0.0,15.04,-2.77,-0.08,11.04,3.26,1.57,0.0,-1.63,0.12,-0.63,-0.12,-1.23,-1.23,-1.23,-1.02,0.0,-0.3,-1.04,-0.31,-0.81,0.15,-0.15,1.46,-0.15,1.03,-0.64,0.0,-0.43,-0.43,0.0,-0.43,-0.43,2.36,3.92,-0.22,0.49,-0.22,-0.0,-0.22,-0.22,1.22,0.23,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.0,1.57,0.0,1.57,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_,79.22,-7.25,-7.83,-11.57,-4.59,-4.66,-1.18,-2.32,-1.97,-4.52,-5.5,11.06,3.12,-0.24,10.49,1.46,-2.28,-2.82,0.22,-2.63,2.17,-2.44,-0.32,-0.65,-0.5,0.35,1.24,-0.12,14.51,-0.46,0.0,1.01,-0.3,-0.3,15.82,-0.14,-0.82,0.0,-0.82,-0.0,-0.15,-0.62,-0.62,-0.41,0.18,-0.42,0.0,0.0,-0.21,0.0,0.97,0.47,1.85,-0.22,-0.22,-0.0,-0.0,0.73,0.73,0.0,0.73,0.24,0.0,0.29,0.0,1.72,0.0,0.29,0.36,0.36,1.05,2.07,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.61,0.88,0.0,0.88,0.0,0.88,0.88,0.0,0.0,0.88,0.0,0.88,0.88,0.0,0.88,0.0,0.0,0.88,0.88,0.0,0.0
_KJ_,-0.02,7.14,-1.66,-2.73,10.05,0.62,-9.03,12.76,-4.09,0.54,-0.03,-5.83,-1.22,-0.58,-0.78,-0.84,-2.56,-0.57,-3.18,0.54,-1.06,-2.63,-0.0,0.1,0.11,-1.35,0.9,0.0,0.0,-0.58,-0.15,-0.6,-0.61,0.15,-0.61,0.16,1.06,1.74,0.66,0.0,-0.41,1.33,-0.41,-0.2,-0.2,-0.21,0.0,0.0,3.02,0.64,-0.21,-0.21,0.0,0.0,0.0,0.0,0.28,0.0,1.78,0.0,0.93,0.0,0.38,0.38,0.0,0.38,0.38,0.0,0.0,0.46,0.0,0.0,0.0,0.56,1.54,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KH_,-25.27,-19.82,195.69,-12.36,-12.98,-11.48,-4.9,-10.01,-9.46,-7.82,45.85,-3.57,-2.15,-1.82,-1.47,-1.29,13.87,-1.3,-1.12,-0.94,-0.74,-0.74,-0.39,0.68,-0.4,-0.4,-0.19,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_K_>CR_,3.67,-1.6,-8.72,16.47,-0.56,-6.19,0.05,5.83,-3.92,-1.84,-1.05,-2.14,0.38,0.26,-0.28,-0.75,-0.76,-0.76,1.31,2.84,0.17,0.0,-0.2,0.0,0.21,0.62,0.68,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_>T_,28.15,-0.64,-1.76,-0.26,-2.03,-2.98,0.54,-1.17,-0.45,-2.7,-1.17,-0.42,1.26,-0.38,-0.39,-0.19,-0.19,-0.19,0.99,0.21,0.21,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_B_,-0.04,-2.19,-0.12,-0.88,0.0,0.91,2.89,-3.42,1.86,0.51,-1.17,0.62,-0.56,0.17,-0.39,0.43,0.0,-0.19,0.51,0.21,0.21,0.62,1.67,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.66,0.0,0.69,0.0,1.79,0.0,0.0,0.81,0.81,0.81,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
