prec_part,sum
_W_GM_W_W_,1
_W_GM_PH_,1
_W_>T_>T_,1
_W_>T_W_>T_W_>T_W_>T_W_>T_,1
_W_>T_W_>T_W_>T_MN_MN_,1
_W_>T_W_>T_>T_,1
_W_>T_MJ_,1
_W_>T_DRC[_,1
_W_>T_B_W_>T_,1
_W_>T_B_HW>_,1
_W_>T_B_,1
_W_>T_>LH_,1
_W_>T_W_>T_W_>T_W_>T_W_>T_W_>T_W_>T_,1
_W_>T==_W_W_,1
_W_>P_>MNM_,1
_W_>P_,1
_W_>M_MN_MN_,1
_W_>M_L_,1
_W_>M_K_,1
_W_>M_B_W_B_,1
_<L_H_,1
_W_>T_W_>T_W_>T_W_>T_W_>T_W_>T_,1
_W_>T_Z>T_,1
_W_GM_L_,1
_W_B_MN_PNJMH_,1
_W_GM_KKH_,1
_W_GM_KJ_,1
_W_GM_DLH[_,1
_W_GM_>T_W_>T_W_>T_W_>T_W_>T_,1
_W_GM_>T_W_,1
_W_GM_>L_,1
_W_B_ZH_,1
_W_B_W_L_ZH_,1
_W_B_KN_,1
_W_>WLM_,1
_W_B_HJ>_,1
_W_B_B_B_B_,1
_W_B_>LH_,1
_MN_L_W_<D_ZH_,1
_W_>XR/_Z>T_,1
_W_>XR/_W_,1
_W_>XR/_MN_,1
_<D_MTJ_,1
_W_BRWR/_,1
_<M_B_,1
_MN_L_>CR_,1
_>CR_GM_,1
_GM_CM_,1
_GM_B_HM_,1
_GM_B_HJ>_,1
_GM_>T_ZH_L_ZH_,1
_GM_>T_HW>_W_>T_,1
_GM_>T_GM_,1
_GM_>TMWL/_GM_CLCWM/_,1
_GM_>CR_,1
_GM_<D_HJ>_,1
_C_KKH_,1
_GM_MN_,1
_C_CM_,1
_C_B_,1
_>CR_KMW_,1
_CW>/_,1
_CQR/_,1
_>CR_L_,1
_CDD[_,1
_CB<[_,1
_B_W_B_W_,1
_GM_KJ_,1
_GM_MN_>Z_,1
_B_L_B_,1
_H=_GLH[_,1
_H=_RJB[_,1
_H=_NYL[_,1
_H=_MWT[_,1
_H=_M>S[_,1
_H=_L_L_,1
_H=_JKL[_,1
_H=_GM_HLM_,1
_H=_GM_>L_,1
_H=_GM_<L_,1
_H=_CLX[_,1
_GM_MN_MN_W_<D_W_L_W_,1
_H=_>T_,1
_H=_>L_W_>L_,1
_H=_>KL[_,1
_H=_<L_W_>L_,1
_>CR_<L_KN_,1
_GM_Z>T_MN_<M_,1
_GM_W_W_,1
_GM_W_RBH[_,1
_GM_W_,1
_B_MN_<L_,1
_B_H_,1
_MN_HJ>_,1
_>KN_NC>=[_,1
_>KN_HNH_L_,1
_>T==_,1
_>P_KJ_,1
_>P_>L_W_,1
_>PS/_KJ_N>Y[_,1
_>N>_,1
_>M_NF>[_,1
_>M_L_K_Z>T_,1
_>M_>T_W_>T_,1
_>MNM_,1
_>T_>CR_KBR/_,1
_>MNH_,1
_>L_ZH_,1
_>LW_L_W_L_,1
_>K_<TH_,1
_>L===_,1
_>K_VRP[_,1
_>K_RJQ/_,1
_>K_QWM[_,1
_>K_MN_W_W_MN_,1
_>T_>CR_<DN_,1
_>T_Z>T_,1
_B_HW>_>Z_,1
_BLT/_,1
_B_HM_B_,1
_B_HMH_,1
_B_H=_,1
_B_B_ZH_,1
_B_B_W_L_,1
_B_>T_,1
_B_>LH_,1
_B_<L_,1
_BNH[_,1
_B>C[_,1
_>T_ZH_,1
_B<D/_,1
_>XR/_ZH_,1
_>XR/_Z>T_,1
_>XR/_W_>LH_,1
_>XR/_MJ_,1
_>XR/_K_>CR_,1
_>XR/_KN_,1
_>J_ZH_,1
_>W_H=_,1
_H=_W_,1
_H=_YWM[_,1
_H>X_,1
_KJ_W_W_W_,1
_K_B_,1
_K_>LH_,1
_<M_,1
_>K_MN_,1
_KR<[_,1
_KN_B_,1
_<QB/_,1
_KN/_,1
_KMW_,1
_KJ_W_,1
_K_B_MN_,1
_KJ_RQ_,1
_KJ_RB/_,1
_KJ_MRH[_,1
_KJ_MN_W_W_,1
_KJ_MN_W_,1
_KJ_MN_>L_,1
_KJ_MDW<_,1
_KJ_L_HM_,1
_<RWM/_,1
_K_B_B_,1
_K_C_,1
_H>X_H>X_,1
_L_MJ_,1
_MN_B_,1
_MN_>T==_,1
_MN_>L_,1
_MN_<D_W_W_,1
_MN_<D_<D_,1
_<L_KN_ZH_,1
_MJ_B_,1
_<L_W_,1
_L_PTX[_,1
_L_B_,1
_K_KN_,1
_<L_W_<L_,1
_LZW_,1
_LW_>KL[_,1
_LWL>_W_,1
_LMH_ZH_MN_,1
_<L_Z>T_,1
_K_Z>T_W_K_Z>T_,1
_K_Z>T_,1
_K_K_L_,1
_KJ_LM<N_,1
_<D_<D_,1
_KJ_GNB[_,1
_<WD[_,1
_KJ_<L_W_<L_,1
_KJ_<L_MJ_,1
_KJ_<L_>LH_,1
_JWMM_,1
