clause_rela,cl_args,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,AVS,0.13,0.01,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,RVC,0.5,0.28,0.03,0.18,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,RV,0.44,0.33,0.07,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,V,0.29,0.24,0.43,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,VO,0.34,0.37,0.24,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_SV,0.67,0.09,0.16,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,VS,0.21,0.17,0.6,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_SVC,0.74,0.11,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_SVO,0.68,0.13,0.14,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,SVO,0.43,0.3,0.22,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,SV,0.36,0.24,0.37,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,RVS,0.3,0.2,0.04,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Main,OV,0.3,0.43,0.24,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Main,VC,0.3,0.36,0.32,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
SubMod,RVO,0.51,0.24,0.05,0.17,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,RVSC,0.47,0.12,0.11,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_OV,0.6,0.19,0.15,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Main,SVC,0.37,0.3,0.27,0.03,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_V,0.48,0.19,0.3,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Main,AV,0.43,0.2,0.33,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Main,AVO,0.47,0.24,0.22,0.03,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_VS,0.33,0.25,0.34,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_VO,0.2,0.51,0.2,0.07,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,RVA,0.44,0.21,0.11,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,VSC,0.33,0.38,0.26,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_VC,0.44,0.36,0.15,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_OVC,0.77,0.15,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,RVOC,0.63,0.23,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,VA,0.2,0.36,0.4,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_V,0.43,0.1,0.13,0.0,0.0,0.16,0.13,0.01,0.03,0.0,0.0,0.0,0.0,0.0
Main,AVSC,0.44,0.05,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,CV,0.48,0.18,0.29,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Main,OVC,0.33,0.52,0.13,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_AVS,0.1,0.02,0.84,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_SVA,0.76,0.05,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,RVCA,0.61,0.18,0.04,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_AVC,0.89,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,VSO,0.15,0.54,0.26,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,SVA,0.54,0.19,0.23,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,VOC,0.38,0.44,0.15,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_VS,0.63,0.02,0.08,0.02,0.0,0.14,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_>CR_VS,0.58,0.14,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_>CR_V,0.5,0.31,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,VCO,0.45,0.43,0.09,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_>CR_VC,0.72,0.17,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_SV,0.2,0.56,0.16,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_CV,0.74,0.12,0.09,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_AVS,0.95,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
