clause_rela,cl_args,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,AVS,-0.32,-0.25,0.67,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVC,0.07,0.03,-0.19,0.1,-0.01,-0.0,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RV,0.01,0.09,-0.15,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,V,-0.15,-0.01,0.22,-0.08,0.02,0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VO,-0.09,0.12,0.03,-0.08,0.01,0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SV,0.24,-0.16,-0.06,-0.02,0.0,-0.01,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
Main,VS,-0.22,-0.08,0.39,-0.08,0.0,-0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
Main,_W_SVC,0.32,-0.13,-0.16,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVO,0.26,-0.12,-0.08,-0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SVO,0.0,0.06,0.01,-0.06,-0.0,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SV,-0.08,-0.01,0.16,-0.06,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVS,-0.14,-0.04,-0.18,0.37,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0
Main,OV,-0.14,0.19,0.03,-0.08,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VC,-0.13,0.11,0.11,-0.08,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0
SubMod,RVO,0.08,-0.01,-0.16,0.09,-0.01,0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVSC,0.04,-0.13,-0.11,0.22,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
