bhsa_node,esv_tags,esv_VBtags,esv_tense,esv_aspect,esv_modality,esv_TAM,esv_TAMtag,niv_tags,niv_VBtags,niv_tense,niv_aspect,niv_modality,niv_TAM,niv_TAMtag,eng_fullparse,eng_TAM,eng_agree
326729,VBP|VBN|RP,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,VBP|VBN|RP,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
326732,VBP|VBN|RP,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,VBP|VBN|RP,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
326751,JJ,,,,,,,VBP|JJ,VBP,PRES,,IND,PRES..IND,PRES,False,,False
326755,VBZ,VBZ,PRES,,IND,PRES..IND,PRES,VBZ,VBZ,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
326909,MD|VB|VBN,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,MD|VB|VBN,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,True,PAST..SUBJ,True
326913,PRP|VBD,VBD,PAST,,IND,PAST..IND,PAST,PRP|VBD,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
326914,VBZ,VBZ,PRES,,IND,PRES..IND,PRES,VBZ|VBG,VBZ|VBG,PRES,PROG,IND,PRES.PROG.IND,PRES PROG,True,PRES..IND ~ PRES.PROG.IND,False
327007,VBD,VBD,PAST,,IND,PAST..IND,PAST,VBD,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
327011,VBD,VBD,PAST,,IND,PAST..IND,PAST,VBD,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
327049,VBD|IN|DT|NN,VBD,PAST,,IND,PAST..IND,PAST,VBD,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
