bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
3,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
15,ἦν,imperfect,active,indc,3,sg,imperfect indc
47,,,,,,,
69,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
172,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
178,,,,,,,
227,,,,,,,
351,,,,,,,
397,ἐξήγαγεν,aorist,active,indc,3,sg,aorist indc
413,,,,,,,
494,,,,,,,
545,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
550,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
594,δέδωκα,perfect,active,indc,1,sg,perfect indc
660,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
694,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
706,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
719,κατέπαυσεν,aorist,active,indc,3,sg,aorist indc
724,ἤρξατο,aorist,middle,indc,3,sg,aorist indc
764,ἔβρεξεν,aorist,active,indc,3,sg,aorist indc
831,ἔπλασεν,aorist,active,indc,3,sg,aorist indc
1074,εὑρέθη,aorist,passsive,indc,3,sg,aorist indc
1105,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
1137,ἐλήμφθη,aorist,passsive,indc,3,sg,aorist indc
1171,ἦν,imperfect,active,indc,3,sg,imperfect indc
1179,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
1189,εἶπεν,aorist,active,indc,3,sg,aorist indc
1221,εἶπεν,aorist,active,indc,3,sg,aorist indc
1359,ἤκουσα,aorist,active,indc,1,sg,aorist indc
1373,ἀνήγγειλέν,aorist,active,indc,3,sg,aorist indc
1383,ἐνετειλάμην,aorist,middle,indc,1,sg,aorist indc
1388,ἔφαγες,aorist,active,indc,2,sg,aorist indc
1396,ἔδωκας,aorist,active,indc,2,sg,aorist indc
1399,ἔδωκεν,aorist,active,indc,3,sg,aorist indc
1415,ἐποίησας,aorist,active,indc,2,sg,aorist indc
1422,ἠπάτησέν,aorist,active,indc,3,sg,aorist indc
1433,ἐποίησας,aorist,active,indc,2,sg,aorist indc
1480,εἶπεν,aorist,active,indc,3,sg,aorist indc
1501,εἶπεν,aorist,active,indc,3,sg,aorist indc
1503,ἤκουσας,aorist,active,indc,2,sg,aorist indc
1513,ἐνετειλάμην,aorist,middle,indc,1,sg,aorist indc
1554,ἐλήμφθης,aorist,passsive,indc,2,sg,aorist indc
1571,,,,,,,
1595,γέγονεν,perfect,active,indc,3,sg,perfect indc
1635,ἐλήμφθη,aorist,passsive,indc,3,sg,aorist indc
1670,ἔγνω,aorist,active,indc,3,sg,aorist indc
1682,ἐκτησάμην,aorist,middle,indc,1,sg,aorist indc
