bhsa_node,mother_cl,mother_cl_atom,mother_clause,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,daught_cl,daught_cl_atom,daught_clause,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex
3,,,,,,,,,,427554.0,515675.0,וְהָאָ֗רֶץ הָיְתָ֥ה תֹ֨הוּ֙ וָבֹ֔הוּ ,Main,?,qtl,WXQt,p3,HJH[
15,427553.0,515674.0,בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ ,Main,?,qtl,xQtX,p3,BR>[,427555.0,515676.0,וְחֹ֖שֶׁךְ עַל־פְּנֵ֣י תְהֹ֑ום ,Main,?,Ø,NmCl,,
47,427560.0,515681.0,וַיַּ֧רְא אֱלֹהִ֛ים אֶת־הָאֹ֖ור ,Main,N,wayq,WayX,p3,R>H[,,,,,,,,,
69,427563.0,515684.0,וַיִּקְרָ֨א אֱלֹהִ֤ים׀ לָאֹור֙ יֹ֔ום ,Main,N,wayq,WayX,p3,QR>[,,,,,,,,,
172,427584.0,515706.0,וַיִּקְרָ֨א אֱלֹהִ֤ים׀ לַיַּבָּשָׁה֙ אֶ֔רֶץ ,Main,N,wayq,WayX,p3,QR>[,,,,,,,,,
178,427586.0,515708.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,,,,,,,,,
227,427598.0,515724.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,,,,,,,,,
351,427615.0,515741.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,,,,,,,,,
397,427623.0,515749.0,וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ ,Main,N,wayq,WayX,p3,BR>[,,,,,,,,,
413,427628.0,515755.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,,,,,,,,,
494,427646.0,515773.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,,,,,,,,,
545,427652.0,515779.0,וַיִּבְרָ֨א אֱלֹהִ֤ים׀ אֶת־הָֽאָדָם֙ בְּצַלְמֹ֔ו ,Main,N,wayq,WayX,p3,BR>[,427654.0,515781.0,זָכָ֥ר וּנְקֵבָ֖ה בָּרָ֥א אֹתָֽם׃ ,Main,N,qtl,xQt0,p3,BR>[
550,427653.0,515780.0,בְּצֶ֥לֶם אֱלֹהִ֖ים בָּרָ֣א אֹתֹ֑ו ,Main,N,qtl,xQt0,p3,BR>[,,,,,,,,,
594,427663.0,515790.0,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,427665.0,515792.0,זֹרֵ֣עַ זֶ֗רַע ,SubMod,Q,ptcp,Ptcp,unknown,ZR<[
660,427673.0,515802.0,וַיַּ֤רְא אֱלֹהִים֙ אֶת־כָּל־,Main,N,wayq,WayX,p3,R>H[,,,,,,,,,
694,427680.0,515809.0,וַיְכַ֤ל אֱלֹהִים֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מְלַאכְתֹּ֖ו ,Main,N,wayq,WayX,p3,KLH[,,,,,,,,,
706,427682.0,515811.0,וַיִּשְׁבֹּת֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מִכָּל־מְלַאכְתֹּ֖ו ,Main,N,wayq,Way0,p3,CBT[,,,,,,,,,
719,427684.0,515813.0,וַיְבָ֤רֶךְ אֱלֹהִים֙ אֶת־יֹ֣ום הַשְּׁבִיעִ֔י ,Main,N,wayq,WayX,p3,BRK[,427687.0,515816.0,אֲשֶׁר־בָּרָ֥א אֱלֹהִ֖ים ,SubMod,N,qtl,xQtX,p3,BR>[
724,427686.0,515815.0,כִּ֣י בֹ֤ו שָׁבַת֙ מִכָּל־מְלַאכְתֹּ֔ו ,SubAdv,N,qtl,xQt0,p3,CBT[,427688.0,515817.0,לַעֲשֹֽׂות׃ פ ,SubAdv,N,infc,InfC,unknown,<FH[
