,V,_W_V,AV,CV,_W_SV,_W_AV,SV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,CQV,ACV,QOV,_W_RV,IAV,ISV,_W_CSV,_W_AOV,_W_COV,ASAV,RAV,_W_OSV,CASV,ISAV,RSV,CSOV,ROV,CISV,IOV,CAOV,CCV,COSV,ACAV,OSV,_W_IV,OOV,COAV,_W_OOV,_W_ACV,_W_OQV,_W_ASAV,CQAV,ACSV,_W_QOV,QSAV,RASV,_W_QAV,ASOV,_W_ISV,ARV,AOAV,_W_SOAV,CAQV,OASV,_W_IAV,_W_ASOV,CISAV,_W_AOAV,_W_ACAV,CRV,SOAV,SAOV,QASAV,IISOAV,QAOV,OQV,QSAOV
MOD shall,0.65,0.64,2.02,0.17,2.19,1.89,1.67,0.44,1.83,1.92,0.46,1.04,2.96,0.06,1.92,1.18,0.26,1.32,0.09,0.57,1.63,0.14,0.79,0.15,0.56,2.51,3.54,0.13,1.54,0.69,0.0,0.0,0.19,0.71,1.12,2.32,0.0,1.93,0.0,1.32,0.39,0.88,1.85,0.44,1.23,0.62,0.0,9.27,1.03,0.0,0.0,0.0,1.03,1.03,0.0,0.0,1.54,1.54,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,0.66,0.35,0.85,3.23,0.71,0.69,0.93,4.23,0.54,0.83,0.33,0.93,1.15,6.03,1.47,1.66,0.26,1.5,0.56,1.83,0.64,15.12,0.83,1.5,3.22,1.34,0.93,0.93,0.98,2.59,1.15,6.87,0.0,2.91,3.28,1.02,6.75,1.66,7.49,2.49,1.87,1.07,1.25,2.24,1.5,3.74,5.61,1.25,3.74,11.23,inf,11.23,3.74,3.74,3.74,0.0,1.87,1.87,7.48,0.0,0.0,0.0,0.0,3.74,0.0,3.74,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,inf,inf,0.0,0.0,0.0
FUT,0.99,1.02,1.27,0.63,1.3,0.99,1.34,0.45,1.25,1.04,0.52,2.09,0.75,0.51,0.76,1.41,0.95,1.12,0.12,2.35,2.36,0.19,2.36,0.82,1.42,0.77,0.63,0.0,1.37,0.41,0.26,1.27,0.26,1.37,0.29,0.32,0.32,0.34,0.37,1.03,1.18,2.06,0.59,2.47,0.69,0.82,0.0,0.0,0.0,0.0,0.0,1.37,1.37,1.37,1.37,4.12,2.06,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,inf,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD let,4.83,2.43,0.27,0.08,0.57,0.27,1.0,0.0,0.43,0.36,0.03,0.13,0.38,0.09,0.38,0.0,0.0,0.43,0.0,0.0,0.85,0.0,0.0,3.5,0.39,0.0,0.0,0.0,1.35,0.7,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.53,5.77,0.44,2.22,0.36,0.5,0.78,0.58,0.29,0.64,0.12,0.21,0.09,1.07,0.34,0.57,0.2,0.53,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.79,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST,1.11,0.59,1.59,0.94,0.85,2.04,1.13,1.18,1.02,0.86,0.05,1.02,0.88,0.61,0.78,0.25,0.0,0.35,0.36,0.0,0.0,1.13,1.15,0.59,0.0,2.08,0.0,0.0,0.0,2.43,0.0,1.51,0.0,1.62,1.73,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0,0.0,4.04,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,0.0,0.0,0.0,12.13,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,2.48,0.98,1.12,0.08,0.82,1.74,0.43,0.0,2.09,1.81,0.0,0.3,0.17,0.21,0.22,0.35,0.0,0.0,0.0,0.6,2.0,0.0,2.53,0.0,0.91,0.93,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV do not,5.77,1.93,0.29,0.03,0.19,0.9,0.04,0.0,0.66,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.97,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.76,0.89,0.22,0.95,0.72,0.54,0.24,1.88,0.39,0.19,8.15,1.16,0.0,1.56,0.0,0.5,22.49,0.0,0.72,2.68,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,8.17,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.17,0.0,48.92,48.92,0.0,0.0,48.92,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES do not,0.9,2.24,0.33,1.11,0.52,0.71,0.72,1.26,1.57,1.03,0.15,1.49,0.72,4.89,0.45,0.74,0.0,2.11,0.0,1.26,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,0.0,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
