esv_TAM,V,_W_V,AV,CV,_W_SV,_W_AV,SV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,CQV,ACV,QOV,_W_RV,IAV,ISV,_W_CSV,_W_AOV,_W_COV,ASAV,RAV,_W_OSV,CASV,ISAV,RSV,CSOV,ROV,CISV,IOV,CAOV,CCV,COSV,ACAV,OSV,_W_IV,OOV,COAV,_W_OOV,_W_ACV,_W_OQV,_W_ASAV,CQAV,ACSV,_W_QOV,QSAV,RASV,_W_QAV,ASOV,_W_ISV,ARV,AOAV,_W_SOAV,CAQV,OASV,_W_IAV,_W_ASOV,CISAV,_W_AOAV,_W_ACAV,CRV,SOAV,SAOV,QASAV,IISOAV,QAOV,OQV,QSAOV
MOD shall,6.85,9.32,5.07,51.25,9.79,12.47,13.62,38.04,16.33,19.84,61.5,42.41,38.04,1230.0,60.49,136.67,527.14,175.71,1845.0,410.0,194.21,1845.0,410.0,1845.0,615.0,217.06,230.62,3690.0,461.25,922.5,inf,inf,3690.0,1230.0,922.5,615.0,inf,738.0,inf,1230.0,3690.0,1845.0,1230.0,3690.0,1845.0,3690.0,inf,1230.0,3690.0,inf,inf,inf,3690.0,3690.0,inf,inf,3690.0,3690.0,inf,inf,3690.0,inf,inf,inf,inf,inf,3690.0,3690.0,inf,inf,inf,inf,inf,inf,inf,3690.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,6.81,15.3,8.6,5.88,20.8,25.25,20.14,8.29,40.28,35.36,83.74,46.12,67.7,32.14,70.71,106.07,530.33,159.1,353.56,167.47,397.75,88.39,397.75,265.17,176.78,318.2,530.33,636.4,636.4,353.56,795.5,289.27,inf,454.57,454.57,1060.67,353.56,795.5,397.75,795.5,1060.67,1591.0,1591.0,1060.67,1591.0,1060.67,1060.67,3182.0,1591.0,1060.67,795.5,1060.67,1591.0,1591.0,1591.0,inf,3182.0,3182.0,1591.0,inf,inf,inf,inf,3182.0,inf,3182.0,inf,inf,inf,3182.0,3182.0,inf,inf,3182.0,3182.0,inf,inf,inf,inf,3182.0,inf,inf,3182.0,3182.0,inf,inf,inf
FUT,5.21,6.75,6.52,17.24,13.22,19.02,15.43,38.29,20.62,29.78,56.69,25.63,95.1,163.78,117.92,117.92,173.41,196.53,1474.0,140.38,147.4,1474.0,184.25,421.14,294.8,491.33,737.0,inf,491.33,1474.0,2948.0,737.0,2948.0,737.0,2948.0,2948.0,2948.0,2948.0,2948.0,1474.0,1474.0,982.67,2948.0,982.67,2948.0,2948.0,inf,inf,inf,inf,inf,2948.0,2948.0,2948.0,2948.0,1474.0,2948.0,inf,inf,inf,inf,inf,2948.0,inf,inf,inf,inf,inf,inf,inf,inf,2948.0,inf,inf,inf,inf,2948.0,inf,2948.0,inf,inf,2948.0,inf,inf,inf,inf,inf
MOD let,1.99,3.59,24.49,136.43,26.53,63.67,19.1,inf,53.06,79.58,955.0,318.33,191.0,955.0,238.75,inf,inf,477.5,inf,inf,318.33,inf,inf,119.37,955.0,inf,inf,inf,477.5,955.0,inf,inf,inf,inf,inf,955.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,955.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,8.67,2.17,15.78,6.26,41.53,35.86,23.91,32.88,78.9,46.41,263.0,197.25,789.0,87.67,263.0,263.0,789.0,394.5,inf,inf,inf,inf,inf,394.5,inf,inf,inf,inf,789.0,394.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,789.0,inf,inf,inf,789.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,789.0,inf,inf,inf,inf,inf,inf
PAST,4.78,10.68,5.29,12.72,18.69,10.14,17.09,17.09,23.92,35.18,598.0,42.71,85.43,149.5,119.6,598.0,inf,598.0,598.0,inf,inf,299.0,299.0,598.0,inf,199.33,inf,inf,inf,299.0,inf,598.0,inf,598.0,598.0,inf,inf,inf,inf,598.0,inf,inf,inf,inf,598.0,inf,598.0,inf,inf,inf,inf,inf,inf,inf,598.0,inf,inf,inf,598.0,598.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,598.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,2.74,6.97,6.97,141.67,19.32,11.49,42.5,inf,12.5,17.71,inf,141.67,425.0,425.0,425.0,425.0,inf,inf,inf,425.0,141.67,inf,141.67,inf,425.0,425.0,212.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV do not,1.77,4.09,23.35,397.0,79.4,20.89,397.0,inf,36.09,36.09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,44.11,397.0,inf,inf,397.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,6.45,7.58,30.3,12.62,21.64,33.67,75.75,11.22,60.6,151.5,5.41,37.88,inf,60.6,inf,303.0,11.22,inf,303.0,101.0,inf,inf,151.5,inf,inf,inf,inf,inf,inf,inf,37.88,inf,inf,inf,inf,151.5,303.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,151.5,inf,303.0,303.0,inf,inf,303.0,inf,inf,inf,inf,inf,inf,303.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,303.0,inf
PRES do not,5.62,3.65,20.8,10.95,29.71,26.0,26.0,16.0,16.0,29.71,208.0,29.71,104.0,20.8,208.0,208.0,inf,104.0,inf,208.0,inf,inf,inf,inf,208.0,inf,inf,inf,208.0,inf,inf,inf,inf,inf,inf,inf,208.0,inf,208.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
