cl_args,MOD shall,PRES,FUT,MOD let,MOD may,PAST,IMPV,IMPV do not,MOD can,PRES do not,MOD would,MOD should,MOD lest,TO INF,PRES PERF,PRES PART,FUT question,PRES wh-question,MOD must,PRES question,MOD quest shall,MOD quest can,MOD could,MOD might,PAST did not,MOD is to,MOD quest should,FUT wh-question,HAB used to,PAST PERF,MOD was to,PRES do-support,MOD that be,MOD VB,PRES PROG,PAST PROG,MOD quest would,?VB,MOD,PRES PERF question,PRES shall,FUT PROG,PAST question,PRES PERF wh-question,FUT PERF,PRES do,MOD need not,MOD quest could,PAST wh-question,IMPV not,PRES can,JJ,PAST PROG keep,MOD that,MOD quest must
V,-0.07,-0.06,-0.0,0.13,-0.03,0.0,0.03,0.06,-0.0,-0.0,0.0,-0.01,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,-0.08,-0.14,0.0,0.07,0.13,-0.02,-0.0,0.02,-0.0,0.01,0.0,-0.0,0.01,0.02,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
AV,0.14,-0.03,0.04,-0.05,-0.03,0.02,0.0,-0.02,-0.02,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
CV,-0.2,0.24,-0.06,-0.06,0.05,-0.0,-0.03,-0.03,-0.0,0.0,-0.0,0.03,0.07,-0.0,0.02,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0,0.0,0.0,0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_W_SV,0.17,-0.05,0.04,-0.03,-0.03,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
_W_AV,0.13,-0.06,-0.0,-0.05,-0.03,0.04,0.02,-0.0,-0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,0.1,-0.01,0.05,0.0,-0.01,0.01,-0.02,-0.03,-0.02,-0.0,-0.0,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RV,-0.12,0.31,-0.1,-0.07,-0.02,0.01,-0.03,-0.03,0.02,0.0,-0.01,0.01,-0.01,0.01,0.01,0.0,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.0,0.01,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,0.13,-0.09,0.04,-0.04,-0.04,0.0,0.03,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
OV,0.14,-0.03,0.01,-0.04,-0.02,-0.01,0.02,-0.0,-0.02,0.0,-0.0,-0.01,-0.01,-0.01,0.0,0.01,-0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
