,V,_W_V,AV,CV,_W_SV,_W_AV,SV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,CQV,ACV,QOV,_W_RV,IAV,ISV,_W_CSV,_W_AOV,_W_COV,ASAV,RAV,_W_OSV,CASV,ISAV,RSV,CSOV,ROV,CISV,IOV,CAOV,CCV,COSV,ACAV,OSV,_W_IV,OOV,COAV,_W_OOV,_W_ACV,_W_OQV,_W_ASAV,CQAV,ACSV,_W_QOV,QSAV,RASV,_W_QAV,ASOV,_W_ISV,ARV,AOAV,_W_SOAV,CAQV,OASV,_W_IAV,_W_ASOV,CISAV,_W_AOAV,_W_ACAV,CRV,SOAV,SAOV,QASAV,IISOAV,QAOV,OQV,QSAOV
MOD shall,-16.85,-14.47,40.0,-73.64,27.15,15.43,9.85,-15.38,11.09,10.59,-8.76,0.12,12.88,-15.2,3.89,0.32,-4.18,0.57,-5.78,-0.9,1.07,-3.15,-0.22,-2.77,-0.58,2.16,3.07,-1.77,0.47,-0.2,-1.72,-1.72,-1.04,-0.11,0.11,0.91,-1.54,0.48,-1.33,0.15,-0.16,0.0,0.38,-0.16,0.17,0.0,-0.46,1.32,-0.0,-0.24,-0.24,-0.24,-0.0,-0.0,-0.24,-0.24,0.24,0.24,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,-13.69,-54.38,-2.08,75.62,-3.85,-3.91,-0.32,75.86,-7.21,-0.89,-12.98,-0.19,0.42,27.84,1.49,1.6,-3.61,0.85,-0.98,1.45,-0.5,16.33,-0.15,0.59,3.3,0.37,0.0,0.0,0.0,1.48,0.11,3.9,-1.48,1.24,1.62,-0.0,3.24,0.31,3.07,0.63,0.39,-0.0,0.17,0.42,0.19,0.95,1.18,-0.0,0.7,1.5,2.7,1.5,0.7,0.7,0.7,-0.23,0.29,0.29,0.94,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.0,0.0,0.0,0.68,0.68,0.0,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.68,0.68,0.0,0.0,0.0
FUT,-0.07,0.15,4.31,-7.85,2.97,-0.02,3.06,-12.05,1.59,0.14,-5.46,8.82,-0.82,-2.29,-0.64,0.8,0.0,0.19,-4.04,2.58,2.48,-2.13,1.94,-0.07,0.5,-0.16,-0.31,-2.05,0.35,-0.54,-0.65,0.12,-0.65,0.27,-0.48,-0.48,-0.48,-0.31,-0.32,-0.0,0.16,0.41,0.0,0.71,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.24,0.24,0.24,0.24,0.76,0.32,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0
MOD let,109.11,27.18,-21.03,-26.87,-3.17,-8.83,-0.0,-21.84,-3.88,-4.01,-11.46,-6.28,-1.72,-3.29,-1.32,-2.55,-2.37,-0.49,-1.66,-1.29,0.0,-0.94,-0.95,2.36,-0.29,-0.76,-0.59,-0.39,0.18,0.0,-0.21,-0.21,-0.21,-0.21,-0.21,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-8.71,105.2,-9.21,12.45,-6.33,-3.12,-0.72,-2.14,-5.33,-1.1,-7.05,-3.94,-3.24,0.07,-1.3,-0.31,-1.03,-0.23,-1.29,-1.13,-0.93,-0.76,-0.76,0.0,-0.57,-0.58,-0.39,-0.19,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.5,-3.93,4.4,-0.12,-0.36,5.43,0.34,0.47,0.04,-0.19,-6.56,0.05,0.0,-0.38,-0.08,-0.72,-1.28,-0.28,-0.28,-0.76,-0.55,0.16,0.16,0.0,-0.39,0.72,-0.2,-0.2,0.0,0.66,0.0,0.3,0.0,0.32,0.34,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.61,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.94,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,16.31,-0.02,0.38,-11.85,-0.38,2.55,-2.27,-9.29,3.6,2.09,-5.41,-1.69,-1.32,-1.02,-0.85,-0.27,-0.73,-0.57,-0.57,0.0,0.69,-0.19,0.9,-0.2,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV do not,61.34,6.78,-8.41,-13.36,-5.83,-0.13,-7.78,-8.8,-0.7,-0.17,-5.08,-3.66,-1.94,-1.63,-1.63,-0.72,-0.75,-0.57,-0.57,-0.39,-0.39,-0.2,-0.2,5.94,0.0,-0.2,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,-1.04,-0.25,-8.15,-0.04,-0.55,-1.16,-3.22,2.33,-1.57,-2.31,27.68,0.16,-1.43,0.58,-1.09,0.0,23.83,-0.39,0.0,0.95,-0.2,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,1.51,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,1.4,1.4,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
PRES do not,-0.18,5.85,-3.96,0.21,-0.96,-0.36,-0.36,0.38,0.95,0.07,-1.64,0.47,0.0,4.08,-0.14,0.0,-0.19,0.6,0.0,0.26,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
