esv_TAM,V,_W_V,AV,CV,_W_SV,_W_AV,SV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,CQV,ACV,QOV,_W_RV,IAV,ISV,_W_CSV,_W_AOV,_W_COV,ASAV,RAV,_W_OSV,CASV,ISAV,RSV,CSOV,ROV,CISV,IOV,CAOV,CCV,COSV,ACAV,OSV,_W_IV,OOV,COAV,_W_OOV,_W_ACV,_W_OQV,_W_ASAV,CQAV,ACSV,_W_QOV,QSAV,RASV,_W_QAV,ASOV,_W_ISV,ARV,AOAV,_W_SOAV,CAQV,OASV,_W_IAV,_W_ASOV,CISAV,_W_AOAV,_W_ACAV,CRV,SOAV,SAOV,QASAV,IISOAV,QAOV,OQV,QSAOV
MOD shall,5.85,8.32,4.07,50.25,8.79,11.47,12.62,37.04,15.33,18.84,60.5,41.41,37.04,1229.0,59.49,135.67,526.14,174.71,1844.0,409.0,193.21,1844.0,409.0,1844.0,614.0,216.06,229.62,3689.0,460.25,921.5,inf,inf,3689.0,1229.0,921.5,614.0,inf,737.0,inf,1229.0,3689.0,1844.0,1229.0,3689.0,1844.0,3689.0,inf,1229.0,3689.0,inf,inf,inf,3689.0,3689.0,inf,inf,3689.0,3689.0,inf,inf,3689.0,inf,inf,inf,inf,inf,3689.0,3689.0,inf,inf,inf,inf,inf,inf,inf,3689.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,5.81,14.3,7.6,4.88,19.8,24.25,19.14,7.29,39.28,34.36,82.74,45.12,66.7,31.14,69.71,105.07,529.33,158.1,352.56,166.47,396.75,87.39,396.75,264.17,175.78,317.2,529.33,635.4,635.4,352.56,794.5,288.27,inf,453.57,453.57,1059.67,352.56,794.5,396.75,794.5,1059.67,1590.0,1590.0,1059.67,1590.0,1059.67,1059.67,3181.0,1590.0,1059.67,794.5,1059.67,1590.0,1590.0,1590.0,inf,3181.0,3181.0,1590.0,inf,inf,inf,inf,3181.0,inf,3181.0,inf,inf,inf,3181.0,3181.0,inf,inf,3181.0,3181.0,inf,inf,inf,inf,3181.0,inf,inf,3181.0,3181.0,inf,inf,inf
FUT,4.21,5.75,5.52,16.24,12.22,18.02,14.43,37.29,19.62,28.78,55.69,24.63,94.1,162.78,116.92,116.92,172.41,195.53,1473.0,139.38,146.4,1473.0,183.25,420.14,293.8,490.33,736.0,inf,490.33,1473.0,2947.0,736.0,2947.0,736.0,2947.0,2947.0,2947.0,2947.0,2947.0,1473.0,1473.0,981.67,2947.0,981.67,2947.0,2947.0,inf,inf,inf,inf,inf,2947.0,2947.0,2947.0,2947.0,1473.0,2947.0,inf,inf,inf,inf,inf,2947.0,inf,inf,inf,inf,inf,inf,inf,inf,2947.0,inf,inf,inf,inf,2947.0,inf,2947.0,inf,inf,2947.0,inf,inf,inf,inf,inf
MOD let,0.99,2.59,23.49,135.43,25.53,62.67,18.1,inf,52.06,78.58,954.0,317.33,190.0,954.0,237.75,inf,inf,476.5,inf,inf,317.33,inf,inf,118.37,954.0,inf,inf,inf,476.5,954.0,inf,inf,inf,inf,inf,954.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,954.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,7.67,1.17,14.78,5.26,40.53,34.86,22.91,31.88,77.9,45.41,262.0,196.25,788.0,86.67,262.0,262.0,788.0,393.5,inf,inf,inf,inf,inf,393.5,inf,inf,inf,inf,788.0,393.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,788.0,inf,inf,inf,788.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,788.0,inf,inf,inf,inf,inf,inf
PAST,3.78,9.68,4.29,11.72,17.69,9.14,16.09,16.09,22.92,34.18,597.0,41.71,84.43,148.5,118.6,597.0,inf,597.0,597.0,inf,inf,298.0,298.0,597.0,inf,198.33,inf,inf,inf,298.0,inf,597.0,inf,597.0,597.0,inf,inf,inf,inf,597.0,inf,inf,inf,inf,597.0,inf,597.0,inf,inf,inf,inf,inf,inf,inf,597.0,inf,inf,inf,597.0,597.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,597.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,1.74,5.97,5.97,140.67,18.32,10.49,41.5,inf,11.5,16.71,inf,140.67,424.0,424.0,424.0,424.0,inf,inf,inf,424.0,140.67,inf,140.67,inf,424.0,424.0,211.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV do not,0.77,3.09,22.35,396.0,78.4,19.89,396.0,inf,35.09,35.09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,43.11,396.0,inf,inf,396.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,5.45,6.58,29.3,11.62,20.64,32.67,74.75,10.22,59.6,150.5,4.41,36.88,inf,59.6,inf,302.0,10.22,inf,302.0,100.0,inf,inf,150.5,inf,inf,inf,inf,inf,inf,inf,36.88,inf,inf,inf,inf,150.5,302.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,150.5,inf,302.0,302.0,inf,inf,302.0,inf,inf,inf,inf,inf,inf,302.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,302.0,inf
PRES do not,4.62,2.65,19.8,9.95,28.71,25.0,25.0,15.0,15.0,28.71,207.0,28.71,103.0,19.8,207.0,207.0,inf,103.0,inf,207.0,inf,inf,inf,inf,207.0,inf,inf,inf,207.0,inf,inf,inf,inf,inf,inf,inf,207.0,inf,207.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
