,prophetic,prose,instruction,poetry,list
FUT,125.76,-2.26,-115.35,-4.99,-9.2
FUT ~ MOD shall,60.15,-10.48,-20.75,-4.89,-1.37
PRES,-2.47,-0.77,0.02,22.1,-2.97
IMPV ~ MOD shall,-47.33,-4.54,82.63,-7.3,-0.55
IMPV,-2.57,29.92,-15.94,-3.08,-1.03
MOD is to ~ MOD shall,-56.05,-9.79,99.16,-5.25,-0.49
PAST,-8.78,10.71,-11.83,18.27,0.11
MOD shall,-36.39,-8.29,70.73,-3.22,-0.92
MOD must ~ MOD shall,-24.42,-12.27,61.75,-1.51,-0.55
FUT ~ PRES,0.5,0.12,-2.51,2.96,-0.39
MOD may,-5.08,4.08,0.68,-0.73,0.0
PAST ~ PRES,-5.28,-7.54,-3.55,0.99,74.03
MOD shall ~ PRES,-0.31,-0.25,1.48,-0.76,0.26
FUT ~ MOD may,1.31,-0.05,-0.45,-0.56,0.0
PRES PERF,-0.22,1.16,-0.91,0.81,0.0
MOD shall ~ TO INF,-1.97,-0.26,3.13,-0.2,0.48
PRES ~ PRES PART,-0.79,0.0,0.0,0.55,3.29
PRES ~ PRES PERF,-1.62,2.27,-0.08,0.0,0.0
MOD would,-2.82,8.26,-3.06,-0.2,0.52
TO INF,-0.39,1.82,-0.44,-0.2,0.0
FUT ~ MOD lest,-0.86,0.08,-0.19,3.61,0.0
MOD would ~ PAST,-2.61,7.8,-3.08,0.21,0.0
MOD may ~ TO INF,-4.48,3.76,0.0,0.0,0.55
MOD may ~ PRES,-0.95,-0.2,1.36,0.71,0.0
MOD let,-1.97,3.76,-1.07,0.71,0.0
FUT ~ IMPV,1.54,-0.0,-2.43,0.28,0.0
PRES ~ TO INF,-0.09,0.21,0.22,0.0,0.0
MOD may ~ MOD shall,-2.27,0.34,1.91,0.0,0.0
PAST ~ PRES PART,-3.26,1.18,-1.99,1.58,5.57
FUT ~ TO INF,0.22,0.54,-1.06,0.33,0.0
MOD shall ~ PRES PART,-2.06,0.54,1.35,0.0,0.0
IMPV ~ PRES,-0.55,2.06,-0.42,0.0,0.0
IMPV ~ MOD let,-2.74,2.64,0.11,0.0,0.0
PRES PART,-1.63,1.79,0.11,0.0,0.0
IMPV ~ TO INF,-0.0,0.89,-0.69,0.0,0.0
PAST ~ PRES PERF,0.6,0.0,-1.58,1.05,0.0
FUT ~ MOD let,1.4,-0.0,-1.35,0.0,0.0
FUT ~ PRES PART,0.85,0.27,-1.35,0.0,0.0
MOD can ~ MOD may,-2.03,3.1,-0.13,0.0,0.0
FUT ~ MOD would,-0.46,2.25,-1.35,0.45,0.0
MOD can ~ MOD shall,-1.77,1.87,0.14,0.0,0.0
MOD shall ~ PAST,0.52,-1.19,0.59,0.0,0.0
MOD let ~ MOD shall,0.0,0.83,-0.34,0.0,0.0
MOD is to ~ PRES,-0.57,0.0,1.46,0.0,0.0
MOD is to ~ MOD let,-1.52,-0.35,3.25,0.0,0.0
MOD let ~ MOD may,-0.0,0.93,-0.92,0.0,0.0
FUT ~ PAST,-0.14,0.57,-0.16,0.56,0.0
MOD is to ~ PAST,-0.57,-0.97,2.73,0.0,0.0
MOD lest ~ MOD may,0.0,-0.35,-0.7,4.15,0.0
PAST ~ TO INF,0.0,-0.97,0.41,0.61,1.02
MOD lest ~ TO INF,-0.57,2.33,-0.7,0.0,0.0
PAST ~ PAST PROG,0.0,1.47,-0.7,0.0,0.0
MOD shall ~ PRES PERF,0.17,-0.17,0.18,0.0,0.0
FUT ~ PRES PERF,0.69,-0.0,-0.45,0.0,0.0
IMPV ~ MOD lest,-0.0,0.19,0.0,0.0,0.0
MOD shall ~ MOD would,-0.78,2.53,-0.48,0.0,0.0
MOD may ~ MOD must,-0.78,0.0,1.71,0.0,0.0
MOD can,-0.18,0.19,-0.48,1.85,0.0
MOD would ~ PRES,-0.78,0.19,0.0,1.85,0.0
IMPV ~ PAST,-0.78,1.45,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.23,0.0,0.0,0.0
HAB used to ~ PAST,-0.52,2.02,-0.24,0.0,0.0
IMPV ~ MOD may,0.0,0.23,0.0,0.0,0.0
IMPV ~ MOD must,-0.52,2.02,-0.24,0.0,0.0
PAST PERF,-0.52,1.03,0.0,0.0,0.0
MOD shall ~ MOD should,-0.52,2.02,-0.24,0.0,0.0
FUT ~ MOD can,0.84,0.0,-0.24,0.0,0.0
MOD let ~ TO INF,-0.52,2.02,-0.24,0.0,0.0
