period,TOTAL,PRES,PAST,PRES PART,PAST PROG,PRES ~ PRES PART,PAST ~ PAST PROG,PAST ~ PRES PART,PRES PROG,PRES ~ PRES PROG,PAST PERF,FUT,FUT ~ MOD shall,PAST PROG ~ PRES PART,PAST ~ PRES,PRES PERF,PAST ~ PAST PERF,FUT ~ PRES,FUT ~ FUT going-to,PRES PART ~ PRES PROG,PRES ~ PRES PERF,PAST ~ PRES PERF,TO INF,PAST ~ TO INF,MOD could ~ PAST,FUT going-to ~ PRES,MOD could,MOD can ~ PRES,MOD may ~ PRES,FUT ~ PRES PART,FUT ~ PRES PROG,FUT going-to ~ PRES PROG,MOD is to ~ MOD shall,MOD is to ~ PRES,IMPV ~ PRES,MOD would ~ PAST,MOD would ~ PRES,MOD should,PAST ~ PAST PERF PROG,PRES PART ~ TO INF,MOD should ~ TO INF,FUT ~ TO INF,PAST PERF ~ PAST PROG,MOD would,FUT ~ MOD is to,MOD was to ~ PAST,IMPV ~ MOD may,PRES ~ TO INF,IMPV,PRES PERF PROG ~ PRES PROG,MOD may,PRES PERF PROG,MOD let ~ PRES,PAST PERF PROG ~ PAST PROG,MOD is to ~ TO INF,MOD must ~ MOD shall,PRES PART ~ PRES PERF,MOD can ~ PRES PART,PRES PART ~ PRES PERF PROG,PAST PERF ~ PRES PART,MOD must ~ PRES,PAST PERF ~ PAST PERF PROG,PRES PERF ~ PRES PROG,FUT ~ MOD must,MOD shall ~ PRES,MOD was to ~ TO INF,MOD was to ~ PAST PROG,FUT PROG ~ PRES PART,FUT going-to ~ PRES PART,FUT ~ PAST,FUT going-to ~ MOD shall,FUT PROG ~ MOD is to,IMPV ~ PAST,HAB used to ~ PAST PERF,PRES PERF ~ PRES PERF PROG,HAB used to ~ PAST,PRES ~ PRES PERF PROG,FUT ~ FUT PROG,PRES PERF ~ TO INF,MOD can,IMPV ~ PRES PROG,MOD is to ~ MOD would,MOD can ~ MOD shall,MOD could ~ PRES PART,MOD was to ~ PRES PART,MOD was to,MOD that VB ~ PRES PART,MOD should ~ PAST,MOD should ~ MOD would,MOD should ~ MOD was to,PAST PERF ~ PRES,MOD shall ~ TO INF,MOD shall ~ PAST,MOD shall,MOD must ~ PRES PART,MOD must,MOD might,MOD may ~ PAST,MOD let ~ TO INF,MOD let,MOD is to ~ PRES PART,PAST PROG ~ PRES,MOD would ~ PRES PROG,PAST PROG ~ TO INF,MOD is to,TO INF ~ VB
SBH,1611,421,275,161,81,70,62,45,50,47,23,36,26,26,25,20,13,19,15,16,12,13,9,12,6,7,3,5,4,6,4,4,3,4,2,0,3,3,2,2,0,2,1,2,2,2,3,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,0,2,2,2,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
LBH,512,87,161,44,16,14,22,22,13,7,17,2,6,5,4,4,11,3,3,2,4,3,6,3,5,1,3,1,2,0,0,0,1,0,2,4,1,1,2,2,3,1,2,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
