eng_TAMsimp,SBH,LBH
PRES,0.09,-0.09
PAST,-0.16,0.16
PRES PART,0.03,-0.03
PAST PROG,0.08,-0.08
PRES ~ PRES PART,0.08,-0.08
PAST ~ PAST PROG,-0.02,0.02
PAST ~ PRES PART,-0.09,0.09
PRES PROG,0.04,-0.04
PRES ~ PRES PROG,0.11,-0.11
PAST PERF,-0.19,0.19
FUT,0.19,-0.19
FUT ~ MOD shall,0.05,-0.05
PAST PROG ~ PRES PART,0.08,-0.08
PAST ~ PRES,0.1,-0.1
PRES PERF,0.08,-0.08
PAST ~ PAST PERF,-0.22,0.22
FUT ~ PRES,0.11,-0.11
FUT ~ FUT going-to,0.08,-0.08
PRES PART ~ PRES PROG,0.13,-0.13
PRES ~ PRES PERF,-0.01,0.01
PAST ~ PRES PERF,0.05,-0.05
TO INF,-0.16,0.16
PAST ~ TO INF,0.04,-0.04
MOD could ~ PAST,-0.21,0.21
FUT going-to ~ PRES,0.12,-0.12
MOD could,-0.26,0.26
MOD can ~ PRES,0.07,-0.07
MOD may ~ PRES,-0.09,0.09
FUT ~ PRES PART,0.24,-0.24
FUT ~ PRES PROG,0.24,-0.24
FUT going-to ~ PRES PROG,0.24,-0.24
MOD is to ~ MOD shall,-0.01,0.01
MOD is to ~ PRES,0.24,-0.24
IMPV ~ PRES,-0.26,0.26
MOD would ~ PAST,-0.76,0.76
MOD would ~ PRES,-0.01,0.01
MOD should,-0.01,0.01
PAST ~ PAST PERF PROG,-0.26,0.26
PRES PART ~ TO INF,-0.26,0.26
MOD should ~ TO INF,-0.76,0.76
FUT ~ TO INF,-0.09,0.09
PAST PERF ~ PAST PROG,-0.43,0.43
MOD would,-0.09,0.09
FUT ~ MOD is to,-0.09,0.09
MOD was to ~ PAST,-0.09,0.09
IMPV ~ MOD may,0.24,-0.24
PRES ~ TO INF,-0.09,0.09
IMPV,-0.09,0.09
PRES PERF PROG ~ PRES PROG,-0.26,0.26
MOD may,0.24,-0.24
PRES PERF PROG,-0.26,0.26
MOD let ~ PRES,0.24,-0.24
PAST PERF PROG ~ PAST PROG,0.24,-0.24
MOD is to ~ TO INF,0.24,-0.24
MOD must ~ MOD shall,-0.26,0.26
PRES PART ~ PRES PERF,0.24,-0.24
MOD can ~ PRES PART,0.24,-0.24
PRES PART ~ PRES PERF PROG,0.24,-0.24
PAST PERF ~ PRES PART,0.24,-0.24
MOD must ~ PRES,0.24,-0.24
PAST PERF ~ PAST PERF PROG,0.24,-0.24
PRES PERF ~ PRES PROG,0.24,-0.24
FUT ~ MOD must,0.24,-0.24
MOD shall ~ PRES,-0.26,0.26
MOD was to ~ TO INF,-0.76,0.76
MOD was to ~ PAST PROG,0.24,-0.24
FUT PROG ~ PRES PART,0.24,-0.24
FUT going-to ~ PRES PART,0.24,-0.24
FUT ~ PAST,0.24,-0.24
FUT going-to ~ MOD shall,0.24,-0.24
FUT PROG ~ MOD is to,0.24,-0.24
IMPV ~ PAST,-0.76,0.76
HAB used to ~ PAST PERF,-0.76,0.76
PRES PERF ~ PRES PERF PROG,0.24,-0.24
HAB used to ~ PAST,0.24,-0.24
PRES ~ PRES PERF PROG,0.24,-0.24
FUT ~ FUT PROG,-0.76,0.76
PRES PERF ~ TO INF,0.24,-0.24
MOD can,0.24,-0.24
IMPV ~ PRES PROG,0.24,-0.24
MOD is to ~ MOD would,-0.76,0.76
MOD can ~ MOD shall,0.24,-0.24
MOD could ~ PRES PART,0.24,-0.24
MOD was to ~ PRES PART,-0.76,0.76
MOD was to,-0.76,0.76
MOD that VB ~ PRES PART,-0.76,0.76
MOD should ~ PAST,0.24,-0.24
MOD should ~ MOD would,-0.76,0.76
MOD should ~ MOD was to,-0.76,0.76
PAST PERF ~ PRES,0.24,-0.24
MOD shall ~ TO INF,0.24,-0.24
MOD shall ~ PAST,0.24,-0.24
MOD shall,0.24,-0.24
MOD must ~ PRES PART,0.24,-0.24
MOD must,0.24,-0.24
MOD might,-0.76,0.76
MOD may ~ PAST,0.24,-0.24
MOD let ~ TO INF,0.24,-0.24
MOD let,0.24,-0.24
MOD is to ~ PRES PART,0.24,-0.24
PAST PROG ~ PRES,0.24,-0.24
MOD would ~ PRES PROG,0.24,-0.24
PAST PROG ~ TO INF,0.24,-0.24
MOD is to,0.24,-0.24
TO INF ~ VB,-0.76,0.76
