eng_TAM,qal,hif,piel,nif,pual,hit,hof,hotp,tif,poel,poal,nit,hsht,etpa
PAST..IND,2704,535,465,289,60,34,22,4,1,1,0,0,0,1
PRES.PERF.IND,1632,284,320,86,14,12,4,1,0,0,1,0,0,0
PRES..IND,1568,95,122,217,36,6,15,1,0,0,0,1,1,0
PAST.PERF.IND,490,121,110,43,5,10,3,0,0,0,0,0,0,0
FUT..IND,39,6,13,9,2,0,0,0,0,0,0,0,0,0
PAST..SUBJ,46,7,7,2,0,0,0,0,0,0,0,0,0,0
PRES..MOD,44,2,6,2,0,0,1,0,0,0,0,0,0,0
PRES..,23,3,5,1,0,0,0,0,0,0,0,0,0,0
PRES.PROG.IND,14,1,1,2,0,0,0,0,0,0,0,0,0,0
PAST.PROG.IND,11,0,1,1,0,0,0,0,0,0,0,0,0,0
..,3,1,1,0,0,0,0,0,0,0,0,0,0,0
past.PERF_PROG.IND,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT.PERF.IND,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,0,0,1,0,0,0,0,0,0,0,0,0,0,0
