,qal,hif,piel,nif,pual,hit,hof,hotp,tif,poel,poal,nit,hsht,etpa
PAST..IND,-7.37,6.88,0.39,0.31,1.13,1.15,0.34,0.38,0.37,0.37,0.0,0.0,0.0,0.37
PRES.PERF.IND,0.34,1.16,5.29,-12.89,-2.97,-0.42,-1.86,0.0,0.0,0.0,0.61,0.0,0.0,0.0
PRES..IND,15.79,-29.44,-17.9,12.11,1.76,-1.7,1.17,0.0,0.0,0.0,0.0,0.67,0.67,0.0
PAST.PERF.IND,-3.74,4.1,2.3,-0.86,-0.77,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,-1.44,-0.16,1.3,1.29,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.39,0.08,0.08,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,1.1,-1.07,0.0,-0.23,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,0.07,0.0,0.41,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,0.21,-0.15,-0.15,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.43,-0.42,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,-0.19,0.35,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,-1.01,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,-0.5,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
