,,V,AV,_W_V,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,IV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,p3,-3.89,-4.25,-18.37,15.66,-1.56,0.25,-2.55,41.67,-4.53,-0.5,-7.84,-2.1,1.18,12.48,1.79,1.76,-2.27,-0.51,1.89,0.07,-0.63,13.73,0.0,1.16,0.49,0.86,0.1,0.12,1.46,1.56,-0.8,0.52,0.55,0.35,0.0,0.35,3.2,4.18,0.16,0.75,0.2,0.99,0.47,0.0,0.55,-0.0,1.59,3.31,0.32,0.32,0.0,0.32,0.97,0.0,0.42,0.42,0.0,0.42,0.0,0.56,0.0,0.56,0.0,1.66,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,p3,-9.65,0.83,0.06,-22.47,34.12,21.31,2.85,-11.49,-4.99,-2.57,-13.47,-0.28,20.99,-5.79,7.69,0.42,-2.73,-2.06,1.45,-0.92,-0.09,-1.69,0.0,-0.37,1.79,-0.24,5.53,1.6,-0.8,0.58,-0.61,-0.61,-0.4,0.19,2.78,0.19,-0.2,-0.2,0.45,1.13,0.63,0.24,0.0,0.27,0.0,0.32,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,p3,-0.92,0.89,-0.09,-5.11,3.6,12.1,-0.79,-1.66,-1.94,-4.34,0.32,3.16,0.64,-5.4,0.05,2.2,-0.8,0.0,0.61,0.09,-0.1,-1.32,0.24,0.0,0.0,0.0,0.14,2.08,0.0,0.0,0.0,0.0,0.87,0.0,0.0,1.01,-0.21,-0.21,-0.0,0.25,0.79,1.67,0.31,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0
FUT,p1,1.56,4.98,0.02,-5.97,0.33,-2.28,1.77,-7.57,9.79,4.29,-13.51,0.69,-3.35,-3.81,-2.31,-1.84,-2.56,-2.03,-0.63,1.15,5.56,-1.12,2.01,1.17,0.0,0.51,-0.14,-0.39,-0.39,0.0,-0.2,-0.2,-0.2,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.68,0.68,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,p2,62.7,-2.15,1.42,-21.18,-2.65,-12.49,2.61,-13.11,1.86,1.02,-8.27,-3.86,-3.38,-2.69,-2.69,-1.47,-1.28,-0.92,-0.94,-0.13,0.0,-0.58,0.0,0.17,0.0,4.29,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,p2,3.19,7.63,-1.71,-17.4,-9.03,-11.69,4.54,-8.14,16.9,25.94,-6.64,-1.32,-2.65,-2.15,-2.16,-1.1,-0.9,-0.75,-0.76,-0.0,2.08,-0.39,0.18,-0.19,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,p2,-6.62,-5.5,-7.25,35.36,-9.54,-6.73,-3.0,6.68,-0.76,-1.01,9.82,1.99,-2.3,13.36,-1.02,-0.27,0.47,2.26,-0.57,0.58,0.0,1.32,0.0,2.16,-0.2,-0.2,0.21,0.0,0.0,0.0,1.01,0.0,1.06,0.45,0.0,0.0,0.5,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0
PAST,p3,1.15,2.04,-4.31,-1.11,0.13,0.57,2.52,1.11,0.05,-0.56,-4.56,0.0,0.0,0.0,0.1,-0.75,-0.56,-0.38,0.0,-0.39,-0.2,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.48,0.53,0.0,0.53,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0
MOD let,p3,40.64,-4.54,4.3,-10.06,-2.26,0.82,-3.23,-6.54,-0.62,-0.86,-4.05,-1.28,-0.35,-1.28,-0.11,-0.57,-0.57,-0.39,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,p3,-4.13,-0.1,-0.19,-0.68,4.55,8.14,-0.37,0.16,-0.18,-0.13,-0.75,-0.25,0.88,0.0,1.34,0.0,0.0,-0.39,0.81,2.9,-0.2,0.0,0.0,0.25,0.81,0.0,0.0,0.41,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
