eng_TAMsimp,person,V,AV,_W_V,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,IV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,p3,5.58,8.25,13.65,6.19,17.58,16.15,23.48,7.26,38.35,33.02,70.68,59.82,51.82,32.45,58.03,90.23,500.75,285.71,117.06,222.0,500.75,68.21,333.5,199.7,285.71,249.88,400.4,500.75,285.71,285.71,inf,500.75,500.75,668.0,1002.5,668.0,285.71,249.88,1002.5,668.0,1002.5,668.0,1002.5,2006.0,1002.5,2006.0,668.0,500.75,2006.0,2006.0,inf,2006.0,1002.5,inf,2006.0,2006.0,inf,2006.0,inf,2006.0,inf,2006.0,inf,1002.5,inf,2006.0,inf,inf,inf,inf,inf,2006.0,inf,inf,inf,2006.0,2006.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,p3,7.2,5.72,6.87,38.57,5.53,7.45,12.58,59.22,46.76,48.46,229.83,45.17,19.07,1384.0,33.62,114.42,1384.0,1384.0,114.42,691.5,345.25,inf,345.25,691.5,172.12,691.5,105.54,229.83,inf,345.25,inf,inf,inf,691.5,229.83,691.5,inf,inf,691.5,460.67,691.5,1384.0,inf,1384.0,inf,1384.0,inf,inf,691.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1384.0,inf,1384.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,p3,5.09,5.61,7.13,17.79,9.79,8.24,21.24,26.25,35.33,71.67,26.25,23.22,53.5,inf,82.85,71.67,362.33,217.0,135.25,217.0,362.33,inf,271.5,362.33,544.0,544.0,362.33,180.67,1089.0,1089.0,1089.0,1089.0,362.33,1089.0,1089.0,362.33,inf,inf,1089.0,1089.0,544.0,362.33,1089.0,1089.0,inf,inf,inf,inf,inf,inf,inf,inf,1089.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1089.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1089.0,inf,inf,inf
FUT,p1,3.8,4.45,6.94,19.57,13.2,26.24,13.0,55.0,10.72,16.38,1007.0,31.52,335.0,1007.0,335.0,1007.0,inf,inf,503.0,125.0,66.2,inf,125.0,167.0,503.0,251.0,1007.0,inf,inf,1007.0,inf,inf,inf,inf,inf,1007.0,inf,inf,inf,inf,1007.0,inf,inf,inf,1007.0,inf,inf,inf,inf,inf,1007.0,inf,inf,1007.0,1007.0,inf,inf,inf,1007.0,inf,inf,inf,inf,inf,inf,inf,inf,1007.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,p2,1.07,9.16,5.47,568.0,27.45,568.0,10.85,inf,14.81,20.88,inf,283.5,inf,inf,inf,inf,inf,inf,inf,568.0,283.5,inf,568.0,283.5,568.0,70.12,568.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,p2,3.1,3.37,9.98,471.0,117.0,inf,8.83,235.0,6.26,5.74,inf,93.4,inf,inf,inf,inf,inf,inf,inf,235.0,77.67,inf,235.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,471.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,p2,9.79,14.59,20.05,2.37,209.5,139.33,45.78,7.77,34.08,51.62,9.02,21.16,inf,14.04,420.0,420.0,104.25,59.14,inf,139.33,420.0,104.25,420.0,83.2,inf,inf,420.0,inf,inf,inf,209.5,inf,209.5,420.0,inf,inf,420.0,inf,209.5,inf,inf,inf,inf,inf,inf,209.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,420.0,inf,inf
PAST,p3,3.53,4.34,16.42,15.55,13.39,13.39,9.68,12.79,22.64,46.29,inf,40.38,81.75,109.33,81.75,inf,inf,inf,330.0,inf,inf,330.0,330.0,inf,109.33,inf,inf,inf,inf,164.5,inf,inf,330.0,330.0,inf,330.0,inf,inf,inf,330.0,inf,inf,inf,inf,inf,inf,330.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,330.0,330.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,330.0,inf,inf,inf,inf,inf
MOD let,p3,0.9,16.18,3.79,291.0,35.5,12.27,72.0,inf,35.5,57.4,inf,145.0,145.0,inf,145.0,inf,inf,inf,291.0,inf,291.0,inf,inf,inf,inf,inf,inf,145.0,inf,291.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,291.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,p3,9.25,6.76,7.7,14.11,6.55,5.83,22.92,16.94,27.7,34.88,56.4,56.4,40.0,94.67,40.0,286.0,286.0,inf,94.67,46.83,inf,inf,inf,286.0,142.5,inf,inf,286.0,inf,inf,286.0,inf,inf,inf,inf,inf,inf,inf,inf,286.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
