,,V,AV,_W_V,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,IV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
FUT ~ MOD shall,p2,0.58,2.14,0.94,0.14,1.77,0.36,2.0,0.26,1.74,1.62,0.0,3.09,1.76,0.0,0.0,1.58,0.0,0.0,0.73,0.83,1.89,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47,0.0,23.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,p2,0.84,1.45,0.56,1.03,0.23,0.34,0.93,0.29,0.74,0.82,4.13,2.74,0.0,1.38,0.0,1.17,6.37,7.04,0.83,0.93,1.04,1.22,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.17,0.0,0.0,0.0,0.0,0.0,10.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,p1,0.89,1.38,0.41,2.68,0.17,0.14,0.72,2.11,0.56,0.35,0.23,2.42,0.28,0.34,0.7,0.0,0.0,2.45,0.85,4.09,0.0,1.25,1.34,4.5,0.0,3.47,0.0,0.0,0.0,2.68,3.35,0.0,7.7,8.98,0.0,4.13,4.88,4.88,0.0,0.0,0.0,0.0,0.0,8.95,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,17.9,0.0,0.0,0.0,0.0,26.85,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,p3,0.75,0.55,3.19,2.15,0.6,1.98,0.89,0.42,0.41,0.26,0.26,0.17,0.31,0.77,1.18,1.34,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,p3,0.65,2.39,0.74,0.0,2.51,1.35,1.19,0.0,1.95,1.69,0.0,0.36,2.33,0.0,2.06,0.0,0.0,0.0,0.0,2.22,0.0,0.0,1.52,0.0,0.0,0.0,2.1,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,p3,0.51,3.57,0.28,0.0,1.06,2.09,3.2,0.37,1.18,0.57,0.0,0.79,1.03,0.0,1.75,0.0,0.0,0.0,0.0,0.0,1.31,0.0,1.63,0.0,6.61,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,p3,0.6,0.27,0.94,0.94,0.53,0.31,0.31,2.69,0.27,0.0,7.33,0.71,0.0,1.57,0.0,0.88,20.26,1.17,0.0,1.42,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,25.02,5.32,0.0,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.8,0.0,0.0,0.0,0.0,79.92,79.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
MOD shall,p3,1.04,1.32,0.12,0.35,1.29,3.61,0.74,0.0,3.25,0.48,0.48,1.7,0.57,0.0,2.99,3.81,0.0,0.0,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,p2,1.32,1.51,0.45,0.0,0.38,0.0,1.66,0.16,3.76,5.17,0.0,2.19,0.0,0.0,0.0,1.3,0.0,0.0,0.0,2.09,4.82,0.0,0.0,3.08,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p3,0.43,2.43,0.28,0.0,2.3,1.65,0.89,1.16,1.18,0.58,0.0,0.79,2.86,0.0,4.59,1.47,0.0,1.94,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,4.57,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96,0.0,22.12,0.0,0.0,0.0,44.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
MOD let ~ MOD may,p3,5.83,0.2,1.75,0.0,1.25,1.09,0.35,0.0,0.0,0.29,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p3,3.62,0.27,2.44,0.22,1.12,1.97,0.18,0.0,0.48,0.3,0.0,0.0,0.72,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,p3,0.69,0.14,5.18,3.6,0.67,0.0,0.19,0.21,0.25,0.0,0.0,0.44,0.0,0.96,1.98,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0,16.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,p2,0.32,2.75,0.08,0.12,0.67,0.39,1.7,5.78,2.56,2.08,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p3,0.74,1.27,0.79,1.02,0.0,0.45,1.19,2.75,1.23,1.57,0.0,0.51,0.0,1.11,3.52,1.93,0.0,5.25,0.0,0.0,3.48,4.05,4.35,0.0,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41,0.0,0.0,0.0,0.0,0.0,0.0,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,p1,1.48,0.84,2.99,1.2,0.0,0.22,2.02,0.24,0.92,1.17,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,p1,1.01,1.08,0.82,1.39,0.39,0.0,1.77,1.89,0.61,0.38,2.53,1.63,0.0,0.0,1.16,1.98,2.12,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,p2,0.4,0.36,0.96,2.43,0.2,0.0,0.24,1.06,0.63,1.66,0.81,7.89,0.0,14.23,0.0,0.0,2.18,2.69,0.0,3.27,0.0,4.27,0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,p3,0.65,1.43,0.31,1.13,1.57,2.17,2.21,0.26,0.0,2.69,0.42,0.56,0.99,0.0,0.0,2.12,0.0,2.81,3.03,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,p1,2.95,0.18,7.73,0.15,0.0,0.24,0.0,0.0,0.32,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,p3,0.82,0.69,0.88,0.3,0.41,1.29,0.76,0.82,0.32,0.41,7.38,2.37,0.99,0.0,3.88,2.12,0.0,5.79,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,0.0,9.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,p1,1.62,1.23,0.55,0.64,1.39,0.51,1.08,0.0,1.05,2.31,0.0,3.16,1.03,0.0,1.3,0.0,0.0,0.0,0.0,3.57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,p2,0.08,1.0,0.51,7.74,0.0,0.0,0.93,0.65,1.22,5.29,0.0,0.0,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,p1,1.17,0.23,0.8,0.98,0.25,0.0,0.3,0.0,0.4,0.0,11.51,1.41,0.0,0.0,0.0,0.0,23.54,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,p1,0.45,0.93,0.13,1.03,0.0,0.0,1.0,0.0,0.0,1.67,34.8,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p3,0.49,0.13,0.43,4.78,0.29,1.06,0.0,2.48,0.93,0.58,1.83,0.79,1.38,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.0,0.0,8.4,0.0,9.27,0.0,0.0,0.0,0.0,0.0,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
