eng_TAMsimp,person,V,_W_V,AV,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
FUT ~ MOD shall,p2,8.44,8.44,4.04,71.75,9.26,47.83,9.9,71.75,14.35,19.13,inf,14.35,41.0,inf,inf,95.67,inf,inf,287.0,287.0,143.5,inf,inf,inf,287.0,inf,inf,inf,inf,inf,inf,inf,inf,287.0,inf,inf,inf,inf,inf,inf,inf,inf,287.0,inf,inf,inf,inf,inf,inf,inf,inf,287.0,inf,287.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,p3,5.11,2.91,14.26,7.13,30.11,11.29,24.64,54.2,67.75,135.5,135.5,271.0,271.0,135.5,90.33,135.5,inf,inf,271.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,271.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,p1,5.84,13.15,5.84,4.96,87.67,131.5,26.3,10.52,43.83,65.75,131.5,18.79,263.0,263.0,131.5,inf,inf,87.67,263.0,65.75,inf,263.0,263.0,131.5,87.67,inf,inf,inf,inf,263.0,263.0,inf,131.5,131.5,inf,263.0,263.0,263.0,inf,inf,inf,inf,inf,263.0,inf,inf,inf,inf,inf,263.0,inf,inf,263.0,inf,inf,inf,inf,263.0,263.0,inf,inf,inf,inf,inf,inf,inf,263.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,p2,6.1,13.47,5.45,11.13,64.0,51.2,19.69,64.0,32.0,36.57,8.53,16.0,inf,64.0,inf,128.0,28.44,32.0,256.0,256.0,256.0,256.0,256.0,inf,inf,inf,inf,inf,inf,inf,51.2,inf,inf,inf,inf,inf,128.0,256.0,inf,inf,inf,inf,inf,inf,inf,256.0,256.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,p3,7.89,10.52,3.75,inf,6.91,13.81,15.79,inf,12.28,17.0,inf,110.5,31.57,inf,44.2,inf,inf,inf,inf,110.5,inf,inf,221.0,inf,inf,inf,221.0,inf,221.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,221.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,p3,9.76,25.62,2.85,inf,14.64,8.91,6.61,51.25,20.5,51.25,inf,51.25,68.33,inf,51.25,inf,inf,inf,inf,inf,205.0,inf,205.0,inf,inf,68.33,205.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,205.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,p1,2.0,2.27,28.57,200.0,inf,200.0,inf,inf,200.0,200.0,200.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,p3,8.4,8.4,24.0,12.0,28.0,56.0,56.0,8.0,84.0,inf,5.25,56.0,inf,56.0,inf,168.0,10.5,168.0,inf,168.0,inf,inf,168.0,inf,inf,inf,inf,inf,inf,inf,168.0,42.0,168.0,inf,84.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,84.0,inf,inf,inf,inf,168.0,168.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,168.0,inf,inf,inf,inf,inf,inf,inf,inf,168.0,inf
MOD let ~ MOD may,p3,1.8,4.77,41.33,inf,13.78,15.5,62.0,inf,inf,124.0,inf,inf,inf,inf,62.0,inf,inf,inf,124.0,inf,inf,inf,inf,41.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,p3,5.3,61.0,5.81,30.5,12.2,5.81,24.4,inf,8.13,61.0,61.0,24.4,122.0,inf,30.5,40.67,inf,inf,40.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,122.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
