,x,Wx,Ø
PAST..IND,0.63,2.88,0.65
PRES.PERF.IND,1.28,0.46,1.43
PRES..IND,1.07,0.4,1.96
PAST.PERF.IND,3.43,0.64,0.08
FUT..IND,0.7,0.91,1.8
PAST..SUBJ,0.44,3.72,0.5
PRES..MOD,0.32,5.54,0.37
PRES..,0.78,1.54,0.87
PRES.PROG.IND,1.22,0.49,1.35
PAST.PROG.IND,0.52,4.59,0.0
..,0.15,0.0,18.9
past.PERF_PROG.IND,inf,0.0,0.0
FUT.PERF.IND,0.0,inf,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0
