eng_TAM,x,Wx,Ø
PAST..IND,-0.11,0.17,-0.06
PRES.PERF.IND,0.06,-0.11,0.05
PRES..IND,0.02,-0.12,0.11
PAST.PERF.IND,0.24,-0.07,-0.17
FUT..IND,-0.09,-0.01,0.1
PAST..SUBJ,-0.2,0.28,-0.08
PRES..MOD,-0.28,0.38,-0.1
PRES..,-0.06,0.08,-0.02
PRES.PROG.IND,0.04,-0.09,0.05
PAST.PROG.IND,-0.16,0.34,-0.18
..,-0.42,-0.2,0.63
past.PERF_PROG.IND,0.38,-0.2,-0.18
FUT.PERF.IND,-0.62,0.8,-0.18
PRES.PERF_PROG.IND,0.38,-0.2,-0.17
