eng_TAM,x,Wx,Ø
PAST..IND,0.56,0.3,0.14
PRES.PERF.IND,0.66,0.12,0.22
PRES..IND,0.63,0.11,0.26
PAST.PERF.IND,0.84,0.14,0.02
FUT..IND,0.54,0.19,0.28
PAST..SUBJ,0.42,0.48,0.1
PRES..MOD,0.35,0.58,0.07
PRES..,0.56,0.28,0.16
PRES.PROG.IND,0.67,0.11,0.22
PAST.PROG.IND,0.46,0.54,0.0
..,0.2,0.0,0.8
past.PERF_PROG.IND,1.0,0.0,0.0
FUT.PERF.IND,0.0,1.0,0.0
PRES.PERF_PROG.IND,1.0,0.0,0.0
