period,TOTAL,PAST,PAST ~ PRES PART,PAST ~ PAST PERF,PRES PERF,PAST ~ TO INF,PAST ~ PRES PERF,PAST PERF,PAST ~ PRES,PRES,PAST ~ PAST PROG,PRES PART,PRES ~ PRES PERF,MOD could ~ PAST,MOD would,PAST PROG,TO INF,MOD let ~ PAST,IMPV ~ PAST,MOD would ~ PAST,PAST PERF ~ PRES PART,PAST PERF ~ PRES PERF,PRES PART ~ PRES PERF,FUT ~ PAST,PAST ~ VB,PRES ~ PRES PROG,MOD let,FUT ~ PRES,PRES PART ~ TO INF,PRES PERF PROG,PRES PERF ~ PRES PROG,PRES PERF ~ TO INF,??VB ~ PAST,PAST ~ PAST PERF PROG,PAST PROG ~ PRES PERF PROG,PAST PROG ~ PRES PERF,PAST PERF ~ TO INF,MOD should ~ TO INF,MOD should ~ MOD would,MOD may ~ PAST,MOD let ~ PRES PART,MOD let ~ PRES,MOD could ~ MOD might,IMPV ~ PRES PART,PAST PROG ~ PRES PART
SBH,9022,8342,139,127,82,60,52,44,38,23,23,17,10,7,6,5,3,3,4,4,2,3,2,3,2,3,2,2,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
LBH,1782,1625,35,34,29,10,10,8,6,5,2,4,2,3,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
