period,PAST,PAST ~ PRES PART,PAST ~ PAST PERF,PRES PERF,PAST ~ TO INF,PAST ~ PRES PERF,PAST PERF,PAST ~ PRES,PRES,PAST ~ PAST PROG,PRES PART,PRES ~ PRES PERF,MOD could ~ PAST,MOD would,PAST PROG,TO INF,MOD let ~ PAST,IMPV ~ PAST,MOD would ~ PAST,PAST PERF ~ PRES PART,PAST PERF ~ PRES PERF,PRES PART ~ PRES PERF,FUT ~ PAST,PAST ~ VB,PRES ~ PRES PROG,MOD let,FUT ~ PRES,PRES PART ~ TO INF,PRES PERF PROG,PRES PERF ~ PRES PROG,PRES PERF ~ TO INF,??VB ~ PAST,PAST ~ PAST PERF PROG,PAST PROG ~ PRES PERF PROG,PAST PROG ~ PRES PERF,PAST PERF ~ TO INF,MOD should ~ TO INF,MOD should ~ MOD would,MOD may ~ PAST,MOD let ~ PRES PART,MOD let ~ PRES,MOD could ~ MOD might,IMPV ~ PRES PART,PAST PROG ~ PRES PART
SBH,0.92,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,0.91,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
