eng_TAMsimp,SBH,LBH
PAST,0.02,-0.02
PAST ~ PRES PART,-0.04,0.04
PAST ~ PAST PERF,-0.05,0.05
PRES PERF,-0.1,0.1
PAST ~ TO INF,0.02,-0.02
PAST ~ PRES PERF,0.0,-0.0
PAST PERF,0.01,-0.01
PAST ~ PRES,0.03,-0.03
PRES,-0.01,0.01
PAST ~ PAST PROG,0.09,-0.09
PRES PART,-0.03,0.03
PRES ~ PRES PERF,-0.0,0.0
MOD could ~ PAST,-0.14,0.14
MOD would,0.17,-0.17
PAST PROG,0.17,-0.17
TO INF,-0.24,0.24
MOD let ~ PAST,-0.09,0.09
IMPV ~ PAST,0.17,-0.16
MOD would ~ PAST,0.17,-0.16
PAST PERF ~ PRES PART,-0.17,0.17
PAST PERF ~ PRES PERF,0.16,-0.16
PRES PART ~ PRES PERF,-0.17,0.17
FUT ~ PAST,0.16,-0.16
PAST ~ VB,-0.17,0.17
PRES ~ PRES PROG,0.16,-0.16
MOD let,0.16,-0.16
FUT ~ PRES,0.16,-0.16
PRES PART ~ TO INF,0.16,-0.16
PRES PERF PROG,0.16,-0.16
PRES PERF ~ PRES PROG,0.16,-0.16
PRES PERF ~ TO INF,-0.84,0.84
??VB ~ PAST,-0.84,0.84
PAST ~ PAST PERF PROG,0.16,-0.16
PAST PROG ~ PRES PERF PROG,0.16,-0.16
PAST PROG ~ PRES PERF,0.16,-0.16
PAST PERF ~ TO INF,0.16,-0.16
MOD should ~ TO INF,-0.84,0.84
MOD should ~ MOD would,0.16,-0.16
MOD may ~ PAST,0.16,-0.16
MOD let ~ PRES PART,0.16,-0.16
MOD let ~ PRES,0.16,-0.16
MOD could ~ MOD might,0.16,-0.16
IMPV ~ PRES PART,0.16,-0.16
PAST PROG ~ PRES PART,0.16,-0.16
