,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PRES,4.33,-9.89,8.18,-0.15,-5.35,5.42,-9.11,-0.48,0.9,-2.25,5.54
FUT,-1.45,0.18,-0.09,0.55,0.4,3.47,0.86,-0.75,-2.91,-0.41,-1.03
FUT ~ MOD shall,-27.85,-0.47,0.57,18.23,50.36,-16.32,-4.16,-0.96,5.81,0.14,-0.6
IMPV,35.35,15.22,-20.21,-17.8,-5.71,-7.69,-5.2,-5.3,-3.36,-1.8,0.0
IMPV ~ MOD shall,32.1,21.33,-15.13,-16.9,-9.88,-9.83,-12.58,-5.9,-2.97,-2.33,0.0
PAST,-5.44,0.54,0.52,-1.14,-0.63,15.52,0.04,0.0,0.0,-0.31,0.38
FUT ~ PRES,-0.73,-0.05,-0.38,2.69,2.77,-0.11,-0.79,-0.9,-0.26,0.0,0.0
MOD let,-37.51,-8.12,-4.66,-0.82,-3.97,25.59,18.84,44.55,-1.3,7.48,0.0
MOD must ~ MOD shall,4.37,4.92,-3.46,-0.95,1.84,-5.19,-6.96,-3.57,-0.64,-0.72,0.0
MOD may,-6.92,-2.97,1.49,-0.15,-3.83,-2.33,25.44,1.8,0.22,12.6,0.0
MOD is to ~ MOD shall,2.17,0.66,0.48,0.04,-0.08,-3.43,-4.07,-2.17,1.16,-1.08,0.0
MOD can,0.7,0.1,2.24,0.93,-0.08,-1.75,-6.55,-3.5,0.75,-0.42,0.0
MOD shall,1.26,-0.11,0.84,2.77,-0.64,-1.17,-4.1,-1.29,-0.27,-0.73,0.0
MOD shall ~ PRES,0.91,-0.59,-0.76,1.3,1.54,-0.2,-2.46,-1.01,-0.1,0.16,0.0
FUT ~ MOD may,-1.53,-0.55,-0.11,-1.76,-1.05,0.21,9.03,0.2,1.54,3.09,0.0
MOD would,0.41,-1.0,-0.64,1.74,-1.13,1.13,0.26,-0.35,0.0,-0.19,0.0
IMPV ~ MOD let,-8.72,-1.19,0.0,0.0,-0.13,2.05,1.47,9.37,0.26,5.31,0.0
PAST ~ PRES,0.37,-0.45,-0.46,0.06,-0.13,2.54,0.39,-0.57,-0.43,-0.19,0.0
MOD let ~ MOD may,-13.31,-5.1,-1.49,-0.06,-0.06,1.94,3.72,30.9,-0.27,2.19,0.0
PRES ~ PRES PART,2.0,0.11,-0.62,0.0,-2.52,0.63,-0.09,-1.11,0.13,-0.2,0.0
PRES ~ PRES PERF,0.93,-0.98,1.31,-0.14,-1.06,0.16,-0.62,0.12,0.52,-0.2,0.0
MOD should,1.94,-1.48,2.8,-0.73,-1.49,-1.52,0.0,0.0,1.14,0.0,0.0
FUT ~ MOD lest,0.21,0.71,4.67,-1.86,-1.71,-2.01,-1.47,-0.75,2.5,0.0,0.0
MOD can ~ PRES,0.76,-0.0,2.3,0.0,-0.08,-0.76,-1.48,-0.76,0.0,0.0,0.0
TO INF,-0.34,0.29,-2.96,-1.35,-1.71,1.44,10.76,-0.76,0.0,0.0,0.0
FUT ~ MOD can,-0.05,0.53,-0.39,2.05,0.75,-1.05,-0.23,-0.56,-0.38,0.0,0.0
MOD may ~ PRES,-0.73,-0.14,2.95,0.18,-1.39,-0.49,0.11,0.85,0.0,1.48,0.0
PRES PERF,0.54,-0.54,3.54,-0.91,-1.39,0.1,-0.11,-0.57,0.17,0.0,1.16
MOD may ~ MOD shall,-3.07,-1.15,-0.0,3.52,3.42,-1.68,0.0,0.36,0.69,0.32,0.0
IMPV ~ PRES,-0.92,3.33,-0.92,0.31,-0.2,-0.36,-0.43,0.99,0.18,0.0,1.2
MOD can ~ MOD may,-0.52,0.07,0.0,-0.64,-0.21,-1.31,8.22,-0.39,-0.19,0.96,0.0
PRES PART,0.43,0.77,-0.63,-0.64,0.0,1.06,-0.28,-0.39,0.0,0.0,0.0
PRES ~ TO INF,0.79,-0.0,-0.5,-1.71,-0.74,0.86,1.43,-0.39,0.0,0.0,1.28
MOD should ~ PRES,0.19,0.17,0.89,0.0,-0.0,-1.12,0.13,-0.39,-0.2,0.0,0.0
MOD can ~ MOD shall,2.18,-0.85,-0.21,0.0,0.1,-1.13,0.0,-0.39,0.94,0.0,0.0
FUT ~ MOD would,1.46,-0.41,-0.5,0.0,0.0,0.0,0.0,-0.19,0.5,0.0,0.0
MOD must,1.39,-0.0,-0.76,0.11,-0.11,0.0,0.0,0.0,-0.2,0.0,0.0
MOD shall ~ TO INF,0.3,0.44,-1.54,1.05,-0.11,-0.95,0.33,-0.2,0.0,0.45,0.0
MOD could,2.2,-0.08,0.23,-0.76,-0.6,-0.95,0.0,-0.2,0.56,0.0,0.0
