eng_TAMsimp,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PRES,0.04,-0.05,0.04,-0.0,-0.03,0.03,-0.03,-0.0,0.01,-0.01,0.0
FUT,-0.02,0.0,-0.0,0.01,0.01,0.02,0.01,-0.01,-0.01,-0.0,-0.0
FUT ~ MOD shall,-0.13,-0.01,0.01,0.07,0.12,-0.05,-0.02,-0.01,0.02,0.0,-0.0
IMPV,0.26,0.13,-0.1,-0.09,-0.05,-0.05,-0.04,-0.03,-0.02,-0.01,-0.0
IMPV ~ MOD shall,0.27,0.18,-0.09,-0.09,-0.07,-0.06,-0.06,-0.03,-0.02,-0.01,-0.0
PAST,-0.11,0.02,0.02,-0.03,-0.02,0.12,0.0,-0.0,-0.0,-0.0,0.0
FUT ~ PRES,-0.03,-0.0,-0.01,0.05,0.05,-0.01,-0.02,-0.01,-0.01,-0.0,-0.0
MOD let,-0.29,-0.1,-0.06,-0.02,-0.05,0.18,0.14,0.19,-0.02,0.04,-0.0
MOD must ~ MOD shall,0.11,0.09,-0.06,-0.03,0.04,-0.06,-0.05,-0.03,-0.01,-0.01,-0.0
MOD may,-0.14,-0.06,0.04,-0.01,-0.06,-0.04,0.18,0.03,0.0,0.06,-0.0
MOD is to ~ MOD shall,0.08,0.03,0.02,0.0,-0.01,-0.05,-0.05,-0.03,0.02,-0.01,-0.0
MOD can,0.04,0.0,0.05,0.03,-0.01,-0.04,-0.06,-0.03,0.01,-0.01,-0.0
MOD shall,0.06,-0.01,0.03,0.07,-0.02,-0.03,-0.05,-0.02,-0.01,-0.01,-0.0
MOD shall ~ PRES,0.06,-0.04,-0.04,0.05,0.05,-0.01,-0.05,-0.03,-0.01,0.0,-0.0
FUT ~ MOD may,-0.09,-0.04,-0.01,-0.06,-0.04,0.01,0.15,0.01,0.03,0.04,-0.0
MOD would,0.04,-0.06,-0.04,0.07,-0.05,0.04,0.01,-0.02,-0.0,-0.01,-0.0
IMPV ~ MOD let,-0.25,-0.07,-0.0,-0.01,-0.02,0.07,0.05,0.15,0.01,0.07,-0.0
PAST ~ PRES,0.04,-0.04,-0.03,0.0,-0.02,0.08,0.02,-0.02,-0.02,-0.01,-0.0
MOD let ~ MOD may,-0.31,-0.14,-0.06,-0.01,-0.01,0.07,0.1,0.35,-0.02,0.04,-0.0
PRES ~ PRES PART,0.13,0.01,-0.04,-0.0,-0.08,0.03,-0.01,-0.03,0.0,-0.01,-0.0
PRES ~ PRES PERF,0.08,-0.06,0.07,-0.02,-0.05,0.01,-0.03,0.0,0.02,-0.01,-0.0
MOD should,0.14,-0.08,0.12,-0.05,-0.06,-0.06,-0.01,-0.01,0.03,-0.01,-0.0
FUT ~ MOD lest,0.03,0.05,0.18,-0.08,-0.07,-0.07,-0.06,-0.03,0.07,-0.01,-0.0
MOD can ~ PRES,0.08,0.0,0.11,-0.01,-0.02,-0.04,-0.06,-0.03,-0.01,-0.01,-0.0
TO INF,-0.05,0.03,-0.1,-0.07,-0.07,0.07,0.26,-0.03,-0.01,-0.01,-0.0
FUT ~ MOD can,-0.02,0.05,-0.04,0.11,0.05,-0.06,-0.02,-0.03,-0.03,-0.01,-0.0
MOD may ~ PRES,-0.09,-0.03,0.14,0.02,-0.07,-0.04,0.01,0.03,-0.01,0.04,-0.0
PRES PERF,0.07,-0.06,0.16,-0.06,-0.07,0.01,-0.02,-0.03,0.01,-0.01,0.02
MOD may ~ MOD shall,-0.2,-0.09,0.0,0.16,0.15,-0.07,-0.0,0.02,0.02,0.01,-0.0
IMPV ~ PRES,-0.11,0.19,-0.07,0.03,-0.03,-0.04,-0.04,0.04,0.01,-0.01,0.02
MOD can ~ MOD may,-0.08,0.01,-0.0,-0.06,-0.03,-0.07,0.27,-0.03,-0.03,0.03,-0.0
PRES PART,0.07,0.07,-0.06,-0.06,-0.01,0.07,-0.04,-0.03,-0.01,-0.01,-0.0
PRES ~ TO INF,0.11,0.0,-0.06,-0.1,-0.07,0.06,0.08,-0.03,-0.0,-0.01,0.02
MOD should ~ PRES,0.04,0.02,0.08,-0.01,0.0,-0.07,0.01,-0.03,-0.03,-0.01,-0.0
MOD can ~ MOD shall,0.21,-0.09,-0.03,-0.01,0.0,-0.07,-0.01,-0.03,0.04,-0.01,-0.0
FUT ~ MOD would,0.17,-0.06,-0.05,-0.0,-0.02,-0.0,-0.01,-0.03,0.02,-0.01,-0.0
MOD must,0.17,0.0,-0.08,0.01,-0.04,-0.02,-0.0,-0.01,-0.03,-0.01,-0.0
MOD shall ~ TO INF,0.06,0.06,-0.1,0.09,-0.04,-0.07,0.02,-0.03,-0.0,0.02,-0.0
MOD could,0.22,-0.02,0.03,-0.07,-0.06,-0.07,-0.0,-0.03,0.03,-0.01,-0.0
PAST ~ PRES PERF,-0.09,-0.06,0.02,-0.07,-0.09,0.17,0.04,0.09,0.0,-0.01,-0.0
MOD may ~ TO INF,-0.18,-0.12,-0.07,-0.1,-0.09,-0.07,0.64,-0.03,-0.03,0.05,-0.0
MOD shall ~ MOD should,0.19,0.01,0.09,-0.03,-0.09,-0.07,-0.06,-0.03,0.01,-0.01,-0.0
IMPV ~ MOD may,-0.13,0.08,0.03,0.0,-0.05,-0.04,0.11,0.03,-0.03,-0.01,-0.0
FUT ~ TO INF,-0.19,0.12,0.0,0.04,-0.05,0.07,0.08,-0.03,-0.03,-0.01,-0.0
MOD would ~ PAST,-0.05,0.19,-0.07,-0.03,0.05,-0.04,-0.06,0.0,0.01,-0.01,-0.0
MOD would ~ PRES,0.29,-0.07,-0.1,-0.01,-0.04,-0.03,-0.01,0.01,-0.03,-0.01,-0.0
FUT ~ IMPV,-0.19,0.11,-0.06,0.08,-0.04,0.1,0.03,-0.03,-0.03,0.03,-0.0
MOD let ~ PRES,-0.27,-0.02,-0.06,0.04,-0.09,0.15,0.04,0.2,-0.03,0.03,-0.0
PAST ~ PRES PART,-0.03,0.13,-0.01,-0.05,-0.04,-0.03,0.09,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD let,-0.12,-0.06,-0.05,-0.1,-0.04,0.17,-0.01,0.11,-0.03,0.13,-0.0
MOD shall ~ PRES PART,0.09,-0.0,-0.0,-0.1,0.06,-0.07,-0.01,-0.03,0.07,-0.01,-0.0
MOD should ~ TO INF,0.27,-0.05,0.06,-0.04,-0.09,-0.07,-0.0,-0.03,-0.03,-0.01,-0.0
MOD must ~ PRES,0.25,0.01,-0.1,0.01,-0.09,-0.07,-0.06,-0.03,0.08,-0.01,-0.0
FUT ~ PRES PART,0.05,0.02,-0.04,0.02,-0.03,0.04,-0.06,-0.03,-0.03,0.05,-0.0
MOD let ~ TO INF,-0.36,-0.15,-0.1,-0.1,-0.03,0.04,0.71,0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD may,0.27,-0.03,-0.04,-0.1,0.1,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PROG,0.08,-0.15,0.09,0.03,0.04,-0.07,-0.06,0.03,0.04,-0.01,-0.0
MOD let ~ MOD shall,-0.09,-0.09,-0.04,-0.03,0.05,0.06,0.01,0.1,0.04,-0.01,-0.0
FUT ~ PAST,-0.16,0.11,-0.04,-0.03,0.11,-0.01,0.01,-0.03,-0.03,0.06,-0.0
IMPV ~ MOD must,0.21,-0.01,-0.03,-0.03,-0.02,-0.07,-0.06,0.04,-0.03,-0.01,-0.0
MOD lest ~ PRES,0.36,0.06,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,0.04,-0.01,-0.0
MOD shall ~ PAST,0.07,-0.15,0.04,0.05,0.13,-0.07,-0.06,-0.03,0.04,-0.01,-0.0
MOD should ~ MOD would,-0.15,0.06,-0.1,0.12,-0.09,-0.0,0.09,0.04,0.04,-0.01,-0.0
PAST ~ TO INF,0.1,-0.08,0.05,-0.1,-0.01,0.08,0.02,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD should,0.14,-0.07,-0.02,0.07,0.08,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
HAB used to ~ PAST,-0.03,0.01,0.23,-0.01,-0.09,-0.07,-0.06,-0.03,0.06,-0.01,-0.0
MOD might,0.1,-0.06,0.08,-0.01,-0.09,0.02,-0.06,0.06,-0.03,-0.01,-0.0
MOD may ~ MOD must,0.1,0.12,-0.1,-0.1,0.09,-0.07,0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD can,-0.18,0.66,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD is to,0.14,-0.15,0.1,0.2,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PAST ~ PAST PERF,0.14,-0.05,-0.0,0.0,0.11,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD let ~ MOD must,-0.03,0.18,-0.1,-0.1,0.02,-0.07,0.06,-0.03,0.08,-0.01,-0.0
