,sum
PAST..IND ~ PRES.PERF.IND,0.25
PRES..IND ~ PRES.PERF.IND,0.18
PAST..IND ~ PAST.PERF.IND,0.18
PAST..IND ~ PRES..IND,0.09
FUT..IND ~ PRES..IND,0.05
FUT..IND ~ PRES.PERF.IND,0.04
PAST..IND ~ PRES..,0.03
PAST.PERF.IND ~ PRES.PERF.IND,0.02
FUT..IND ~ PRES..MOD,0.02
PAST..IND ~ PAST.PROG.IND,0.01
PRES.. ~ PRES.PERF.IND,0.01
PAST..IND ~ PRES..MOD,0.01
PRES.PERF.IND ~ PRES.PROG.IND,0.01
PAST..IND ~ PAST..SUBJ,0.01
PRES..IND ~ PRES..MOD,0.01
PRES..IND ~ PRES.PROG.IND,0.01
.. ~ PAST..IND,0.01
PRES.. ~ PRES..IND,0.01
PRES..MOD ~ PRES.PERF.IND,0.01
FUT..IND ~ PAST..IND,0.0
.. ~ PRES.PERF.IND,0.0
.. ~ PRES..IND,0.0
PAST.PERF.IND ~ PAST.PROG.IND,0.0
PRES.PERF.IND ~ PRES.PERF_PROG.IND,0.0
PAST..IND ~ PRES.PROG.IND,0.0
PAST..SUBJ ~ PRES..MOD,0.0
PAST.PERF.IND ~ past.PERF_PROG.IND,0.0
PAST..SUBJ ~ PRES.PERF.IND,0.0
.. ~ PAST..SUBJ,0.0
PAST.PROG.IND ~ PRES.PERF.IND,0.0
FUT..IND ~ PRES..,0.0
.. ~ PAST.PERF.IND,0.0
PAST.PERF.IND ~ PRES..MOD,0.0
PRES.. ~ PRES..MOD,0.0
PAST.PROG.IND ~ PRES..,0.0
PAST.PERF.IND ~ PRES..IND,0.0
PAST.PERF.IND ~ PRES..,0.0
PAST..SUBJ ~ PAST.PERF.IND,0.0
.. ~ PRES..,0.0
FUT..IND ~ FUT.PERF.IND,0.0
.. ~ PRES..MOD,0.0
FUT..IND ~ FUT..MOD,0.0
FUT.PERF.IND ~ PRES.PERF.IND,0.0
FUT..MOD ~ PRES.PERF.IND,0.0
PAST..SUBJ ~ PRES..,0.0
FUT..IND ~ PAST..SUBJ,0.0
PAST..IND ~ past.PERF_PROG.IND,0.0
PAST.PROG.IND ~ past.PERF_PROG.IND,0.0
.. ~ FUT..IND,0.0
PAST..SUBJ ~ PRES..IND,0.0
FUT..IND ~ PRES.PROG.IND,0.0
PRES.PERF_PROG.IND ~ PRES.PROG.IND,0.0
PAST.PROG.IND ~ PRES..IND,0.0
PRES.. ~ PRES.PROG.IND,0.0
