genre,prose,prophetic,prose,poetry,prose,instruction,prophetic,list,poetry,prophetic,list,instruction,poetry,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,N,Q,?,Q,?,N,?,N,?,N,D,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND,4.1,6.15,1.85,7.07,19.28,65.39,66.48,29.72,195.0,66.48,43.26,55.38,315.62,822.2,293.0,273.4,256.25,822.2,4115.0
PRES.PERF.IND,1.3,2.41,469.8,4.5,inf,20.6,137.47,2353.0,129.78,587.5,inf,inf,129.78,260.56,213.0,587.5,1176.0,335.29,335.29
PRES..IND,4.99,1.5,342.67,2.35,inf,53.26,24.15,2061.0,23.55,120.29,inf,2061.0,102.1,127.88,411.4,686.33,inf,inf,514.5
PAST.PERF.IND,8.54,22.0,0.46,30.28,24.23,inf,390.0,64.17,390.0,21.34,259.67,96.75,781.0,390.0,inf,390.0,129.33,390.0,inf
FUT..IND,5.27,0.77,inf,6.67,inf,22.0,16.25,inf,inf,inf,inf,inf,68.0,33.5,inf,inf,inf,inf,inf
PAST..SUBJ,2.26,9.33,2.44,3.13,inf,inf,inf,61.0,inf,61.0,inf,inf,inf,61.0,61.0,inf,inf,inf,inf
PRES..MOD,5.11,8.17,1.39,5.11,12.75,inf,inf,26.5,inf,54.0,inf,inf,inf,inf,inf,inf,inf,54.0,inf
PRES..,9.67,1.91,3.57,3.0,inf,inf,inf,31.0,31.0,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,0.5,2.6,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,1.6,inf,1.17,inf,12.0,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
..,1.5,1.5,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
past.PERF_PROG.IND,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT.PERF.IND,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
