genre,domain2,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
prose,Q,0.35,0.44,0.15,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
prophetic,Q,0.26,0.31,0.38,0.02,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
prose,N,0.71,0.0,0.0,0.26,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poetry,Q,0.31,0.26,0.38,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prose,?,0.85,0.0,0.0,0.13,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instruction,Q,0.29,0.51,0.18,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prophetic,?,0.37,0.1,0.49,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
list,N,0.88,0.01,0.01,0.08,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
poetry,?,0.17,0.14,0.67,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
prophetic,N,0.5,0.03,0.14,0.29,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0
list,?,0.97,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instruction,N,0.89,0.0,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poetry,D,0.25,0.34,0.38,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prophetic,D,0.14,0.26,0.46,0.06,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instruction,D,0.45,0.35,0.16,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poetry,N,0.62,0.17,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prose,D,0.67,0.08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
list,Q,0.33,0.47,0.0,0.13,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instruction,?,0.08,0.58,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
