eng_TAMsimp,prose,prophetic,poetry,instruction,list
PAST ~ PRES PART,0.25,-0.12,-0.1,-0.03,0.0
PAST ~ PAST PERF,0.25,-0.12,-0.13,-0.02,0.03
?PAST ~ PAST,0.09,-0.12,-0.07,0.1,-0.0
PAST ~ PRES PERF,-0.22,0.21,0.04,-0.02,-0.02
PAST ~ PRES,-0.35,0.14,0.15,0.06,-0.01
PAST ~ TO INF,0.25,-0.1,-0.12,-0.01,-0.02
PRES ~ PRES PERF,-0.47,0.18,0.31,-0.04,0.01
PAST ~ PAST PROG,0.23,-0.09,-0.12,-0.04,0.02
FUT ~ PRES,-0.68,0.44,0.22,0.03,-0.02
?PRES ~ PRES,-0.68,0.22,0.43,-0.04,0.06
MOD could ~ PAST,0.25,-0.08,-0.12,-0.04,-0.02
?VB ~ PAST,-0.11,-0.06,0.11,0.08,-0.02
?PRES ~ PAST,-0.1,0.12,0.03,-0.04,-0.02
?PAST ~ PRES PART,0.17,0.0,-0.12,-0.04,-0.02
FUT ~ PAST,-0.67,0.34,0.39,-0.04,-0.02
PRES PART ~ PRES PERF,-0.27,0.23,-0.11,0.17,-0.02
FUT ~ PRES PERF,-0.67,0.44,0.29,-0.04,-0.02
PRES ~ PRES PART,-0.67,0.08,0.64,-0.04,-0.02
MOD would ~ PAST,0.08,-0.17,0.14,-0.04,-0.02
PRES ~ PRES PROG,0.33,-0.17,-0.11,-0.04,-0.02
PAST PERF ~ PRES PERF,0.08,-0.17,0.14,-0.04,-0.02
?PAST did not ~ PAST,0.08,0.08,-0.11,-0.04,-0.02
?PAST ~ ?VB,-0.67,-0.17,0.22,0.63,-0.02
?TO INF ~ PAST,0.33,-0.17,-0.11,-0.04,-0.02
MOD let ~ PAST,0.0,-0.17,0.22,-0.04,-0.02
?PAST ~ PRES,0.0,0.17,-0.11,-0.04,-0.02
IMPV ~ PAST,0.0,0.17,-0.11,-0.04,-0.02
PRES ~ TO INF,-0.67,0.17,0.55,-0.04,-0.02
FUT ~ MOD shall,-0.67,0.5,0.22,-0.04,-0.02
PRES PERF ~ TO INF,-0.33,0.17,0.22,-0.04,-0.02
PAST PERF ~ PRES PART,0.33,-0.17,-0.11,-0.04,-0.02
?VB ~ PRES PERF,0.33,-0.17,-0.11,-0.04,-0.02
?FUT ~ PAST,-0.67,0.84,-0.11,-0.04,-0.02
PRES PERF ~ PRES PROG,-0.17,0.33,-0.11,-0.04,-0.02
MOD may ~ PAST,-0.17,-0.17,0.39,-0.04,-0.02
?PRES PERF ~ PRES,0.33,-0.17,-0.11,-0.04,-0.02
?PRES ~ ?PRES PERF,-0.67,0.33,0.39,-0.04,-0.02
?PRES ~ PRES PART,-0.67,0.33,0.39,-0.04,-0.02
?PRES ~ PRES PERF,-0.67,0.84,-0.11,-0.04,-0.02
?VB ~ PRES,-0.17,0.33,-0.11,-0.04,-0.02
?PAST ~ IMPV,0.33,-0.17,-0.11,-0.04,-0.02
??VB ~ ?PAST question,0.33,-0.17,-0.11,-0.04,-0.02
MOD can ~ PRES,-0.67,0.33,0.39,-0.04,-0.02
?FUT ~ PRES,-0.67,-0.17,0.89,-0.04,-0.02
??VB ~ PAST,-0.67,0.83,-0.11,-0.04,-0.02
??PAST ~ ?TO INF,0.33,-0.17,-0.11,-0.04,-0.02
?PAST ~ ?TO INF,0.33,-0.17,-0.11,-0.04,-0.02
??PAST ~ PAST,0.33,-0.17,-0.11,-0.04,-0.02
??PRES ~ PAST,0.33,-0.17,-0.11,-0.04,-0.02
?PAST wh-question ~ TO INF,-0.67,0.83,-0.11,-0.04,-0.02
?PAST wh-question ~ PAST,0.33,-0.17,-0.11,-0.04,-0.02
?PAST wh-question ~ MOD let,0.33,-0.17,-0.11,-0.04,-0.02
?PAST wh-question ~ ?PRES,0.33,-0.17,-0.11,-0.04,-0.02
??VB ~ PRES,0.33,-0.17,-0.11,-0.04,-0.02
?FUT ~ PRES PART,-0.67,0.83,-0.11,-0.04,-0.02
?PAST do-support ~ PAST,-0.67,0.83,-0.11,-0.04,-0.02
?PAST did not ~ TO INF,-0.67,-0.17,0.89,-0.04,-0.02
??VB ~ PRES PERF,-0.67,-0.17,0.89,-0.04,-0.02
?FUT ~ ?PRES,-0.67,-0.17,0.89,-0.04,-0.02
PRES PART ~ TO INF,0.33,-0.17,-0.11,-0.04,-0.02
?PAST did not ~ ?PAST question,0.33,-0.17,-0.11,-0.04,-0.02
?PAST PERF ~ PAST PERF,0.33,-0.17,-0.11,-0.04,-0.02
