,sum
PRES..IND ~ PRES.PERF.IND,0.51
PAST..IND ~ PRES..IND,0.25
FUT..IND ~ PRES..IND,0.14
PRES..IND ~ PRES..MOD,0.03
PRES..IND ~ PRES.PROG.IND,0.02
PRES.. ~ PRES..IND,0.02
.. ~ PRES..IND,0.01
PAST.PERF.IND ~ PRES..IND,0.0
PAST.PROG.IND ~ PRES..IND,0.0
PAST..SUBJ ~ PRES..IND,0.0
