eng_TAMsimp,V,_W_V,AV,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,5.9,13.98,8.33,4.9,22.86,21.1,25.69,7.53,38.07,36.97,36.44,39.85,68.13,29.29,71.86,116.22,336.0,157.59,148.78,167.5,538.2,78.29,336.0,268.6,148.78,384.14,448.33,673.0,384.14,336.0,897.67,673.0,336.0,448.33,1347.0,673.0,298.56,298.56,673.0,897.67,1347.0,897.67,1347.0,1347.0,1347.0,897.67,897.67,673.0,2695.0,1347.0,inf,2695.0,897.67,inf,2695.0,2695.0,inf,1347.0,2695.0,2695.0,inf,2695.0,inf,1347.0,inf,2695.0,2695.0,inf,inf,inf,inf,2695.0,inf,inf,inf,2695.0,2695.0,inf,inf,inf,inf,2695.0,inf,inf
FUT,4.06,6.13,5.17,18.22,13.31,14.74,17.51,39.61,19.14,28.62,34.46,26.08,103.92,502.6,156.38,138.89,208.83,192.69,208.83,178.86,131.53,2517.0,178.86,418.67,278.78,628.5,628.5,418.67,2517.0,1258.0,418.67,2517.0,838.33,2517.0,2517.0,628.5,1258.0,2517.0,2517.0,2517.0,838.33,838.33,2517.0,2517.0,2517.0,2517.0,2517.0,inf,inf,inf,2517.0,inf,2517.0,2517.0,2517.0,inf,inf,inf,2517.0,inf,inf,inf,inf,inf,2517.0,inf,inf,2517.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2517.0,inf,inf,inf
FUT ~ MOD shall,6.93,6.62,5.12,35.85,6.22,9.41,11.82,51.03,33.69,39.2,146.42,32.38,22.28,1768.0,42.15,109.56,883.5,588.67,135.08,588.67,293.83,inf,441.25,883.5,588.67,220.13,135.08,293.83,inf,441.25,inf,inf,inf,588.67,293.83,883.5,inf,inf,883.5,588.67,883.5,1768.0,1768.0,883.5,inf,1768.0,inf,inf,883.5,inf,inf,1768.0,inf,1768.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1768.0,inf,1768.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,1.0,5.11,10.11,677.0,28.48,134.6,12.56,inf,17.32,20.87,inf,338.0,inf,inf,inf,inf,inf,inf,inf,677.0,338.0,inf,677.0,74.33,338.0,677.0,677.0,inf,677.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,0.94,2.28,22.12,137.75,54.5,21.2,110.0,inf,60.67,78.29,554.0,184.0,276.5,inf,276.5,inf,inf,inf,554.0,inf,276.5,inf,inf,554.0,inf,inf,inf,276.5,inf,554.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,554.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,2.98,9.85,3.55,509.0,71.86,169.0,9.41,169.0,6.61,6.08,inf,101.0,inf,inf,inf,inf,inf,inf,509.0,254.0,84.0,inf,254.0,inf,509.0,169.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,509.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,3.39,9.04,4.72,14.07,18.65,17.83,8.83,15.74,21.6,36.67,inf,44.2,74.33,112.0,112.0,inf,inf,451.0,451.0,inf,inf,451.0,225.0,451.0,inf,149.67,inf,inf,inf,225.0,inf,inf,451.0,451.0,inf,451.0,inf,inf,inf,451.0,inf,inf,inf,inf,inf,inf,451.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,451.0,451.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,451.0,inf,inf,inf,inf,inf
FUT ~ PRES,7.05,7.2,7.05,10.97,8.63,9.07,25.06,21.15,28.53,25.06,62.29,19.14,54.38,33.08,54.38,442.0,220.5,442.0,146.67,54.38,442.0,442.0,inf,inf,220.5,220.5,inf,442.0,inf,inf,442.0,inf,inf,inf,inf,inf,inf,inf,inf,220.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,6.18,1.48,13.36,5.0,43.67,15.75,27.71,56.43,56.43,35.55,200.0,401.0,401.0,66.0,133.0,200.0,inf,inf,401.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,401.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,5.2,11.18,3.16,inf,8.74,20.31,12.64,340.0,9.03,10.37,inf,41.62,47.71,inf,67.2,340.0,inf,169.5,inf,112.67,169.5,inf,340.0,inf,340.0,inf,340.0,340.0,340.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,169.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
