eng_TAMsimp,V,AV,CV,_W_V,_W_SV,_W_AV,RV,SV,_W_OV,QV,OV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,IV,QOV,CQV,ACV,_W_RV,ISV,IAV,_W_AOV,_W_COV,_W_CSV,ASAV,_W_OSV,CASV,ISAV,RAV,RSV,CSOV,ROV,CCV,COSV,CAOV,OOV,CISV,IOV,COAV,ACAV,_W_OOV,_W_OQV,_W_IV,_W_ACV,ACSV,OSV,QSAV,RASV,CQAV,_W_ASAV,_W_QAV,ASOV,IISOAV,ARV,_W_QOV,_W_SOAV,AOAV,_W_ASOV,CAQV,_W_IAV,OASV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
MOD may ~ MOD shall,10.6,10.6,53.0,10.6,4.08,53.0,26.5,5.89,26.5,13.25,17.67,inf,inf,inf,53.0,53.0,53.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,4.9,8.17,24.5,12.25,16.33,16.33,24.5,inf,16.33,9.8,inf,16.33,49.0,49.0,24.5,inf,24.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,23.5,23.5,5.22,7.83,47.0,23.5,inf,47.0,9.4,47.0,23.5,inf,23.5,11.75,15.67,23.5,47.0,inf,inf,inf,23.5,inf,47.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,47.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,5.22,15.67,9.4,9.4,47.0,23.5,7.83,47.0,5.88,15.67,47.0,47.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,47.0,inf,inf,inf,inf,inf,inf,47.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,11.5,15.33,3.54,9.2,inf,23.0,7.67,15.33,inf,inf,inf,46.0,inf,15.33,inf,46.0,inf,inf,46.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,46.0,inf,inf,inf,46.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,46.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,46.0,inf,inf,inf,inf
MOD can ~ MOD shall,7.33,11.0,22.0,14.67,44.0,44.0,44.0,44.0,22.0,2.59,inf,inf,44.0,inf,inf,inf,14.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,44.0,22.0,4.89,11.0,44.0,inf,inf,inf,44.0,4.0,inf,44.0,44.0,44.0,inf,44.0,11.0,44.0,inf,inf,inf,44.0,inf,inf,inf,inf,44.0,inf,inf,inf,44.0,inf,inf,inf,44.0,inf,inf,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,6.83,13.67,5.12,8.2,inf,inf,4.1,inf,20.5,inf,20.5,inf,41.0,41.0,inf,inf,inf,inf,inf,inf,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,8.0,5.71,13.33,13.33,20.0,40.0,40.0,13.33,inf,10.0,40.0,20.0,inf,40.0,inf,inf,13.33,40.0,40.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,40.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,40.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,5.43,inf,9.5,5.43,38.0,19.0,3.8,inf,inf,5.43,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
