domain2,PRES ~ PRES PART,PAST ~ PAST PROG,PRES ~ PRES PROG,PAST ~ PRES PART,PAST ~ PRES,FUT ~ PRES,PRES ~ PRES PERF,FUT ~ MOD shall,PAST PROG ~ PRES PART,FUT ~ FUT going-to,PAST ~ PRES PERF,PAST ~ PAST PERF,PRES PART ~ PRES PROG,FUT ~ PRES PROG,FUT ~ PRES PART,PAST ~ TO INF,MOD may ~ PRES,FUT ~ TO INF,FUT going-to ~ PRES,FUT going-to ~ PRES PROG,PRES PART ~ TO INF,MOD could ~ PAST,IMPV ~ PRES,MOD can ~ PRES,MOD is to ~ PRES,PRES ~ TO INF,PRES PART ~ PRES PERF,MOD shall ~ PRES,PAST PERF ~ PAST PROG,MOD would ~ PAST,MOD would ~ PRES,FUT ~ MOD must,IMPV ~ MOD may,PAST ~ PRES PROG,MOD is to ~ MOD shall,PAST ~ PAST PERF PROG,FUT going-to ~ MOD shall,MOD can ~ MOD shall,PRES ~ PRES PERF PROG,FUT PROG ~ PRES PART,MOD shall ~ TO INF,PRES PERF ~ PRES PROG,MOD should ~ MOD would,PRES PERF PROG ~ PRES PROG,MOD is to ~ PRES PART,MOD should ~ TO INF,MOD was to ~ PAST,FUT ~ MOD is to,MOD can ~ TO INF,PAST PROG ~ PRES,MOD can ~ PRES PART,MOD may ~ PAST,MOD let ~ PRES,MOD may ~ TO INF,MOD must ~ MOD shall,MOD is to ~ TO INF,MOD was to ~ TO INF,MOD must ~ PRES,PAST PERF PROG ~ PAST PROG,PRES ~ PRES PROG keep,FUT going-to ~ PRES PART,PRES PART ~ PRES PERF PROG,PAST PERF ~ PRES PART,PAST PERF ~ PRES,FUT ~ PAST PROG,PAST PERF ~ PAST PERF PROG,MOD was to ~ PAST PROG,FUT ~ MOD may,FUT ~ MOD can,HAB used to ~ PAST,HAB used to ~ PAST PERF,FUT ~ VB,FUT ~ FUT PROG,FUT ~ MOD would,FUT ~ PAST,TO INF ~ VB,MOD shall ~ PRES PART,IMPV ~ PRES PROG,MOD should ~ PRES PERF,PRES PROG ~ TO INF,PRES PROG ~ PRES PROG keep,PRES PERF ~ TO INF,PRES PERF ~ PRES PERF PROG,PAST ~ VB,PAST PROG ~ TO INF,MOD would ~ PRES PROG,MOD would ~ PRES PERF,MOD was to ~ PRES PART,MOD that VB ~ PRES PART,MOD should ~ PRES,MOD can ~ MOD may,MOD should ~ PAST,MOD should ~ MOD was to,MOD shall ~ PRES PERF,MOD shall ~ PAST,MOD need not ~ TO INF,MOD must ~ PRES PART,MOD may ~ PRES PART,MOD let ~ TO INF,MOD is to ~ MOD would,MOD could ~ PRES PART,FUT PROG ~ MOD is to
Q,0.16,-0.26,0.11,-0.22,0.03,0.06,0.06,0.06,-0.11,0.04,0.04,-0.07,0.03,0.03,0.02,-0.04,0.02,0.01,0.01,0.01,-0.01,-0.03,0.01,0.01,0.01,0.0,0.01,0.01,-0.01,-0.01,0.01,0.01,0.01,0.01,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.01,-0.01,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
N,-0.16,0.26,-0.11,0.22,-0.03,-0.06,-0.06,-0.06,0.11,-0.04,-0.04,0.07,-0.03,-0.03,-0.02,0.04,-0.02,-0.01,-0.01,-0.01,0.01,0.03,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.01,-0.0,-0.0,-0.0,0.01,0.01,-0.0,0.01,0.01,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
