,p3,p1,p2
PAST..IND,1.97,0.6,0.49
PRES.PERF.IND,0.26,2.28,4.39
PRES..IND,1.4,0.98,0.45
PAST.PERF.IND,2.87,0.37,0.42
FUT..IND,0.42,3.24,0.69
PAST..SUBJ,0.71,1.46,1.13
PRES..MOD,3.69,0.29,0.33
PRES..,2.57,0.51,0.29
PRES.PROG.IND,0.73,1.0,1.78
PAST.PROG.IND,2.02,0.91,0.0
..,inf,0.0,0.0
past.PERF_PROG.IND,inf,0.0,0.0
FUT.PERF.IND,0.0,0.0,inf
PRES.PERF_PROG.IND,0.0,inf,0.0
