eng_TAM,p3,p1,p2
PAST..IND,1.24,7.78,14.97
PRES.PERF.IND,1.95,3.8,4.48
PRES..IND,1.28,6.06,18.41
PAST.PERF.IND,1.14,13.72,21.14
FUT..IND,1.86,2.56,13.8
PAST..SUBJ,1.51,4.43,8.86
PRES..MOD,1.1,18.33,27.5
PRES..,1.14,10.67,32.0
PRES.PROG.IND,1.5,6.0,6.0
PAST.PROG.IND,1.18,6.5,inf
..,1.0,inf,inf
past.PERF_PROG.IND,1.0,inf,inf
FUT.PERF.IND,inf,inf,1.0
PRES.PERF_PROG.IND,inf,1.0,inf
