,Main,SubAdv,SubMod,SubArg,Main,SubMod,SubAdv,SubArg
,0,0,0,0,1,1,1,1
PAST..IND,1.05,-15.26,2.69,-7.49,22.08,1.09,2.45,2.43
PRES.PERF.IND,-5.84,12.54,0.32,2.81,-5.55,-3.87,-2.18,-0.85
PRES..IND,60.61,0.04,-63.64,-10.12,-6.81,-2.74,-2.12,-1.5
PAST.PERF.IND,-116.74,2.4,63.35,28.21,-1.48,9.34,2.43,0.42
FUT..IND,5.17,-0.27,-4.82,-0.14,-0.37,0.0,0.0,0.0
PAST..SUBJ,3.41,-0.21,-1.87,-0.56,-0.39,0.0,0.0,0.0
PRES..MOD,1.41,-0.0,-2.07,0.15,0.0,0.0,0.0,0.0
PRES..,-0.0,0.45,0.0,-0.2,0.0,0.0,0.0,0.0
PRES.PROG.IND,0.47,-0.64,-0.12,0.92,0.0,0.0,0.0,0.0
PAST.PROG.IND,-0.0,0.15,-0.61,1.16,0.0,0.0,0.0,0.0
..,-0.0,-0.0,0.0,0.8,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,-0.77,0.0,1.6,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,-0.38,0.75,0.0,0.0,0.0,0.0,0.0,0.0
