clause_rela,Main,SubAdv,SubMod,SubArg,Main,SubMod,SubAdv,SubArg
has_loca,0,0,0,0,1,1,1,1
eng_TAM,,,,,,,,
PAST..IND,0.6,0.14,0.17,0.02,0.04,0.01,0.01,0.0
PRES.PERF.IND,0.54,0.23,0.16,0.04,0.01,0.0,0.0,0.0
PRES..IND,0.74,0.18,0.05,0.01,0.01,0.0,0.0,0.0
PAST.PERF.IND,0.2,0.22,0.4,0.12,0.01,0.04,0.01,0.0
FUT..IND,0.84,0.14,0.0,0.01,0.0,0.0,0.0,0.0
PAST..SUBJ,0.81,0.15,0.05,0.0,0.0,0.0,0.0,0.0
PRES..MOD,0.73,0.18,0.04,0.04,0.02,0.0,0.0,0.0
PRES..,0.59,0.25,0.16,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,0.72,0.06,0.11,0.11,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.62,0.23,0.0,0.15,0.0,0.0,0.0,0.0
..,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
