clause_rela,Main,SubAdv,SubMod,SubArg,Main,SubMod,SubAdv,SubArg
has_loca,0,0,0,0,1,1,1,1
eng_TAM,,,,,,,,
PAST..IND,2453,586,707,91,181,51,34,13
PRES.PERF.IND,1279,541,384,104,31,9,5,1
PRES..IND,1529,370,102,26,22,9,4,0
PAST.PERF.IND,156,170,310,93,11,29,11,2
FUT..IND,58,10,0,1,0,0,0,0
PAST..SUBJ,50,9,3,0,0,0,0,0
PRES..MOD,40,10,2,2,1,0,0,0
PRES..,19,8,5,0,0,0,0,0
PRES.PROG.IND,13,1,2,2,0,0,0,0
PAST.PROG.IND,8,3,0,2,0,0,0,0
..,3,1,0,1,0,0,0,0
past.PERF_PROG.IND,0,0,2,0,0,0,0,0
FUT.PERF.IND,2,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,0,1,0,0,0,0,0,0
