clause_rela,Main,SubAdv,SubMod,SubArg,Main,SubMod,SubAdv,SubArg
has_loca,0,0,0,0,1,1,1,1
eng_TAM,,,,,,,,
PAST..IND,0.02,-0.06,0.02,-0.02,0.03,0.0,0.0,0.0
PRES.PERF.IND,-0.06,0.07,0.01,0.01,-0.02,-0.01,-0.0,-0.0
PRES..IND,0.2,0.0,-0.14,-0.03,-0.02,-0.01,-0.0,-0.0
PAST.PERF.IND,-0.42,0.04,0.26,0.09,-0.01,0.03,0.01,0.0
FUT..IND,0.26,-0.03,-0.16,-0.02,-0.03,-0.01,-0.01,-0.0
PAST..SUBJ,0.22,-0.03,-0.11,-0.03,-0.03,-0.01,-0.01,-0.0
PRES..MOD,0.14,0.0,-0.12,0.0,-0.01,-0.01,-0.01,-0.0
PRES..,0.01,0.07,-0.0,-0.03,-0.03,-0.01,-0.01,-0.0
PRES.PROG.IND,0.14,-0.12,-0.05,0.08,-0.03,-0.01,-0.01,-0.0
PAST.PROG.IND,0.03,0.05,-0.16,0.12,-0.03,-0.01,-0.01,-0.0
..,0.01,0.02,-0.16,0.17,-0.03,-0.01,-0.01,-0.0
past.PERF_PROG.IND,-0.59,-0.18,0.84,-0.03,-0.03,-0.01,-0.01,-0.0
FUT.PERF.IND,0.41,-0.18,-0.16,-0.03,-0.03,-0.01,-0.01,-0.0
PRES.PERF_PROG.IND,-0.59,0.82,-0.16,-0.03,-0.03,-0.01,-0.01,-0.0
