eng_TAMsimp,prose,prophetic,instruction,poetry,list
MOD might ~ PAST,-0.3,0.31,-0.21,0.2,-0.01
MOD let ~ MOD would,0.5,-0.29,-0.21,-0.0,-0.01
MOD might ~ MOD should,0.3,-0.29,-0.21,0.2,-0.01
FUT ~ PRES PROG,0.45,-0.04,-0.21,-0.2,-0.01
IMPV ~ MOD is to,0.45,-0.29,0.04,-0.2,-0.01
MOD can ~ PAST,-0.05,0.46,-0.21,-0.2,-0.01
IMPV ~ MOD lest,-0.05,0.21,-0.21,0.05,-0.01
FUT ~ MOD is to,0.45,-0.04,-0.21,-0.2,-0.01
MOD VB ~ PRES,-0.3,-0.29,-0.21,0.8,-0.01
?VB ~ PAST,0.2,-0.29,-0.21,0.3,-0.01
PRES PERF ~ TO INF,-0.3,0.71,-0.21,-0.2,-0.01
MOD let ~ PRES PERF,0.2,-0.29,-0.21,0.3,-0.01
PAST PERF ~ PRES,0.2,-0.04,-0.21,0.05,-0.01
MOD should ~ PAST,-0.05,-0.04,-0.21,0.3,-0.01
MOD could ~ MOD must,-0.3,-0.29,-0.21,0.8,-0.01
MOD may ~ PRES PERF,0.04,-0.29,0.12,0.13,-0.01
MOD can ~ MOD might,0.7,-0.29,-0.21,-0.2,-0.01
MOD shall ~ PRES PERF,0.7,-0.29,-0.21,-0.2,-0.01
FUT PROG ~ PRES,-0.3,-0.29,0.46,0.13,-0.01
PRES PART ~ PRES PERF,-0.3,0.04,-0.21,0.47,-0.01
MOD need not ~ MOD shall,0.04,-0.29,-0.21,0.47,-0.01
MOD would ~ PRES PART,0.04,0.04,-0.21,0.13,-0.01
MOD could ~ MOD should,0.37,0.04,-0.21,-0.2,-0.01
FUT ~ MOD that be,0.37,-0.29,0.12,-0.2,-0.01
MOD may ~ MOD might,0.04,0.04,-0.21,0.13,-0.01
MOD may ~ PAST,0.04,-0.29,-0.21,0.47,-0.01
MOD lest ~ MOD would,0.37,-0.29,0.12,-0.2,-0.01
MOD is to ~ PRES PART,0.37,-0.29,-0.21,0.13,-0.01
PAST PROG ~ PRES,-0.3,0.21,-0.21,0.3,-0.01
MOD is to ~ TO INF,0.2,-0.29,-0.21,0.3,-0.01
MOD must ~ MOD quest must,-0.3,0.71,-0.21,-0.2,-0.01
