,prophetic,prose,instruction,poetry,list
FUT ~ MOD shall,150.35,-0.26,-92.28,-25.37,-0.14
IMPV ~ MOD shall,-48.64,-0.54,114.89,-45.52,0.87
FUT ~ PRES,0.08,-3.39,-26.39,37.84,-0.97
MOD must ~ MOD shall,-27.59,-4.46,95.72,-28.02,-0.14
MOD is to ~ MOD shall,-18.17,-2.96,65.41,-25.91,2.63
MOD shall ~ PRES,-1.32,-0.4,3.81,-0.72,1.16
PAST ~ PRES,0.22,-3.74,-8.77,13.99,0.8
FUT ~ MOD may,-0.7,1.14,-0.54,0.44,0.0
PRES ~ PRES PART,-0.24,-1.32,-2.32,7.8,0.0
PRES ~ PRES PERF,-1.2,-0.2,-0.35,3.97,0.0
FUT ~ MOD lest,-2.94,2.99,-0.11,0.19,0.0
MOD can ~ PRES,-0.91,0.0,-6.62,8.87,0.0
FUT ~ MOD can,0.38,0.11,-5.82,2.82,0.0
MOD may ~ MOD shall,-3.57,0.0,2.52,0.43,0.0
IMPV ~ PRES,0.06,-1.16,-3.13,5.96,0.0
MOD may ~ PRES,-0.7,-0.3,0.0,2.23,0.0
MOD should ~ PRES,-0.85,1.61,-2.74,1.56,0.0
MOD can ~ MOD shall,-0.2,1.06,-2.74,1.14,0.0
PRES ~ TO INF,-1.21,-0.67,0.7,1.91,0.0
FUT ~ MOD would,-0.31,0.32,-4.43,3.59,0.0
MOD shall ~ TO INF,-0.14,3.92,-0.75,-2.04,0.0
MOD can ~ MOD may,-1.39,2.27,-0.51,0.18,0.0
PAST ~ PRES PERF,-0.58,-2.31,-1.88,9.08,0.0
MOD shall ~ MOD should,0.62,1.89,-2.33,-0.98,0.0
MOD would ~ PAST,-0.26,2.91,-1.35,-0.33,0.76
FUT ~ TO INF,-0.39,1.31,-2.98,1.34,0.0
MOD would ~ PRES,-2.54,-0.09,-1.58,7.14,0.0
PAST ~ PRES PART,0.09,0.0,-1.4,1.08,0.89
FUT ~ IMPV,-0.2,0.33,-1.4,1.41,0.0
MOD shall ~ PRES PART,0.33,-0.9,1.88,-1.44,0.0
MOD must ~ PRES,-1.12,-0.0,0.23,0.94,0.0
MOD should ~ TO INF,-1.12,1.89,-1.94,0.46,0.96
MOD lest ~ MOD may,-0.76,-0.24,1.14,0.29,0.0
PRES ~ PRES PROG,-0.76,0.81,0.26,-0.12,0.0
FUT ~ PRES PART,2.07,-0.11,-1.53,0.0,0.0
FUT ~ PAST,1.05,0.25,-1.53,0.0,0.0
MOD let ~ PRES,0.1,-0.11,-1.53,2.0,0.0
MOD lest ~ PRES,-1.11,3.2,-0.67,0.0,0.0
FUT ~ MOD let,0.0,0.26,-1.29,0.82,0.0
MOD should ~ MOD would,-0.6,-0.0,-0.67,2.2,0.0
MOD shall ~ PAST,0.82,0.26,-0.27,-1.05,0.0
IMPV ~ MOD may,-1.12,0.91,-0.13,0.57,0.0
