genre,prophetic,prose,instruction,poetry,prose,instruction,prophetic,list,prophetic,instruction,prose,list,instruction,poetry,prophetic,prose,poetry,list
domain2,Q,Q,Q,Q,N,D,?,N,D,?,D,Q,N,?,N,?,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT,0.33,-0.0,-0.25,-0.02,-0.03,-0.02,0.02,-0.01,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,0.25,-0.07,-0.11,-0.02,-0.03,-0.02,0.02,-0.01,0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES,-0.06,-0.0,-0.05,0.08,-0.02,0.06,-0.01,-0.01,0.0,0.0,-0.01,-0.0,-0.0,0.02,-0.0,-0.0,0.01,-0.0
IMPV ~ MOD shall,-0.29,-0.07,0.47,-0.04,-0.02,0.0,-0.02,-0.01,-0.01,-0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,-0.05,0.34,-0.15,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.35,-0.14,0.55,-0.04,-0.02,-0.01,-0.02,-0.01,-0.01,0.05,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.18,-0.16,-0.22,0.17,0.31,-0.02,-0.02,0.0,-0.01,-0.01,0.05,-0.0,0.05,-0.0,0.01,0.03,-0.0,-0.0
MOD shall,-0.34,-0.15,0.46,-0.04,-0.02,0.09,-0.02,-0.01,-0.01,0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.32,-0.22,0.62,-0.03,-0.02,0.02,-0.02,-0.01,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,0.04,0.04,-0.13,0.06,-0.02,0.0,0.01,-0.01,-0.01,0.01,-0.01,-0.0,-0.0,0.02,0.01,-0.0,-0.0,-0.0
MOD may,-0.22,0.26,0.05,-0.04,-0.02,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES,-0.23,-0.26,-0.16,0.04,-0.02,-0.02,-0.02,0.7,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,-0.02,-0.02,0.14,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,0.14,0.01,-0.07,-0.04,-0.02,0.02,0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.03,0.17,-0.09,0.05,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ TO INF,-0.2,-0.03,0.34,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,-0.19,0.01,0.02,0.04,-0.02,-0.02,0.06,0.14,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.19,0.29,-0.04,0.0,-0.02,0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.26,-0.08,-0.24,-0.04,0.34,-0.02,-0.02,-0.01,-0.01,-0.01,0.31,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.1,0.28,-0.12,-0.04,-0.02,0.02,-0.02,-0.01,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD lest,-0.13,0.05,-0.07,0.21,-0.02,0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.26,-0.16,-0.24,0.01,0.44,-0.02,-0.02,-0.01,-0.01,-0.01,0.29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ TO INF,-0.34,0.41,-0.02,-0.04,-0.02,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,-0.15,-0.05,0.19,0.06,-0.02,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,-0.25,0.43,-0.19,0.06,-0.02,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ IMPV,0.29,0.03,-0.24,0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,-0.03,0.08,0.08,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD shall,-0.29,0.11,0.27,-0.04,-0.02,0.04,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,-0.34,-0.17,-0.24,0.14,0.33,-0.02,-0.02,0.28,-0.01,-0.01,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,0.1,0.15,-0.17,0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,-0.34,0.15,0.27,-0.04,-0.02,-0.02,0.05,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,-0.14,0.38,-0.17,-0.04,-0.02,0.05,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD let,-0.34,0.43,0.05,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.27,0.15,-0.16,-0.04,0.19,0.2,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ TO INF,0.04,0.26,-0.16,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,0.2,0.02,-0.24,0.12,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD let,0.33,0.05,-0.24,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.24,0.13,-0.24,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,-0.34,0.54,-0.05,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,-0.16,0.44,-0.24,0.05,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,-0.34,0.42,-0.04,-0.04,-0.02,0.08,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,0.21,-0.28,0.1,-0.04,-0.02,0.09,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD shall,-0.01,0.27,-0.12,-0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES,-0.22,-0.03,0.27,-0.04,-0.02,0.11,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
