,prophetic,prose,instruction,poetry,prose,instruction,prophetic,list,prophetic,instruction,prose,list,instruction,poetry,prophetic,prose,poetry,list
,Q,Q,Q,Q,N,D,?,N,D,?,D,Q,N,?,N,?,D,?
FUT,103.37,-0.08,-96.21,-3.99,-13.36,-7.05,6.15,-6.71,6.59,-6.09,-4.43,-2.16,-1.29,-0.89,-0.16,-0.68,-0.22,0.0
FUT ~ MOD shall,49.73,-5.4,-13.89,-4.11,-10.36,-7.66,5.06,-5.21,1.82,-0.96,-1.63,1.42,-1.06,-0.65,-0.65,-0.44,-0.23,0.0
PRES,-2.08,0.0,-2.27,14.87,-3.21,11.83,-0.33,-2.06,0.09,0.34,-1.34,-0.39,-0.2,6.92,0.0,0.0,5.31,0.0
IMPV ~ MOD shall,-40.6,-2.4,87.08,-6.75,-3.67,0.25,-2.92,-1.68,-1.69,-0.36,-0.94,0.74,-0.21,0.0,0.0,0.0,0.0,0.0
IMPV,-1.22,36.89,-11.97,-2.61,-2.92,-2.57,-2.38,-1.31,-1.32,-1.12,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,-50.07,-7.1,88.21,-4.88,-2.55,-0.43,-1.99,-1.12,-1.13,9.9,-0.56,0.53,0.0,0.0,0.0,0.0,0.0,0.0
PAST,-7.88,-6.82,-17.22,19.46,65.73,-1.27,-1.29,0.32,-0.57,-0.58,7.1,0.0,11.53,0.0,2.47,10.11,0.0,0.0
MOD shall,-32.4,-6.29,42.15,-3.07,-1.65,11.2,-1.29,-0.56,-0.57,7.52,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-21.67,-10.2,57.99,-1.35,-1.11,0.7,-0.94,-0.39,-0.39,0.76,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.44,0.47,-3.03,2.2,-0.76,-0.0,0.36,-0.2,-0.2,0.56,0.0,0.0,0.0,1.82,0.79,0.0,0.0,0.0
MOD may,-4.18,4.94,0.51,-0.75,-0.19,0.94,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,-4.55,-6.45,-2.79,1.09,-0.19,-0.2,-0.2,83.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
