esv_TAM,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD shall,0.36,0.19,0.09,0.12,0.14,0.03,0.03,0.02,0.03,0.01,0.0
PRES,0.38,0.1,0.13,0.1,0.07,0.1,0.04,0.03,0.03,0.01,0.01
FUT,0.31,0.15,0.09,0.1,0.09,0.11,0.09,0.03,0.02,0.01,0.0
MOD let,0.09,0.05,0.06,0.06,0.05,0.23,0.19,0.2,0.02,0.06,0.0
MOD may,0.22,0.09,0.09,0.06,0.03,0.04,0.33,0.05,0.03,0.07,0.0
PAST,0.28,0.15,0.12,0.08,0.07,0.16,0.06,0.04,0.02,0.02,0.0
IMPV,0.45,0.26,0.02,0.03,0.06,0.04,0.04,0.07,0.0,0.01,0.0
IMPV do not,0.64,0.31,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0
MOD can,0.37,0.18,0.13,0.14,0.1,0.03,0.01,0.0,0.05,0.0,0.0
PRES do not,0.36,0.38,0.09,0.06,0.05,0.01,0.0,0.0,0.04,0.0,0.0
MOD would,0.36,0.11,0.04,0.14,0.05,0.13,0.1,0.02,0.02,0.02,0.0
MOD should,0.52,0.11,0.16,0.04,0.03,0.02,0.07,0.01,0.04,0.0,0.0
MOD lest,0.47,0.19,0.22,0.01,0.04,0.0,0.01,0.0,0.06,0.0,0.0
TO INF,0.32,0.16,0.01,0.01,0.01,0.13,0.33,0.0,0.01,0.01,0.0
PRES PERF,0.39,0.13,0.18,0.07,0.03,0.13,0.04,0.01,0.03,0.0,0.01
PRES PART,0.45,0.22,0.03,0.07,0.05,0.13,0.05,0.01,0.01,0.0,0.0
FUT question,0.67,0.06,0.11,0.03,0.0,0.1,0.01,0.01,0.0,0.0,0.0
PRES wh-question,0.61,0.12,0.08,0.01,0.03,0.09,0.04,0.0,0.01,0.0,0.0
MOD must,0.54,0.13,0.03,0.09,0.07,0.09,0.03,0.01,0.0,0.0,0.0
PRES question,0.55,0.11,0.15,0.08,0.03,0.05,0.03,0.0,0.0,0.0,0.0
MOD quest shall,0.55,0.04,0.16,0.15,0.02,0.05,0.04,0.0,0.0,0.0,0.0
MOD quest can,0.44,0.08,0.31,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0
MOD could,0.51,0.2,0.1,0.04,0.02,0.04,0.06,0.0,0.04,0.0,0.0
MOD might,0.29,0.11,0.09,0.09,0.04,0.07,0.27,0.02,0.02,0.0,0.0
PAST did not,0.25,0.61,0.07,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0
MOD is to,0.54,0.0,0.12,0.21,0.04,0.08,0.0,0.0,0.0,0.0,0.0
MOD quest should,0.21,0.11,0.32,0.26,0.0,0.0,0.05,0.05,0.0,0.0,0.0
FUT wh-question,0.47,0.37,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0
HAB used to,0.35,0.12,0.29,0.0,0.12,0.06,0.0,0.0,0.06,0.0,0.0
PAST PERF,0.23,0.0,0.23,0.08,0.23,0.08,0.0,0.0,0.15,0.0,0.0
MOD was to,0.5,0.08,0.08,0.08,0.17,0.0,0.08,0.0,0.0,0.0,0.0
PRES do-support,0.44,0.22,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0
MOD that be,0.12,0.12,0.25,0.0,0.12,0.0,0.12,0.0,0.25,0.0,0.0
MOD VB,0.38,0.12,0.25,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0
PRES PROG,0.38,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.0
PAST PROG,0.17,0.0,0.17,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest would,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PRES PERF question,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES shall,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0
PAST question,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF wh-question,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES do,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
