,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD shall,1.07,1.44,0.84,1.48,2.24,0.24,0.27,0.41,1.53,0.57,0.0
PRES,1.2,0.59,1.6,1.11,0.81,1.34,0.49,0.85,1.22,0.49,30.06
FUT,0.83,1.02,0.88,1.2,1.19,1.49,1.28,0.66,0.58,0.71,0.0
MOD let,0.17,0.28,0.6,0.63,0.51,3.95,3.25,9.64,0.75,5.57,0.0
MOD may,0.52,0.57,0.91,0.59,0.32,0.42,7.76,1.62,0.97,5.79,0.0
PAST,0.72,0.98,1.26,0.85,0.84,2.33,0.83,1.09,0.89,1.01,1.43
IMPV,1.6,2.06,0.22,0.33,0.65,0.49,0.52,2.13,0.17,0.78,0.0
IMPV do not,3.45,2.64,0.19,0.05,0.14,0.06,0.0,0.0,0.28,0.0,0.0
MOD can,1.11,1.25,1.38,1.58,1.16,0.3,0.12,0.0,1.99,0.22,0.0
PRES do not,1.07,3.6,0.93,0.61,0.61,0.11,0.0,0.0,1.71,0.0,0.0
MOD would,1.09,0.69,0.43,1.64,0.57,1.71,1.5,0.41,0.96,1.01,0.0
MOD should,2.08,0.67,1.81,0.37,0.34,0.21,0.98,0.33,1.65,0.0,0.0
MOD lest,1.7,1.28,2.68,0.07,0.49,0.0,0.18,0.0,2.3,0.0,0.0
TO INF,0.88,1.09,0.14,0.15,0.16,1.64,6.58,0.0,0.28,0.49,0.0
PRES PERF,1.2,0.87,2.0,0.72,0.28,1.64,0.56,0.23,0.97,0.0,7.45
PRES PART,1.53,1.57,0.26,0.78,0.52,1.66,0.6,0.25,0.34,0.0,0.0
FUT question,3.89,0.34,1.19,0.35,0.0,1.3,0.15,0.31,0.0,0.0,0.0
PRES wh-question,2.96,0.78,0.82,0.14,0.3,1.19,0.54,0.0,0.51,0.0,0.0
MOD must,2.27,0.85,0.28,0.97,0.87,1.1,0.38,0.4,0.0,0.0,0.0
PRES question,2.36,0.68,1.69,0.83,0.35,0.55,0.4,0.0,0.0,0.0,0.0
MOD quest shall,2.28,0.21,1.82,1.71,0.2,0.65,0.48,0.0,0.0,0.0,0.0
MOD quest can,1.5,0.47,4.16,0.61,0.67,0.69,0.0,0.0,0.0,0.0,0.0
MOD could,1.97,1.37,1.01,0.41,0.22,0.46,0.79,0.0,1.53,0.0,0.0
MOD might,0.77,0.7,0.91,0.98,0.51,0.81,4.66,0.62,0.85,0.0,0.0
PAST did not,0.63,8.72,0.71,0.0,0.41,0.0,0.0,0.0,1.39,0.0,0.0
MOD is to,2.24,0.0,1.33,2.64,0.48,1.03,0.0,0.0,0.0,0.0,0.0
MOD quest should,0.5,0.66,4.3,3.58,0.0,0.0,0.71,1.51,0.0,0.0,0.0
FUT wh-question,1.71,3.28,0.52,0.0,0.61,0.63,0.0,0.0,0.0,0.0,0.0
HAB used to,1.03,0.75,3.88,0.0,1.46,0.71,0.0,0.0,2.35,0.0,0.0
PAST PERF,0.57,0.0,2.79,0.83,3.29,0.95,0.0,0.0,6.84,0.0,0.0
MOD was to,1.9,0.51,0.84,0.91,2.19,0.0,1.16,0.0,0.0,0.0,0.0
PRES do-support,1.52,1.6,0.0,0.0,1.37,1.42,0.0,0.0,4.69,0.0,0.0
MOD that be,0.27,0.8,3.1,0.0,1.57,0.0,1.82,0.0,12.55,0.0,0.0
MOD VB,1.14,0.8,3.1,0.0,1.57,0.0,0.0,3.89,0.0,0.0,0.0
PRES PROG,1.14,0.0,1.33,1.43,1.57,0.0,1.82,3.89,0.0,0.0,0.0
PAST PROG,0.38,0.0,1.86,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest would,2.84,0.0,2.32,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,1.89,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD,0.63,0.0,0.0,3.34,0.0,0.0,12.73,0.0,0.0,0.0,0.0
PRES PERF question,3.79,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES shall,0.95,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,0.0,0.0,0.0,5.01,21.95,0.0,0.0,0.0,0.0,0.0,0.0
