esv_TAM,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD shall,0.02,0.05,-0.01,0.04,0.07,-0.07,-0.06,-0.02,0.01,-0.01,-0.0
PRES,0.04,-0.06,0.05,0.01,-0.02,0.02,-0.04,-0.01,0.01,-0.01,0.0
FUT,-0.04,0.0,-0.01,0.02,0.01,0.03,0.02,-0.01,-0.01,-0.0,-0.0
MOD let,-0.28,-0.11,-0.04,-0.03,-0.04,0.16,0.12,0.17,-0.01,0.05,-0.0
MOD may,-0.13,-0.06,-0.01,-0.04,-0.06,-0.05,0.27,0.02,-0.0,0.05,-0.0
PAST,-0.07,-0.0,0.02,-0.01,-0.01,0.09,-0.01,0.0,-0.0,0.0,0.0
IMPV,0.11,0.12,-0.08,-0.06,-0.03,-0.04,-0.03,0.04,-0.02,-0.0,-0.0
IMPV do not,0.3,0.17,-0.08,-0.09,-0.07,-0.08,-0.07,-0.04,-0.02,-0.02,-0.0
MOD can,0.02,0.03,0.03,0.05,0.01,-0.06,-0.06,-0.04,0.02,-0.01,-0.0
PRES do not,0.02,0.24,-0.01,-0.03,-0.03,-0.07,-0.07,-0.04,0.02,-0.02,-0.0
MOD would,0.02,-0.04,-0.05,0.05,-0.03,0.05,0.03,-0.02,-0.0,0.0,-0.0
MOD should,0.18,-0.04,0.07,-0.06,-0.05,-0.06,-0.0,-0.02,0.02,-0.02,-0.0
MOD lest,0.13,0.03,0.13,-0.08,-0.04,-0.08,-0.06,-0.04,0.03,-0.01,-0.0
TO INF,-0.03,0.01,-0.08,-0.08,-0.07,0.05,0.26,-0.04,-0.02,-0.01,-0.0
PRES PERF,0.04,-0.02,0.08,-0.02,-0.06,0.05,-0.03,-0.03,-0.0,-0.01,0.01
PRES PART,0.1,0.07,-0.07,-0.02,-0.04,0.05,-0.03,-0.03,-0.02,-0.01,-0.0
FUT question,0.33,-0.1,0.02,-0.06,-0.08,0.02,-0.06,-0.02,-0.03,-0.01,-0.0
PRES wh-question,0.26,-0.03,-0.02,-0.08,-0.06,0.01,-0.03,-0.04,-0.01,-0.01,-0.0
MOD must,0.2,-0.02,-0.07,-0.0,-0.01,0.01,-0.04,-0.02,-0.03,-0.01,-0.0
PRES question,0.21,-0.04,0.06,-0.01,-0.05,-0.03,-0.04,-0.04,-0.03,-0.01,-0.0
MOD quest shall,0.2,-0.12,0.07,0.05,-0.07,-0.03,-0.04,-0.04,-0.03,-0.01,-0.0
MOD quest can,0.1,-0.07,0.21,-0.03,-0.03,-0.02,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could,0.16,0.04,0.0,-0.05,-0.06,-0.04,-0.01,-0.04,0.01,-0.01,-0.0
MOD might,-0.06,-0.04,-0.01,-0.0,-0.04,-0.01,0.19,-0.01,-0.0,-0.01,-0.0
PAST did not,-0.1,0.46,-0.03,-0.09,-0.05,-0.08,-0.07,-0.04,0.01,-0.01,-0.0
MOD is to,0.2,-0.15,0.03,0.12,-0.04,0.0,-0.07,-0.04,-0.03,-0.01,-0.0
MOD quest should,-0.14,-0.05,0.22,0.17,-0.08,-0.08,-0.02,0.02,-0.03,-0.01,-0.0
FUT wh-question,0.13,0.22,-0.04,-0.09,-0.03,-0.03,-0.07,-0.04,-0.03,-0.01,-0.0
HAB used to,0.01,-0.03,0.2,-0.09,0.03,-0.02,-0.07,-0.04,0.03,-0.01,-0.0
PAST PERF,-0.11,-0.15,0.13,-0.01,0.15,-0.0,-0.07,-0.04,0.13,-0.01,-0.0
MOD was to,0.15,-0.07,-0.01,-0.01,0.08,-0.08,0.01,-0.04,-0.03,-0.01,-0.0
PRES do-support,0.1,0.07,-0.1,-0.09,0.03,0.03,-0.07,-0.04,0.09,-0.01,-0.0
MOD that be,-0.22,-0.03,0.15,-0.09,0.04,-0.08,0.05,-0.04,0.22,-0.01,-0.0
MOD VB,0.03,-0.03,0.15,-0.09,0.04,-0.08,-0.07,0.09,-0.03,-0.01,-0.0
PRES PROG,0.03,-0.15,0.03,0.03,0.04,-0.08,0.05,0.09,-0.03,-0.01,-0.0
PAST PROG,-0.18,-0.15,0.07,-0.09,0.58,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD quest would,0.25,-0.15,0.1,0.11,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
?VB,0.15,0.35,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD,-0.1,-0.15,-0.1,0.16,-0.08,-0.08,0.43,-0.04,-0.03,-0.01,-0.0
PRES PERF question,0.32,-0.15,0.24,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PRES shall,-0.01,0.52,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT PROG,-0.35,-0.15,-0.1,0.24,0.58,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PAST question,0.32,0.18,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PRES PERF wh-question,0.65,-0.15,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT PERF,-0.35,0.35,0.4,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PRES do,-0.35,0.35,-0.1,-0.09,0.42,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD need not,0.15,-0.15,0.4,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD quest could,0.65,-0.15,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PAST wh-question,-0.35,-0.15,0.4,-0.09,-0.08,-0.08,0.43,-0.04,-0.03,-0.01,-0.0
IMPV not,-0.35,-0.15,-0.1,-0.09,0.92,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PRES can,-0.35,-0.15,0.9,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
JJ,-0.35,-0.15,-0.1,-0.09,0.92,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PAST PROG keep,0.65,-0.15,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD that,-0.35,-0.15,-0.1,-0.09,-0.08,-0.08,0.93,-0.04,-0.03,-0.01,-0.0
MOD quest must,-0.35,0.85,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
