,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD shall,1.1,12.14,-2.06,9.46,37.09,-55.51,-43.64,-12.66,3.88,-2.78,-1.96
PRES,4.81,-17.64,12.88,0.93,-2.36,4.53,-15.01,-0.75,0.99,-3.58,8.83
FUT,-4.64,0.16,-1.18,2.04,1.76,7.73,2.92,-3.07,-3.65,-1.13,-1.47
MOD let,-81.39,-23.21,-4.13,-3.24,-5.39,49.59,31.88,91.2,-0.61,20.93,-0.2
MOD may,-14.26,-5.94,-0.27,-3.35,-9.67,-6.39,105.26,2.27,0.0,19.52,0.0
PAST,-3.5,-0.04,1.11,-0.51,-0.49,10.94,-0.47,0.19,-0.1,0.06,0.29
IMPV,5.53,8.84,-8.69,-5.51,-1.39,-2.69,-2.23,3.38,-2.77,-0.08,0.0
IMPV do not,32.37,15.65,-9.04,-13.5,-9.23,-11.67,-13.01,-5.92,-1.82,-2.31,0.0
MOD can,0.41,0.84,1.11,1.95,0.34,-3.97,-6.31,-4.57,1.79,-0.85,0.0
PRES do not,0.18,15.91,-0.04,-0.95,-0.89,-5.09,-6.61,-3.01,0.92,-1.1,0.0
MOD would,0.26,-0.95,-1.96,1.61,-1.03,1.75,1.01,-0.76,0.0,0.11,0.0
MOD should,5.44,-0.89,2.09,-2.02,-2.14,-3.06,0.0,-0.87,0.67,-0.73,0.0
MOD lest,2.64,0.55,5.0,-4.37,-1.05,-4.88,-2.53,-1.98,1.52,-0.56,0.0
TO INF,-0.28,0.14,-3.69,-3.35,-2.84,1.11,18.13,-1.79,-0.57,-0.14,0.0
PRES PERF,0.42,-0.15,2.14,-0.28,-1.74,1.05,-0.55,-0.87,0.0,-0.37,0.88
PRES PART,1.47,1.22,-2.05,-0.21,-0.77,1.1,-0.45,-0.72,-0.43,-0.38,0.0
FUT question,9.23,-1.98,0.23,-1.2,-3.12,0.36,-1.68,-0.42,-0.75,-0.19,0.0
PRES wh-question,5.22,-0.2,-0.07,-1.87,-1.05,0.18,-0.43,-0.94,0.0,-0.2,0.0
MOD must,3.09,-0.06,-1.2,0.0,0.0,0.09,-0.62,-0.28,-0.37,-0.2,0.0
PRES question,3.22,-0.41,0.86,0.0,-0.76,-0.31,-0.63,-0.76,-0.38,0.0,0.0
MOD quest shall,2.59,-1.89,0.97,0.8,-1.06,-0.2,-0.36,-0.57,-0.39,0.0,0.0
MOD quest can,0.84,-0.76,4.69,-0.2,-0.1,-0.1,-1.5,-0.58,-0.19,0.0,0.0
MOD could,1.75,0.48,-0.0,-0.49,-0.9,-0.36,0.0,-0.58,0.42,0.0,0.0
MOD might,-0.28,-0.27,0.0,0.0,-0.23,0.0,4.19,0.0,0.0,0.0,0.0
PAST did not,-0.49,7.36,0.0,-0.76,-0.14,-0.78,-0.58,-0.2,0.28,0.0,0.0
MOD is to,1.28,-1.4,0.3,1.21,-0.14,-0.0,-0.38,0.0,0.0,0.0,0.0
MOD quest should,-0.48,-0.12,2.13,1.61,-0.4,-0.4,0.0,0.3,0.0,0.0,0.0
FUT wh-question,0.62,1.77,0.0,-0.39,0.0,0.0,-0.4,0.0,0.0,0.0,0.0
HAB used to,-0.0,0.0,1.7,-0.4,0.19,0.0,-0.2,0.0,0.44,0.0,0.0
PAST PERF,-0.25,-0.62,0.9,0.0,1.05,0.0,-0.21,0.0,1.36,0.0,0.0
MOD was to,0.44,0.0,0.0,0.0,0.58,-0.21,0.22,0.0,0.0,0.0,0.0
PRES do-support,0.3,0.2,0.0,0.0,0.26,0.27,0.0,0.0,0.68,0.0,0.0
MOD that be,-0.56,0.0,0.75,0.0,0.3,0.0,0.34,0.0,1.77,0.0,0.0
MOD VB,-0.0,0.0,0.75,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0
PRES PROG,-0.0,-0.21,0.25,0.27,0.3,0.0,0.34,0.6,0.0,0.0,0.0
PAST PROG,-0.17,-0.22,0.34,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest would,0.46,0.0,0.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.21,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD,0.0,0.0,0.0,0.5,0.0,0.0,1.54,0.0,0.0,0.0,0.0
PRES PERF question,0.56,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES shall,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,-0.25,0.0,0.0,0.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0
PAST question,0.56,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF wh-question,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,-0.26,0.55,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES do,-0.26,0.55,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not,-0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
