,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
TO INF,0.0,-0.79,1.73,0.28,-0.98,0.15,0.78,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,-0.38,0.11,1.32,0.0,0.13,-0.59,-0.19,-0.19,1.79,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.78,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-0.98,-1.4,0.13,-0.99,-0.29,-0.59,-0.19,-0.19,0.37,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-1.63,0.0,2.55,0.13,-0.99,0.16,2.09,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.11,2.68,0.0,0.14,-0.8,-0.4,-0.2,-0.2,0.42,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-0.81,-0.45,4.42,0.0,-0.3,-0.4,0.95,-0.2,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.92,-1.0,0.0,0.33,0.0,-0.41,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.26,0.29,0.0,1.26,0.0,0.19,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,-0.46,2.55,0.0,0.86,-0.6,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,-1.24,-1.03,-0.0,-0.61,-0.61,-0.2,-0.21,-0.21,2.21,6.21,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
