,prophetic,poetry,prose,instruction,list,prose,prophetic,list,instruction
,Q,Q,Q,Q,Q,N,N,N,N
1,-1.31,87.85,-1.17,-82.08,-6.84,0.72,0.0,0.0,-0.0
0,1.31,-87.85,1.17,82.08,6.84,-0.72,-0.0,-0.0,0.0
