domain2,TOTAL,FUT ~ MOD shall,IMPV ~ MOD shall,MOD is to ~ MOD shall,MOD must ~ MOD shall,FUT ~ PRES,PAST ~ PRES,MOD shall ~ PRES,FUT ~ MOD may,MOD shall ~ TO INF,PRES ~ PRES PERF,PRES ~ PRES PART,FUT ~ MOD lest,MOD may ~ TO INF,MOD may ~ PRES,FUT ~ IMPV,PRES ~ TO INF,MOD would ~ PAST,MOD may ~ MOD shall,PAST ~ PRES PART,FUT ~ TO INF,MOD shall ~ PRES PART,IMPV ~ PRES,IMPV ~ MOD let,PAST ~ PRES PERF,IMPV ~ TO INF,FUT ~ PRES PART,FUT ~ MOD let,FUT ~ MOD would,MOD can ~ MOD may,MOD let ~ MOD shall,MOD can ~ MOD shall,MOD let ~ MOD may,MOD is to ~ MOD let,MOD shall ~ PAST,MOD lest ~ TO INF,MOD is to ~ PRES,FUT ~ PAST,MOD lest ~ MOD may,PAST ~ TO INF,PAST ~ PAST PROG,FUT ~ PRES PERF,MOD would ~ PRES,MOD shall ~ MOD would,MOD is to ~ PAST,IMPV ~ PAST,MOD shall ~ PRES PERF,IMPV ~ MOD lest,MOD may ~ MOD must,MOD shall ~ MOD should,IMPV ~ MOD must,MOD should ~ PRES,MOD let ~ TO INF,FUT ~ FUT PERF,FUT ~ MOD can,MOD should ~ TO INF,FUT ~ FUT going-to,MOD can ~ PRES,PAST ~ PAST PERF,HAB used to ~ PAST,IMPV ~ MOD would,MOD could ~ MOD may,IMPV ~ MOD may,MOD VB ~ PRES,MOD can ~ MOD let,FUT ~ MOD must,HAB used to ~ MOD would,IMPV ~ MOD is to,IMPV ~ PRES PART,FUT going-to ~ MOD shall,MOD may ~ MOD should,MOD was to ~ PAST,PRES ~ PRES PROG,MOD may ~ PRES PART,PRES PART ~ PRES PERF,MOD is to ~ TO INF,MOD lest ~ MOD might,MOD lest ~ MOD must,MOD lest ~ PRES PART,MOD must ~ PRES PART,MOD let ~ MOD must,MOD let ~ PRES,MOD that be ~ TO INF,FUT ~ MOD that be,FUT ~ MOD should,MOD should ~ MOD would,FUT ~ MOD is to,MOD would ~ PRES PROG,MOD would ~ TO INF,PAST PERF ~ PRES PART,FUT ~ MOD VB,PRES PERF ~ TO INF,FUT ~ FUT PROG,MOD quest must ~ MOD shall,MOD can ~ TO INF,MOD must ~ PRES,MOD might ~ MOD would,MOD could ~ MOD would,MOD let ~ PRES PART,HAB used to ~ PRES PART,IMPV ~ MOD VB,MOD let ~ MOD would,MOD let ~ MOD should,MOD let ~ MOD might,MOD lest ~ PRES,MOD is to ~ PRES PART,MOD is to ~ MOD may,MOD VB ~ MOD can,MOD is to ~ MOD lest,MOD could ~ TO INF,PRES ~ VB
Q,2615,999,407,287,145,100,19,55,51,28,25,21,23,22,20,19,19,6,17,5,16,15,14,14,13,13,12,12,11,11,9,9,6,8,8,7,7,7,7,3,2,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,0,0,1,3,3,3,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
N,95,0,0,0,0,1,45,0,0,0,0,4,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
